grenoble,lille,paris,saclay,strasbourg,lille_20_m3-1,lille_20_m3-3,lille_20_m3-4,lille_20_m3-6,lille_20_m3-13,lille_20_m3-15,lille_20_m3-17,lille_20_m3-18,lille_20_m3-19,lille_20_m3-20,lille_20_m3-22,lille_20_m3-23,paris_m3-4,paris_m3-5,paris_m3-6,paris_m3-7,paris_m3-8,paris_m3-10,paris_m3-11,paris_m3-12,paris_m3-13,paris_m3-14,paris_m3-15,paris_m3-16,paris_m3-17,paris_m3-18,paris_m3-19,paris_m3-20,paris_m3-21,paris_m3-22,paris_m3-23,paris_m3-24,paris_m3-25,paris_m3-26,paris_m3-27,paris_m3-28,paris_m3-31,paris_m3-35,paris_m3-36,paris_m3-37,paris_m3-38,paris_m3-39,paris_m3-40,paris_m3-41,paris_m3-42,paris_m3-43,paris_m3-44,paris_m3-47,paris_m3-48,paris_m3-49,paris_m3-50,paris_m3-51,paris_m3-52,paris_m3-53,paris_m3-55,paris_m3-56,paris_m3-57,paris_m3-60,paris_m3-61,paris_m3-63,paris_m3-64,saclay_m3-1,saclay_m3-2,saclay_m3-3,saclay_m3-4,saclay_m3-5,saclay_m3-6,saclay_m3-7,saclay_m3-8,saclay_m3-9,saclay_m3-10,saclay_m3-11,saclay_m3-12,strasbourg_m3-2,strasbourg_m3-3,strasbourg_m3-6,strasbourg_m3-7,strasbourg_m3-12,strasbourg_m3-13,strasbourg_m3-14,strasbourg_m3-15,strasbourg_m3-18,strasbourg_m3-19,strasbourg_m3-23,strasbourg_m3-25,strasbourg_m3-28,strasbourg_m3-30,strasbourg_m3-31,strasbourg_m3-34,strasbourg_m3-35,strasbourg_m3-38,strasbourg_m3-40,strasbourg_m3-41,strasbourg_m3-42,strasbourg_m3-44,strasbourg_m3-45,strasbourg_m3-46,strasbourg_m3-47,strasbourg_m3-49,strasbourg_m3-51,strasbourg_m3-54,strasbourg_m3-55,strasbourg_m3-58,strasbourg_m3-59,strasbourg_m3-63
0.0,0.0,13.1,12.1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.599,13.583,13.609,13.482,13.54,13.578,13.565999999999999,13.558,13.461,13.57,13.541,13.588,13.558,13.616,13.556,13.549,13.599,13.600999999999999,13.605,13.551,13.516,13.549,13.56,13.551,13.552,13.529,13.548,13.549,13.557,13.56,13.556,13.552,13.56,13.562999999999999,13.562999999999999,13.543,13.559,13.528,13.552,13.610999999999999,13.589,13.642,13.613999999999999,13.633,13.654,13.690999999999999,13.649,13.633,13.58,12.693999999999999,12.671,12.648,12.681,12.578,12.641,12.655,12.655,12.583,12.626,12.677999999999999,12.828999999999999,13.196,13.174,13.244,13.179,13.184,13.145,13.139,13.152,13.149000000000001,13.175,13.133,13.068,13.186,13.16,13.100999999999999,13.086,13.173,13.165,13.08,13.169,13.168,13.187,13.163,13.185,13.112,13.2,13.095,13.158,13.139,13.223,13.169,13.175
0.0,0.0,6.68,7.17,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.178999999999999,7.162999999999999,7.189,7.061999999999999,7.12,7.1579999999999995,7.146,7.138,7.0409999999999995,7.1499999999999995,7.1209999999999996,7.167999999999999,7.138,7.196,7.136,7.129,7.178999999999999,7.181,7.185,7.130999999999999,7.096,7.129,7.14,7.130999999999999,7.132,7.109,7.128,7.129,7.137,7.14,7.136,7.132,7.14,7.143,7.143,7.122999999999999,7.138999999999999,7.108,7.132,7.191,7.169,7.2219999999999995,7.194,7.213,7.234,7.271,7.229,7.213,7.16,7.764,7.741,7.718,7.7509999999999994,7.648,7.711,7.725,7.725,7.653,7.696,7.748,7.899,18.296000000000003,18.274,18.344,18.279,18.284000000000002,18.245,18.239,18.252000000000002,18.249000000000002,18.275000000000002,18.233,18.168000000000003,18.286,18.26,18.201,18.186,18.273000000000003,18.265,18.18,18.269000000000002,18.268,18.287000000000003,18.263,18.285,18.212,18.3,18.195,18.258000000000003,18.239,18.323,18.269000000000002,18.275000000000002
13.1,6.68,0.0,1.9,15.6,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,0.499,0.483,0.509,0.382,0.44,0.478,0.466,0.458,0.361,0.47,0.441,0.488,0.458,0.516,0.456,0.449,0.499,0.501,0.505,0.451,0.416,0.449,0.46,0.451,0.452,0.429,0.448,0.449,0.457,0.46,0.456,0.452,0.46,0.463,0.463,0.443,0.459,0.428,0.452,0.511,0.489,0.542,0.514,0.533,0.554,0.591,0.549,0.533,0.48,2.4939999999999998,2.471,2.448,2.481,2.378,2.441,2.455,2.455,2.383,2.426,2.4779999999999998,2.629,16.296,16.274,16.344,16.279,16.284,16.245,16.239,16.252,16.249,16.275,16.233,16.168,16.286,16.259999999999998,16.201,16.186,16.273,16.265,16.18,16.269,16.268,16.287,16.262999999999998,16.285,16.212,16.3,16.195,16.258,16.239,16.323,16.269,16.275
12.1,7.17,1.9,0.0,14.6,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,2.399,2.383,2.409,2.282,2.34,2.378,2.366,2.358,2.261,2.37,2.3409999999999997,2.388,2.358,2.416,2.356,2.3489999999999998,2.399,2.401,2.405,2.351,2.316,2.3489999999999998,2.36,2.351,2.352,2.3289999999999997,2.348,2.3489999999999998,2.3569999999999998,2.36,2.356,2.352,2.36,2.363,2.363,2.343,2.359,2.328,2.352,2.411,2.389,2.442,2.4139999999999997,2.433,2.4539999999999997,2.4909999999999997,2.449,2.433,2.38,0.594,0.571,0.548,0.581,0.478,0.541,0.555,0.555,0.483,0.526,0.578,0.729,15.296,15.274,15.344,15.279,15.283999999999999,15.245,15.238999999999999,15.251999999999999,15.248999999999999,15.275,15.233,15.168,15.286,15.26,15.201,15.186,15.273,15.265,15.18,15.269,15.267999999999999,15.286999999999999,15.263,15.285,15.212,15.299999999999999,15.195,15.258,15.238999999999999,15.323,15.269,15.275
12.5,17.6,15.6,14.6,0.0,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,16.099,16.083,16.108999999999998,15.982,16.04,16.078,16.066,16.058,15.961,16.07,16.041,16.088,16.058,16.116,16.056,16.049,16.099,16.101,16.105,16.051,16.016,16.049,16.06,16.051,16.052,16.029,16.048,16.049,16.057,16.06,16.056,16.052,16.06,16.063,16.063,16.043,16.059,16.028,16.052,16.111,16.089,16.142,16.114,16.133,16.154,16.191,16.149,16.133,16.08,15.193999999999999,15.171,15.148,15.181,15.078,15.141,15.155,15.155,15.083,15.126,15.177999999999999,15.328999999999999,0.696,0.674,0.744,0.679,0.684,0.645,0.639,0.652,0.649,0.675,0.633,0.568,0.686,0.66,0.601,0.586,0.673,0.665,0.58,0.669,0.668,0.687,0.663,0.685,0.612,0.7,0.595,0.658,0.639,0.723,0.669,0.675
0.0,0.0,6.68,7.17,17.6,0.0,41.235,37.18,8.249,33.997,8.24,36.477,16.569,17.37,7.281,7.92,14.603,7.178999999999999,7.162999999999999,7.189,7.061999999999999,7.12,7.1579999999999995,7.146,7.138,7.0409999999999995,7.1499999999999995,7.1209999999999996,7.167999999999999,7.138,7.196,7.136,7.129,7.178999999999999,7.181,7.185,7.130999999999999,7.096,7.129,7.14,7.130999999999999,7.132,7.109,7.128,7.129,7.137,7.14,7.136,7.132,7.14,7.143,7.143,7.122999999999999,7.138999999999999,7.108,7.132,7.191,7.169,7.2219999999999995,7.194,7.213,7.234,7.271,7.229,7.213,7.16,7.764,7.741,7.718,7.7509999999999994,7.648,7.711,7.725,7.725,7.653,7.696,7.748,7.899,18.296000000000003,18.274,18.344,18.279,18.284000000000002,18.245,18.239,18.252000000000002,18.249000000000002,18.275000000000002,18.233,18.168000000000003,18.286,18.26,18.201,18.186,18.273000000000003,18.265,18.18,18.269000000000002,18.268,18.287000000000003,18.263,18.285,18.212,18.3,18.195,18.258000000000003,18.239,18.323,18.269000000000002,18.275000000000002
0.0,0.0,6.68,7.17,17.6,41.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.178999999999999,7.162999999999999,7.189,7.061999999999999,7.12,7.1579999999999995,7.146,7.138,7.0409999999999995,7.1499999999999995,7.1209999999999996,7.167999999999999,7.138,7.196,7.136,7.129,7.178999999999999,7.181,7.185,7.130999999999999,7.096,7.129,7.14,7.130999999999999,7.132,7.109,7.128,7.129,7.137,7.14,7.136,7.132,7.14,7.143,7.143,7.122999999999999,7.138999999999999,7.108,7.132,7.191,7.169,7.2219999999999995,7.194,7.213,7.234,7.271,7.229,7.213,7.16,7.764,7.741,7.718,7.7509999999999994,7.648,7.711,7.725,7.725,7.653,7.696,7.748,7.899,18.296000000000003,18.274,18.344,18.279,18.284000000000002,18.245,18.239,18.252000000000002,18.249000000000002,18.275000000000002,18.233,18.168000000000003,18.286,18.26,18.201,18.186,18.273000000000003,18.265,18.18,18.269000000000002,18.268,18.287000000000003,18.263,18.285,18.212,18.3,18.195,18.258000000000003,18.239,18.323,18.269000000000002,18.275000000000002
0.0,0.0,6.68,7.17,17.6,37.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.178999999999999,7.162999999999999,7.189,7.061999999999999,7.12,7.1579999999999995,7.146,7.138,7.0409999999999995,7.1499999999999995,7.1209999999999996,7.167999999999999,7.138,7.196,7.136,7.129,7.178999999999999,7.181,7.185,7.130999999999999,7.096,7.129,7.14,7.130999999999999,7.132,7.109,7.128,7.129,7.137,7.14,7.136,7.132,7.14,7.143,7.143,7.122999999999999,7.138999999999999,7.108,7.132,7.191,7.169,7.2219999999999995,7.194,7.213,7.234,7.271,7.229,7.213,7.16,7.764,7.741,7.718,7.7509999999999994,7.648,7.711,7.725,7.725,7.653,7.696,7.748,7.899,18.296000000000003,18.274,18.344,18.279,18.284000000000002,18.245,18.239,18.252000000000002,18.249000000000002,18.275000000000002,18.233,18.168000000000003,18.286,18.26,18.201,18.186,18.273000000000003,18.265,18.18,18.269000000000002,18.268,18.287000000000003,18.263,18.285,18.212,18.3,18.195,18.258000000000003,18.239,18.323,18.269000000000002,18.275000000000002
0.0,0.0,6.68,7.17,17.6,8.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.178999999999999,7.162999999999999,7.189,7.061999999999999,7.12,7.1579999999999995,7.146,7.138,7.0409999999999995,7.1499999999999995,7.1209999999999996,7.167999999999999,7.138,7.196,7.136,7.129,7.178999999999999,7.181,7.185,7.130999999999999,7.096,7.129,7.14,7.130999999999999,7.132,7.109,7.128,7.129,7.137,7.14,7.136,7.132,7.14,7.143,7.143,7.122999999999999,7.138999999999999,7.108,7.132,7.191,7.169,7.2219999999999995,7.194,7.213,7.234,7.271,7.229,7.213,7.16,7.764,7.741,7.718,7.7509999999999994,7.648,7.711,7.725,7.725,7.653,7.696,7.748,7.899,18.296000000000003,18.274,18.344,18.279,18.284000000000002,18.245,18.239,18.252000000000002,18.249000000000002,18.275000000000002,18.233,18.168000000000003,18.286,18.26,18.201,18.186,18.273000000000003,18.265,18.18,18.269000000000002,18.268,18.287000000000003,18.263,18.285,18.212,18.3,18.195,18.258000000000003,18.239,18.323,18.269000000000002,18.275000000000002
0.0,0.0,6.68,7.17,17.6,33.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.178999999999999,7.162999999999999,7.189,7.061999999999999,7.12,7.1579999999999995,7.146,7.138,7.0409999999999995,7.1499999999999995,7.1209999999999996,7.167999999999999,7.138,7.196,7.136,7.129,7.178999999999999,7.181,7.185,7.130999999999999,7.096,7.129,7.14,7.130999999999999,7.132,7.109,7.128,7.129,7.137,7.14,7.136,7.132,7.14,7.143,7.143,7.122999999999999,7.138999999999999,7.108,7.132,7.191,7.169,7.2219999999999995,7.194,7.213,7.234,7.271,7.229,7.213,7.16,7.764,7.741,7.718,7.7509999999999994,7.648,7.711,7.725,7.725,7.653,7.696,7.748,7.899,18.296000000000003,18.274,18.344,18.279,18.284000000000002,18.245,18.239,18.252000000000002,18.249000000000002,18.275000000000002,18.233,18.168000000000003,18.286,18.26,18.201,18.186,18.273000000000003,18.265,18.18,18.269000000000002,18.268,18.287000000000003,18.263,18.285,18.212,18.3,18.195,18.258000000000003,18.239,18.323,18.269000000000002,18.275000000000002
