grenoble,lille,paris,saclay,strasbourg,lille_20_m3-1,lille_20_m3-3,lille_20_m3-4,lille_20_m3-5,lille_20_m3-6,lille_20_m3-12,lille_20_m3-13,lille_20_m3-15,lille_20_m3-17,lille_20_m3-18,lille_20_m3-19,lille_20_m3-20,lille_20_m3-21,lille_20_m3-22,lille_20_m3-23,paris_m3-4,paris_m3-5,paris_m3-6,paris_m3-7,paris_m3-8,paris_m3-10,paris_m3-11,paris_m3-12,paris_m3-13,paris_m3-14,paris_m3-15,paris_m3-16,paris_m3-17,paris_m3-18,paris_m3-19,paris_m3-20,paris_m3-21,paris_m3-22,paris_m3-23,paris_m3-24,paris_m3-25,paris_m3-26,paris_m3-27,paris_m3-28,paris_m3-31,paris_m3-35,paris_m3-36,paris_m3-37,paris_m3-38,paris_m3-39,paris_m3-40,paris_m3-41,paris_m3-42,paris_m3-43,paris_m3-44,paris_m3-47,paris_m3-48,paris_m3-49,paris_m3-50,paris_m3-51,paris_m3-52,paris_m3-53,paris_m3-55,paris_m3-56,paris_m3-57,paris_m3-60,paris_m3-61,paris_m3-63,paris_m3-64,saclay_m3-1,saclay_m3-2,saclay_m3-3,saclay_m3-4,saclay_m3-5,saclay_m3-6,saclay_m3-7,saclay_m3-8,saclay_m3-9,saclay_m3-10,saclay_m3-11,saclay_m3-12,strasbourg_m3-2,strasbourg_m3-3,strasbourg_m3-6,strasbourg_m3-7,strasbourg_m3-12,strasbourg_m3-13,strasbourg_m3-14,strasbourg_m3-15,strasbourg_m3-18,strasbourg_m3-19,strasbourg_m3-23,strasbourg_m3-25,strasbourg_m3-28,strasbourg_m3-30,strasbourg_m3-31,strasbourg_m3-34,strasbourg_m3-35,strasbourg_m3-38,strasbourg_m3-40,strasbourg_m3-41,strasbourg_m3-42,strasbourg_m3-44,strasbourg_m3-45,strasbourg_m3-46,strasbourg_m3-47,strasbourg_m3-49,strasbourg_m3-51,strasbourg_m3-54,strasbourg_m3-55,strasbourg_m3-58,strasbourg_m3-59,strasbourg_m3-63
0.0,0.0,13.3,12.6,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.856000000000002,13.691,13.806000000000001,13.767000000000001,13.746,13.764000000000001,13.775,13.731,13.773000000000001,13.780000000000001,13.760000000000002,13.776,13.756,13.790000000000001,13.782,13.778,13.755,13.737,13.744000000000002,13.752,13.662,13.765,13.765,13.73,13.785,13.780000000000001,13.753,13.795,13.761000000000001,13.81,13.744000000000002,13.736,13.791,13.708,13.726,13.734,13.757000000000001,13.762,13.739,13.760000000000002,13.804,13.794,13.775,13.745000000000001,13.758000000000001,13.718,13.807,13.783000000000001,13.768,13.27,13.158,13.1,12.996,13.138,13.045,13.099,13.045,13.138,12.997,13.052999999999999,13.296,13.370999999999999,13.443999999999999,13.389,13.366999999999999,13.379999999999999,13.379999999999999,13.389999999999999,13.363,13.373999999999999,13.437999999999999,13.399999999999999,13.456,13.425999999999998,13.357999999999999,13.405999999999999,13.450999999999999,13.331,13.386,13.318,13.354999999999999,13.428999999999998,13.434,13.391,13.337,13.378,13.351999999999999,13.237,13.318999999999999,13.286999999999999,13.346,13.277999999999999,13.338999999999999
0.0,0.0,6.55,7.37,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,6.941,7.056,7.0169999999999995,6.9959999999999996,7.014,7.0249999999999995,6.981,7.023,7.029999999999999,7.01,7.026,7.006,7.04,7.032,7.028,7.005,6.987,6.994,7.002,6.912,7.015,7.015,6.9799999999999995,7.035,7.029999999999999,7.003,7.045,7.011,7.06,6.994,6.986,7.0409999999999995,6.958,6.976,6.984,7.007,7.012,6.989,7.01,7.054,7.044,7.0249999999999995,6.995,7.008,6.968,7.0569999999999995,7.0329999999999995,7.018,8.040000000000001,7.928,7.87,7.766,7.908,7.815,7.869,7.815,7.908,7.767,7.823,8.066,18.271,18.344,18.289,18.267000000000003,18.28,18.28,18.290000000000003,18.263,18.274,18.338,18.3,18.356,18.326,18.258000000000003,18.306,18.351000000000003,18.231,18.286,18.218,18.255000000000003,18.329,18.334000000000003,18.291,18.237000000000002,18.278000000000002,18.252000000000002,18.137,18.219,18.187,18.246000000000002,18.178,18.239
13.3,6.55,0.0,2.03,15.3,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,0.556,0.391,0.506,0.467,0.446,0.464,0.475,0.431,0.473,0.48,0.46,0.476,0.456,0.49,0.482,0.478,0.455,0.437,0.444,0.452,0.362,0.465,0.465,0.43,0.485,0.48,0.453,0.495,0.461,0.51,0.444,0.436,0.491,0.408,0.426,0.434,0.457,0.462,0.439,0.46,0.504,0.494,0.475,0.445,0.458,0.418,0.507,0.483,0.468,2.6999999999999997,2.588,2.53,2.4259999999999997,2.5679999999999996,2.4749999999999996,2.529,2.4749999999999996,2.5679999999999996,2.4269999999999996,2.4829999999999997,2.726,15.971,16.044,15.989,15.967,15.98,15.98,15.99,15.963000000000001,15.974,16.038,16.0,16.056,16.026,15.958,16.006,16.051000000000002,15.931000000000001,15.986,15.918000000000001,15.955,16.029,16.034,15.991000000000001,15.937000000000001,15.978000000000002,15.952,15.837000000000002,15.919,15.887,15.946000000000002,15.878,15.939
12.6,7.37,2.03,0.0,14.4,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,2.586,2.421,2.5359999999999996,2.497,2.476,2.4939999999999998,2.505,2.461,2.5029999999999997,2.51,2.4899999999999998,2.506,2.4859999999999998,2.5199999999999996,2.5119999999999996,2.508,2.485,2.4669999999999996,2.4739999999999998,2.4819999999999998,2.392,2.4949999999999997,2.4949999999999997,2.46,2.5149999999999997,2.51,2.4829999999999997,2.525,2.4909999999999997,2.54,2.4739999999999998,2.4659999999999997,2.521,2.4379999999999997,2.456,2.464,2.4869999999999997,2.492,2.469,2.4899999999999998,2.534,2.524,2.505,2.4749999999999996,2.488,2.448,2.537,2.513,2.4979999999999998,0.67,0.558,0.5,0.396,0.538,0.445,0.499,0.445,0.538,0.397,0.453,0.696,15.071,15.144,15.089,15.067,15.08,15.08,15.09,15.063,15.074,15.138,15.1,15.156,15.126000000000001,15.058,15.106,15.151,15.031,15.086,15.018,15.055,15.129,15.134,15.091000000000001,15.037,15.078000000000001,15.052,14.937000000000001,15.019,14.987,15.046000000000001,14.978,15.039
12.7,17.6,15.3,14.4,0.0,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,15.856000000000002,15.691,15.806000000000001,15.767000000000001,15.746,15.764000000000001,15.775,15.731,15.773000000000001,15.780000000000001,15.760000000000002,15.776,15.756,15.790000000000001,15.782,15.778,15.755,15.737,15.744000000000002,15.752,15.662,15.765,15.765,15.73,15.785,15.780000000000001,15.753,15.795,15.761000000000001,15.81,15.744000000000002,15.736,15.791,15.708,15.726,15.734,15.757000000000001,15.762,15.739,15.760000000000002,15.804,15.794,15.775,15.745000000000001,15.758000000000001,15.718,15.807,15.783000000000001,15.768,15.07,14.958,14.9,14.796000000000001,14.938,14.845,14.899000000000001,14.845,14.938,14.797,14.853,15.096,0.671,0.744,0.689,0.667,0.68,0.68,0.69,0.663,0.674,0.738,0.7,0.756,0.726,0.658,0.706,0.751,0.631,0.686,0.618,0.655,0.729,0.734,0.691,0.637,0.678,0.652,0.537,0.619,0.587,0.646,0.578,0.639
0.0,0.0,6.55,7.37,17.6,0.0,28.759,26.966,8.247,6.648,6.959,6.646,8.88,7.921,8.881,8.882,7.601,10.668,12.261,9.189,7.106,6.941,7.056,7.0169999999999995,6.9959999999999996,7.014,7.0249999999999995,6.981,7.023,7.029999999999999,7.01,7.026,7.006,7.04,7.032,7.028,7.005,6.987,6.994,7.002,6.912,7.015,7.015,6.9799999999999995,7.035,7.029999999999999,7.003,7.045,7.011,7.06,6.994,6.986,7.0409999999999995,6.958,6.976,6.984,7.007,7.012,6.989,7.01,7.054,7.044,7.0249999999999995,6.995,7.008,6.968,7.0569999999999995,7.0329999999999995,7.018,8.040000000000001,7.928,7.87,7.766,7.908,7.815,7.869,7.815,7.908,7.767,7.823,8.066,18.271,18.344,18.289,18.267000000000003,18.28,18.28,18.290000000000003,18.263,18.274,18.338,18.3,18.356,18.326,18.258000000000003,18.306,18.351000000000003,18.231,18.286,18.218,18.255000000000003,18.329,18.334000000000003,18.291,18.237000000000002,18.278000000000002,18.252000000000002,18.137,18.219,18.187,18.246000000000002,18.178,18.239
0.0,0.0,6.55,7.37,17.6,28.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,6.941,7.056,7.0169999999999995,6.9959999999999996,7.014,7.0249999999999995,6.981,7.023,7.029999999999999,7.01,7.026,7.006,7.04,7.032,7.028,7.005,6.987,6.994,7.002,6.912,7.015,7.015,6.9799999999999995,7.035,7.029999999999999,7.003,7.045,7.011,7.06,6.994,6.986,7.0409999999999995,6.958,6.976,6.984,7.007,7.012,6.989,7.01,7.054,7.044,7.0249999999999995,6.995,7.008,6.968,7.0569999999999995,7.0329999999999995,7.018,8.040000000000001,7.928,7.87,7.766,7.908,7.815,7.869,7.815,7.908,7.767,7.823,8.066,18.271,18.344,18.289,18.267000000000003,18.28,18.28,18.290000000000003,18.263,18.274,18.338,18.3,18.356,18.326,18.258000000000003,18.306,18.351000000000003,18.231,18.286,18.218,18.255000000000003,18.329,18.334000000000003,18.291,18.237000000000002,18.278000000000002,18.252000000000002,18.137,18.219,18.187,18.246000000000002,18.178,18.239
0.0,0.0,6.55,7.37,17.6,26.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,6.941,7.056,7.0169999999999995,6.9959999999999996,7.014,7.0249999999999995,6.981,7.023,7.029999999999999,7.01,7.026,7.006,7.04,7.032,7.028,7.005,6.987,6.994,7.002,6.912,7.015,7.015,6.9799999999999995,7.035,7.029999999999999,7.003,7.045,7.011,7.06,6.994,6.986,7.0409999999999995,6.958,6.976,6.984,7.007,7.012,6.989,7.01,7.054,7.044,7.0249999999999995,6.995,7.008,6.968,7.0569999999999995,7.0329999999999995,7.018,8.040000000000001,7.928,7.87,7.766,7.908,7.815,7.869,7.815,7.908,7.767,7.823,8.066,18.271,18.344,18.289,18.267000000000003,18.28,18.28,18.290000000000003,18.263,18.274,18.338,18.3,18.356,18.326,18.258000000000003,18.306,18.351000000000003,18.231,18.286,18.218,18.255000000000003,18.329,18.334000000000003,18.291,18.237000000000002,18.278000000000002,18.252000000000002,18.137,18.219,18.187,18.246000000000002,18.178,18.239
0.0,0.0,6.55,7.37,17.6,8.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,6.941,7.056,7.0169999999999995,6.9959999999999996,7.014,7.0249999999999995,6.981,7.023,7.029999999999999,7.01,7.026,7.006,7.04,7.032,7.028,7.005,6.987,6.994,7.002,6.912,7.015,7.015,6.9799999999999995,7.035,7.029999999999999,7.003,7.045,7.011,7.06,6.994,6.986,7.0409999999999995,6.958,6.976,6.984,7.007,7.012,6.989,7.01,7.054,7.044,7.0249999999999995,6.995,7.008,6.968,7.0569999999999995,7.0329999999999995,7.018,8.040000000000001,7.928,7.87,7.766,7.908,7.815,7.869,7.815,7.908,7.767,7.823,8.066,18.271,18.344,18.289,18.267000000000003,18.28,18.28,18.290000000000003,18.263,18.274,18.338,18.3,18.356,18.326,18.258000000000003,18.306,18.351000000000003,18.231,18.286,18.218,18.255000000000003,18.329,18.334000000000003,18.291,18.237000000000002,18.278000000000002,18.252000000000002,18.137,18.219,18.187,18.246000000000002,18.178,18.239
0.0,0.0,6.55,7.37,17.6,6.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,6.941,7.056,7.0169999999999995,6.9959999999999996,7.014,7.0249999999999995,6.981,7.023,7.029999999999999,7.01,7.026,7.006,7.04,7.032,7.028,7.005,6.987,6.994,7.002,6.912,7.015,7.015,6.9799999999999995,7.035,7.029999999999999,7.003,7.045,7.011,7.06,6.994,6.986,7.0409999999999995,6.958,6.976,6.984,7.007,7.012,6.989,7.01,7.054,7.044,7.0249999999999995,6.995,7.008,6.968,7.0569999999999995,7.0329999999999995,7.018,8.040000000000001,7.928,7.87,7.766,7.908,7.815,7.869,7.815,7.908,7.767,7.823,8.066,18.271,18.344,18.289,18.267000000000003,18.28,18.28,18.290000000000003,18.263,18.274,18.338,18.3,18.356,18.326,18.258000000000003,18.306,18.351000000000003,18.231,18.286,18.218,18.255000000000003,18.329,18.334000000000003,18.291,18.237000000000002,18.278000000000002,18.252000000000002,18.137,18.219,18.187,18.246000000000002,18.178,18.239
