grenoble,lille,paris,saclay,strasbourg,lille_20_m3-1,lille_20_m3-5,lille_20_m3-6,lille_20_m3-13,lille_20_m3-15,lille_20_m3-17,lille_20_m3-19,lille_20_m3-20,lille_20_m3-21,lille_20_m3-22,paris_m3-4,paris_m3-5,paris_m3-6,paris_m3-7,paris_m3-8,paris_m3-10,paris_m3-11,paris_m3-12,paris_m3-13,paris_m3-14,paris_m3-15,paris_m3-16,paris_m3-17,paris_m3-18,paris_m3-19,paris_m3-20,paris_m3-21,paris_m3-22,paris_m3-23,paris_m3-24,paris_m3-25,paris_m3-26,paris_m3-27,paris_m3-28,paris_m3-31,paris_m3-35,paris_m3-36,paris_m3-37,paris_m3-38,paris_m3-39,paris_m3-40,paris_m3-41,paris_m3-42,paris_m3-43,paris_m3-44,paris_m3-47,paris_m3-48,paris_m3-49,paris_m3-50,paris_m3-51,paris_m3-52,paris_m3-53,paris_m3-55,paris_m3-56,paris_m3-57,paris_m3-60,paris_m3-61,paris_m3-63,paris_m3-64,saclay_m3-1,saclay_m3-2,saclay_m3-3,saclay_m3-4,saclay_m3-5,saclay_m3-6,saclay_m3-7,saclay_m3-8,saclay_m3-9,saclay_m3-10,saclay_m3-11,saclay_m3-12,strasbourg_m3-2,strasbourg_m3-3,strasbourg_m3-6,strasbourg_m3-7,strasbourg_m3-12,strasbourg_m3-13,strasbourg_m3-14,strasbourg_m3-15,strasbourg_m3-18,strasbourg_m3-19,strasbourg_m3-23,strasbourg_m3-25,strasbourg_m3-28,strasbourg_m3-30,strasbourg_m3-31,strasbourg_m3-34,strasbourg_m3-35,strasbourg_m3-38,strasbourg_m3-40,strasbourg_m3-41,strasbourg_m3-42,strasbourg_m3-44,strasbourg_m3-45,strasbourg_m3-46,strasbourg_m3-47,strasbourg_m3-49,strasbourg_m3-51,strasbourg_m3-54,strasbourg_m3-55,strasbourg_m3-58,strasbourg_m3-59,strasbourg_m3-63
0.0,0.0,11.3,12.2,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.761000000000001,11.751000000000001,11.765,11.8,11.802000000000001,11.811,11.825000000000001,11.798,11.812000000000001,11.794,11.833,11.752,11.838000000000001,11.762,11.784,11.836,11.839,11.809000000000001,11.817,11.783000000000001,11.816,11.787,11.774000000000001,11.774000000000001,11.797,11.82,11.816,11.951,11.842,11.862,11.824000000000002,11.808,11.821000000000002,11.815000000000001,11.823,11.821000000000002,11.831000000000001,11.834000000000001,11.823,11.793000000000001,11.809000000000001,11.847000000000001,11.8,11.761000000000001,11.865,11.677000000000001,11.831000000000001,11.962000000000002,11.858,12.681,12.694999999999999,12.700999999999999,12.706,12.662999999999998,12.564,12.710999999999999,12.681999999999999,12.671999999999999,12.67,12.692,12.77,13.785,13.87,13.933,13.793,13.79,13.790999999999999,13.800999999999998,13.773,13.78,13.822999999999999,13.802999999999999,13.796,13.83,13.751999999999999,13.856,13.79,13.956999999999999,13.793999999999999,13.785,13.869,13.822999999999999,13.808,13.878,13.847,13.812999999999999,13.847999999999999,13.818999999999999,13.79,13.770999999999999,13.869,13.806,13.835999999999999
0.0,0.0,6.63,7.09,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.091,7.0809999999999995,7.095,7.13,7.132,7.141,7.155,7.128,7.1419999999999995,7.124,7.163,7.082,7.168,7.092,7.114,7.166,7.169,7.139,7.147,7.1129999999999995,7.146,7.117,7.104,7.104,7.127,7.15,7.146,7.281,7.172,7.192,7.154,7.138,7.151,7.145,7.153,7.151,7.161,7.164,7.153,7.123,7.139,7.177,7.13,7.091,7.195,7.007,7.161,7.292,7.188,7.571,7.585,7.591,7.596,7.553,7.454,7.601,7.572,7.561999999999999,7.56,7.582,7.66,18.185000000000002,18.270000000000003,18.333000000000002,18.193,18.19,18.191000000000003,18.201,18.173000000000002,18.18,18.223000000000003,18.203000000000003,18.196,18.23,18.152,18.256,18.19,18.357000000000003,18.194000000000003,18.185000000000002,18.269000000000002,18.223000000000003,18.208000000000002,18.278000000000002,18.247,18.213,18.248,18.219,18.19,18.171000000000003,18.269000000000002,18.206000000000003,18.236
11.3,6.63,0.0,3.58,13.7,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,0.461,0.451,0.465,0.5,0.502,0.511,0.525,0.498,0.512,0.494,0.533,0.452,0.538,0.462,0.484,0.536,0.539,0.509,0.517,0.483,0.516,0.487,0.474,0.474,0.497,0.52,0.516,0.651,0.542,0.562,0.524,0.508,0.521,0.515,0.523,0.521,0.531,0.534,0.523,0.493,0.509,0.547,0.5,0.461,0.565,0.377,0.531,0.662,0.558,4.061,4.075,4.081,4.086,4.043,3.944,4.091,4.062,4.052,4.05,4.072,4.15,14.285,14.37,14.433,14.293,14.29,14.290999999999999,14.300999999999998,14.273,14.28,14.322999999999999,14.302999999999999,14.296,14.33,14.251999999999999,14.356,14.29,14.456999999999999,14.293999999999999,14.285,14.369,14.322999999999999,14.308,14.378,14.347,14.312999999999999,14.347999999999999,14.318999999999999,14.29,14.270999999999999,14.369,14.306,14.335999999999999
12.2,7.09,3.58,0.0,14.6,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,4.041,4.031,4.045,4.08,4.082,4.091,4.105,4.078,4.0920000000000005,4.074,4.113,4.032,4.118,4.042,4.064,4.116,4.119,4.089,4.097,4.063,4.096,4.067,4.054,4.054,4.077,4.1,4.096,4.231,4.122,4.142,4.104,4.088,4.101,4.095,4.103,4.101,4.111,4.114,4.103,4.073,4.089,4.127,4.08,4.041,4.145,3.957,4.111,4.242,4.138,0.481,0.495,0.501,0.506,0.463,0.364,0.511,0.482,0.472,0.47,0.492,0.57,15.184999999999999,15.27,15.333,15.193,15.19,15.190999999999999,15.201,15.173,15.18,15.222999999999999,15.203,15.196,15.23,15.152,15.256,15.19,15.357,15.193999999999999,15.184999999999999,15.269,15.222999999999999,15.208,15.278,15.247,15.213,15.248,15.219,15.19,15.171,15.269,15.206,15.235999999999999
13.2,17.6,13.7,14.6,0.0,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,14.161,14.151,14.165,14.2,14.202,14.210999999999999,14.225,14.197999999999999,14.212,14.193999999999999,14.232999999999999,14.152,14.238,14.161999999999999,14.184,14.235999999999999,14.238999999999999,14.209,14.216999999999999,14.183,14.216,14.187,14.174,14.174,14.197,14.219999999999999,14.216,14.350999999999999,14.241999999999999,14.261999999999999,14.224,14.207999999999998,14.221,14.215,14.222999999999999,14.221,14.231,14.234,14.222999999999999,14.193,14.209,14.247,14.2,14.161,14.264999999999999,14.077,14.231,14.362,14.258,15.081,15.094999999999999,15.100999999999999,15.106,15.062999999999999,14.964,15.110999999999999,15.081999999999999,15.072,15.07,15.091999999999999,15.17,0.585,0.67,0.733,0.593,0.59,0.591,0.601,0.573,0.58,0.623,0.603,0.596,0.63,0.552,0.656,0.59,0.757,0.594,0.585,0.669,0.623,0.608,0.678,0.647,0.613,0.648,0.619,0.59,0.571,0.669,0.606,0.636
0.0,0.0,6.63,7.09,17.6,0.0,57.119,11.387,19.521,26.477,14.586,35.587,12.911,11.471,11.419,7.091,7.0809999999999995,7.095,7.13,7.132,7.141,7.155,7.128,7.1419999999999995,7.124,7.163,7.082,7.168,7.092,7.114,7.166,7.169,7.139,7.147,7.1129999999999995,7.146,7.117,7.104,7.104,7.127,7.15,7.146,7.281,7.172,7.192,7.154,7.138,7.151,7.145,7.153,7.151,7.161,7.164,7.153,7.123,7.139,7.177,7.13,7.091,7.195,7.007,7.161,7.292,7.188,7.571,7.585,7.591,7.596,7.553,7.454,7.601,7.572,7.561999999999999,7.56,7.582,7.66,18.185000000000002,18.270000000000003,18.333000000000002,18.193,18.19,18.191000000000003,18.201,18.173000000000002,18.18,18.223000000000003,18.203000000000003,18.196,18.23,18.152,18.256,18.19,18.357000000000003,18.194000000000003,18.185000000000002,18.269000000000002,18.223000000000003,18.208000000000002,18.278000000000002,18.247,18.213,18.248,18.219,18.19,18.171000000000003,18.269000000000002,18.206000000000003,18.236
0.0,0.0,6.63,7.09,17.6,57.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.091,7.0809999999999995,7.095,7.13,7.132,7.141,7.155,7.128,7.1419999999999995,7.124,7.163,7.082,7.168,7.092,7.114,7.166,7.169,7.139,7.147,7.1129999999999995,7.146,7.117,7.104,7.104,7.127,7.15,7.146,7.281,7.172,7.192,7.154,7.138,7.151,7.145,7.153,7.151,7.161,7.164,7.153,7.123,7.139,7.177,7.13,7.091,7.195,7.007,7.161,7.292,7.188,7.571,7.585,7.591,7.596,7.553,7.454,7.601,7.572,7.561999999999999,7.56,7.582,7.66,18.185000000000002,18.270000000000003,18.333000000000002,18.193,18.19,18.191000000000003,18.201,18.173000000000002,18.18,18.223000000000003,18.203000000000003,18.196,18.23,18.152,18.256,18.19,18.357000000000003,18.194000000000003,18.185000000000002,18.269000000000002,18.223000000000003,18.208000000000002,18.278000000000002,18.247,18.213,18.248,18.219,18.19,18.171000000000003,18.269000000000002,18.206000000000003,18.236
0.0,0.0,6.63,7.09,17.6,11.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.091,7.0809999999999995,7.095,7.13,7.132,7.141,7.155,7.128,7.1419999999999995,7.124,7.163,7.082,7.168,7.092,7.114,7.166,7.169,7.139,7.147,7.1129999999999995,7.146,7.117,7.104,7.104,7.127,7.15,7.146,7.281,7.172,7.192,7.154,7.138,7.151,7.145,7.153,7.151,7.161,7.164,7.153,7.123,7.139,7.177,7.13,7.091,7.195,7.007,7.161,7.292,7.188,7.571,7.585,7.591,7.596,7.553,7.454,7.601,7.572,7.561999999999999,7.56,7.582,7.66,18.185000000000002,18.270000000000003,18.333000000000002,18.193,18.19,18.191000000000003,18.201,18.173000000000002,18.18,18.223000000000003,18.203000000000003,18.196,18.23,18.152,18.256,18.19,18.357000000000003,18.194000000000003,18.185000000000002,18.269000000000002,18.223000000000003,18.208000000000002,18.278000000000002,18.247,18.213,18.248,18.219,18.19,18.171000000000003,18.269000000000002,18.206000000000003,18.236
0.0,0.0,6.63,7.09,17.6,19.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.091,7.0809999999999995,7.095,7.13,7.132,7.141,7.155,7.128,7.1419999999999995,7.124,7.163,7.082,7.168,7.092,7.114,7.166,7.169,7.139,7.147,7.1129999999999995,7.146,7.117,7.104,7.104,7.127,7.15,7.146,7.281,7.172,7.192,7.154,7.138,7.151,7.145,7.153,7.151,7.161,7.164,7.153,7.123,7.139,7.177,7.13,7.091,7.195,7.007,7.161,7.292,7.188,7.571,7.585,7.591,7.596,7.553,7.454,7.601,7.572,7.561999999999999,7.56,7.582,7.66,18.185000000000002,18.270000000000003,18.333000000000002,18.193,18.19,18.191000000000003,18.201,18.173000000000002,18.18,18.223000000000003,18.203000000000003,18.196,18.23,18.152,18.256,18.19,18.357000000000003,18.194000000000003,18.185000000000002,18.269000000000002,18.223000000000003,18.208000000000002,18.278000000000002,18.247,18.213,18.248,18.219,18.19,18.171000000000003,18.269000000000002,18.206000000000003,18.236
0.0,0.0,6.63,7.09,17.6,26.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.091,7.0809999999999995,7.095,7.13,7.132,7.141,7.155,7.128,7.1419999999999995,7.124,7.163,7.082,7.168,7.092,7.114,7.166,7.169,7.139,7.147,7.1129999999999995,7.146,7.117,7.104,7.104,7.127,7.15,7.146,7.281,7.172,7.192,7.154,7.138,7.151,7.145,7.153,7.151,7.161,7.164,7.153,7.123,7.139,7.177,7.13,7.091,7.195,7.007,7.161,7.292,7.188,7.571,7.585,7.591,7.596,7.553,7.454,7.601,7.572,7.561999999999999,7.56,7.582,7.66,18.185000000000002,18.270000000000003,18.333000000000002,18.193,18.19,18.191000000000003,18.201,18.173000000000002,18.18,18.223000000000003,18.203000000000003,18.196,18.23,18.152,18.256,18.19,18.357000000000003,18.194000000000003,18.185000000000002,18.269000000000002,18.223000000000003,18.208000000000002,18.278000000000002,18.247,18.213,18.248,18.219,18.19,18.171000000000003,18.269000000000002,18.206000000000003,18.236
