grenoble,lille,paris,saclay,strasbourg,lille_20_m3-1,lille_20_m3-3,lille_20_m3-4,lille_20_m3-5,lille_20_m3-6,lille_20_m3-12,lille_20_m3-17,lille_20_m3-18,lille_20_m3-19,lille_20_m3-20,lille_20_m3-21,lille_20_m3-22,lille_20_m3-23,paris_m3-4,paris_m3-5,paris_m3-6,paris_m3-7,paris_m3-8,paris_m3-10,paris_m3-11,paris_m3-12,paris_m3-13,paris_m3-14,paris_m3-15,paris_m3-16,paris_m3-17,paris_m3-18,paris_m3-19,paris_m3-20,paris_m3-21,paris_m3-22,paris_m3-23,paris_m3-24,paris_m3-25,paris_m3-26,paris_m3-27,paris_m3-28,paris_m3-31,paris_m3-35,paris_m3-36,paris_m3-37,paris_m3-38,paris_m3-39,paris_m3-40,paris_m3-41,paris_m3-42,paris_m3-43,paris_m3-44,paris_m3-47,paris_m3-48,paris_m3-49,paris_m3-50,paris_m3-51,paris_m3-52,paris_m3-53,paris_m3-55,paris_m3-56,paris_m3-57,paris_m3-60,paris_m3-61,paris_m3-63,paris_m3-64,saclay_m3-1,saclay_m3-2,saclay_m3-3,saclay_m3-4,saclay_m3-5,saclay_m3-6,saclay_m3-7,saclay_m3-8,saclay_m3-9,saclay_m3-10,saclay_m3-11,saclay_m3-12,strasbourg_m3-2,strasbourg_m3-3,strasbourg_m3-6,strasbourg_m3-7,strasbourg_m3-12,strasbourg_m3-13,strasbourg_m3-14,strasbourg_m3-15,strasbourg_m3-18,strasbourg_m3-19,strasbourg_m3-23,strasbourg_m3-25,strasbourg_m3-28,strasbourg_m3-30,strasbourg_m3-31,strasbourg_m3-34,strasbourg_m3-35,strasbourg_m3-38,strasbourg_m3-40,strasbourg_m3-41,strasbourg_m3-42,strasbourg_m3-44,strasbourg_m3-45,strasbourg_m3-46,strasbourg_m3-47,strasbourg_m3-49,strasbourg_m3-51,strasbourg_m3-54,strasbourg_m3-55,strasbourg_m3-58,strasbourg_m3-59,strasbourg_m3-63
0.0,0.0,11.5,12.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072,12.144,12.055,12.066,12.048,12.043,12.061,12.005,11.966,12.014,12.051,12.038,12.054,11.885,11.929,12.023,11.971,11.957,11.96,11.955,11.943,12.009,12.008,11.911,11.943,12.023,12.009,12.049,12.038,12.06,11.99,12.005,11.96,12.027,12.004,12.022,12.016,12.051,12.047,12.009,11.964,12.0,11.996,11.989,12.035,12.072,12.036,12.036,11.946,12.46,12.484,12.481,12.483,12.485,12.379,12.532,12.481,12.562,12.352,12.463,12.606,13.305,13.347,13.295,13.309999999999999,13.290999999999999,13.312,13.296999999999999,13.293,13.258,13.273,13.309999999999999,13.287999999999998,13.282,13.274,13.341999999999999,13.274,13.309,13.270999999999999,13.279,13.302,13.248,13.232,13.258,13.248999999999999,13.287999999999998,13.276,13.285,13.293,13.293999999999999,13.302,13.245999999999999,13.279
0.0,0.0,6.45,7.2,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022,7.094,7.005,7.016,6.998,6.993,7.011,6.955,6.916,6.964,7.001,6.988,7.0040000000000004,6.835,6.8790000000000004,6.973,6.921,6.907,6.91,6.905,6.893,6.9590000000000005,6.958,6.861,6.893,6.973,6.9590000000000005,6.9990000000000006,6.988,7.01,6.94,6.955,6.91,6.977,6.954000000000001,6.972,6.966,7.001,6.997,6.9590000000000005,6.914000000000001,6.95,6.946,6.939,6.985,7.022,6.986000000000001,6.986000000000001,6.896,7.66,7.684,7.681,7.683,7.6850000000000005,7.579000000000001,7.732,7.681,7.7620000000000005,7.5520000000000005,7.663,7.806,18.005,18.046999999999997,17.994999999999997,18.009999999999998,17.991,18.011999999999997,17.997,17.993,17.958,17.973,18.009999999999998,17.988,17.982,17.974,18.041999999999998,17.974,18.009,17.971,17.979,18.002,17.948,17.932,17.958,17.948999999999998,17.988,17.976,17.985,17.993,17.994,18.002,17.945999999999998,17.979
11.5,6.45,0.0,3.39,13.7,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0.572,0.644,0.555,0.566,0.548,0.543,0.561,0.505,0.466,0.514,0.551,0.538,0.554,0.385,0.429,0.523,0.471,0.457,0.46,0.455,0.443,0.509,0.508,0.411,0.443,0.523,0.509,0.549,0.538,0.56,0.49,0.505,0.46,0.527,0.504,0.522,0.516,0.551,0.547,0.509,0.464,0.5,0.496,0.489,0.535,0.572,0.536,0.536,0.446,3.85,3.874,3.871,3.873,3.875,3.769,3.922,3.871,3.952,3.742,3.853,3.996,14.305,14.347,14.295,14.309999999999999,14.290999999999999,14.312,14.296999999999999,14.293,14.258,14.273,14.309999999999999,14.287999999999998,14.282,14.274,14.341999999999999,14.274,14.309,14.270999999999999,14.279,14.302,14.248,14.232,14.258,14.248999999999999,14.287999999999998,14.276,14.285,14.293,14.293999999999999,14.302,14.245999999999999,14.279
12.0,7.2,3.39,0.0,14.4,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,3.962,4.034,3.9450000000000003,3.956,3.938,3.9330000000000003,3.951,3.895,3.8560000000000003,3.904,3.9410000000000003,3.928,3.944,3.7750000000000004,3.819,3.9130000000000003,3.861,3.847,3.85,3.845,3.833,3.899,3.898,3.801,3.833,3.9130000000000003,3.899,3.939,3.928,3.95,3.88,3.895,3.85,3.9170000000000003,3.894,3.912,3.906,3.9410000000000003,3.9370000000000003,3.899,3.854,3.89,3.886,3.879,3.9250000000000003,3.962,3.926,3.926,3.8360000000000003,0.46,0.484,0.481,0.483,0.485,0.379,0.532,0.481,0.562,0.352,0.463,0.606,15.005,15.047,14.995000000000001,15.01,14.991,15.012,14.997,14.993,14.958,14.973,15.01,14.988,14.982000000000001,14.974,15.042,14.974,15.009,14.971,14.979000000000001,15.002,14.948,14.932,14.958,14.949,14.988,14.976,14.985,14.993,14.994,15.002,14.946,14.979000000000001
12.7,17.4,13.7,14.4,0.0,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,14.271999999999998,14.344,14.254999999999999,14.266,14.248,14.242999999999999,14.261,14.205,14.165999999999999,14.213999999999999,14.251,14.238,14.254,14.084999999999999,14.129,14.222999999999999,14.171,14.157,14.16,14.155,14.142999999999999,14.209,14.207999999999998,14.110999999999999,14.142999999999999,14.222999999999999,14.209,14.248999999999999,14.238,14.26,14.19,14.205,14.16,14.226999999999999,14.203999999999999,14.222,14.216,14.251,14.247,14.209,14.164,14.2,14.196,14.189,14.235,14.271999999999998,14.235999999999999,14.235999999999999,14.145999999999999,14.860000000000001,14.884,14.881,14.883000000000001,14.885,14.779,14.932,14.881,14.962,14.752,14.863,15.006,0.605,0.647,0.595,0.61,0.591,0.612,0.597,0.593,0.558,0.573,0.61,0.588,0.582,0.574,0.642,0.574,0.609,0.571,0.579,0.602,0.548,0.532,0.558,0.549,0.588,0.576,0.585,0.593,0.594,0.602,0.546,0.579
0.0,0.0,6.45,7.2,17.4,0.0,40.396,34.455,28.731,20.425,14.072,14.342,6.328,9.737,8.882,9.365,6.648,8.562,7.022,7.094,7.005,7.016,6.998,6.993,7.011,6.955,6.916,6.964,7.001,6.988,7.0040000000000004,6.835,6.8790000000000004,6.973,6.921,6.907,6.91,6.905,6.893,6.9590000000000005,6.958,6.861,6.893,6.973,6.9590000000000005,6.9990000000000006,6.988,7.01,6.94,6.955,6.91,6.977,6.954000000000001,6.972,6.966,7.001,6.997,6.9590000000000005,6.914000000000001,6.95,6.946,6.939,6.985,7.022,6.986000000000001,6.986000000000001,6.896,7.66,7.684,7.681,7.683,7.6850000000000005,7.579000000000001,7.732,7.681,7.7620000000000005,7.5520000000000005,7.663,7.806,18.005,18.046999999999997,17.994999999999997,18.009999999999998,17.991,18.011999999999997,17.997,17.993,17.958,17.973,18.009999999999998,17.988,17.982,17.974,18.041999999999998,17.974,18.009,17.971,17.979,18.002,17.948,17.932,17.958,17.948999999999998,17.988,17.976,17.985,17.993,17.994,18.002,17.945999999999998,17.979
0.0,0.0,6.45,7.2,17.4,40.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022,7.094,7.005,7.016,6.998,6.993,7.011,6.955,6.916,6.964,7.001,6.988,7.0040000000000004,6.835,6.8790000000000004,6.973,6.921,6.907,6.91,6.905,6.893,6.9590000000000005,6.958,6.861,6.893,6.973,6.9590000000000005,6.9990000000000006,6.988,7.01,6.94,6.955,6.91,6.977,6.954000000000001,6.972,6.966,7.001,6.997,6.9590000000000005,6.914000000000001,6.95,6.946,6.939,6.985,7.022,6.986000000000001,6.986000000000001,6.896,7.66,7.684,7.681,7.683,7.6850000000000005,7.579000000000001,7.732,7.681,7.7620000000000005,7.5520000000000005,7.663,7.806,18.005,18.046999999999997,17.994999999999997,18.009999999999998,17.991,18.011999999999997,17.997,17.993,17.958,17.973,18.009999999999998,17.988,17.982,17.974,18.041999999999998,17.974,18.009,17.971,17.979,18.002,17.948,17.932,17.958,17.948999999999998,17.988,17.976,17.985,17.993,17.994,18.002,17.945999999999998,17.979
0.0,0.0,6.45,7.2,17.4,34.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022,7.094,7.005,7.016,6.998,6.993,7.011,6.955,6.916,6.964,7.001,6.988,7.0040000000000004,6.835,6.8790000000000004,6.973,6.921,6.907,6.91,6.905,6.893,6.9590000000000005,6.958,6.861,6.893,6.973,6.9590000000000005,6.9990000000000006,6.988,7.01,6.94,6.955,6.91,6.977,6.954000000000001,6.972,6.966,7.001,6.997,6.9590000000000005,6.914000000000001,6.95,6.946,6.939,6.985,7.022,6.986000000000001,6.986000000000001,6.896,7.66,7.684,7.681,7.683,7.6850000000000005,7.579000000000001,7.732,7.681,7.7620000000000005,7.5520000000000005,7.663,7.806,18.005,18.046999999999997,17.994999999999997,18.009999999999998,17.991,18.011999999999997,17.997,17.993,17.958,17.973,18.009999999999998,17.988,17.982,17.974,18.041999999999998,17.974,18.009,17.971,17.979,18.002,17.948,17.932,17.958,17.948999999999998,17.988,17.976,17.985,17.993,17.994,18.002,17.945999999999998,17.979
0.0,0.0,6.45,7.2,17.4,28.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022,7.094,7.005,7.016,6.998,6.993,7.011,6.955,6.916,6.964,7.001,6.988,7.0040000000000004,6.835,6.8790000000000004,6.973,6.921,6.907,6.91,6.905,6.893,6.9590000000000005,6.958,6.861,6.893,6.973,6.9590000000000005,6.9990000000000006,6.988,7.01,6.94,6.955,6.91,6.977,6.954000000000001,6.972,6.966,7.001,6.997,6.9590000000000005,6.914000000000001,6.95,6.946,6.939,6.985,7.022,6.986000000000001,6.986000000000001,6.896,7.66,7.684,7.681,7.683,7.6850000000000005,7.579000000000001,7.732,7.681,7.7620000000000005,7.5520000000000005,7.663,7.806,18.005,18.046999999999997,17.994999999999997,18.009999999999998,17.991,18.011999999999997,17.997,17.993,17.958,17.973,18.009999999999998,17.988,17.982,17.974,18.041999999999998,17.974,18.009,17.971,17.979,18.002,17.948,17.932,17.958,17.948999999999998,17.988,17.976,17.985,17.993,17.994,18.002,17.945999999999998,17.979
0.0,0.0,6.45,7.2,17.4,20.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022,7.094,7.005,7.016,6.998,6.993,7.011,6.955,6.916,6.964,7.001,6.988,7.0040000000000004,6.835,6.8790000000000004,6.973,6.921,6.907,6.91,6.905,6.893,6.9590000000000005,6.958,6.861,6.893,6.973,6.9590000000000005,6.9990000000000006,6.988,7.01,6.94,6.955,6.91,6.977,6.954000000000001,6.972,6.966,7.001,6.997,6.9590000000000005,6.914000000000001,6.95,6.946,6.939,6.985,7.022,6.986000000000001,6.986000000000001,6.896,7.66,7.684,7.681,7.683,7.6850000000000005,7.579000000000001,7.732,7.681,7.7620000000000005,7.5520000000000005,7.663,7.806,18.005,18.046999999999997,17.994999999999997,18.009999999999998,17.991,18.011999999999997,17.997,17.993,17.958,17.973,18.009999999999998,17.988,17.982,17.974,18.041999999999998,17.974,18.009,17.971,17.979,18.002,17.948,17.932,17.958,17.948999999999998,17.988,17.976,17.985,17.993,17.994,18.002,17.945999999999998,17.979
