grenoble,lille,paris,saclay,strasbourg,lille_20_m3-1,lille_20_m3-3,lille_20_m3-4,lille_20_m3-5,lille_20_m3-6,lille_20_m3-12,lille_20_m3-13,lille_20_m3-15,lille_20_m3-17,lille_20_m3-18,lille_20_m3-20,lille_20_m3-21,lille_20_m3-22,lille_20_m3-23,paris_m3-4,paris_m3-5,paris_m3-6,paris_m3-7,paris_m3-8,paris_m3-10,paris_m3-11,paris_m3-12,paris_m3-13,paris_m3-14,paris_m3-15,paris_m3-16,paris_m3-17,paris_m3-18,paris_m3-19,paris_m3-20,paris_m3-21,paris_m3-22,paris_m3-23,paris_m3-24,paris_m3-25,paris_m3-26,paris_m3-27,paris_m3-28,paris_m3-31,paris_m3-35,paris_m3-36,paris_m3-37,paris_m3-38,paris_m3-39,paris_m3-40,paris_m3-41,paris_m3-42,paris_m3-43,paris_m3-44,paris_m3-47,paris_m3-48,paris_m3-49,paris_m3-50,paris_m3-51,paris_m3-52,paris_m3-53,paris_m3-55,paris_m3-56,paris_m3-57,paris_m3-60,paris_m3-61,paris_m3-63,paris_m3-64,saclay_m3-1,saclay_m3-2,saclay_m3-3,saclay_m3-4,saclay_m3-5,saclay_m3-6,saclay_m3-7,saclay_m3-8,saclay_m3-9,saclay_m3-10,saclay_m3-11,saclay_m3-12,strasbourg_m3-2,strasbourg_m3-3,strasbourg_m3-6,strasbourg_m3-7,strasbourg_m3-12,strasbourg_m3-13,strasbourg_m3-14,strasbourg_m3-15,strasbourg_m3-18,strasbourg_m3-19,strasbourg_m3-23,strasbourg_m3-25,strasbourg_m3-28,strasbourg_m3-30,strasbourg_m3-31,strasbourg_m3-34,strasbourg_m3-35,strasbourg_m3-38,strasbourg_m3-40,strasbourg_m3-41,strasbourg_m3-42,strasbourg_m3-44,strasbourg_m3-45,strasbourg_m3-46,strasbourg_m3-47,strasbourg_m3-49,strasbourg_m3-51,strasbourg_m3-54,strasbourg_m3-55,strasbourg_m3-58,strasbourg_m3-59,strasbourg_m3-63
0.0,0.0,15.6,12.1,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.114,16.128,16.148,16.144,16.075,16.098,16.133,16.088,16.126,16.1,16.133,16.058,16.137,16.15,16.114,16.134999999999998,16.083,16.112,16.118,16.13,16.076999999999998,16.098,16.137,16.121,16.121,16.064,16.094,16.117,16.148,16.169,16.116,16.128,16.107,16.133,16.07,16.143,16.114,16.128,16.104,16.129,16.102,16.144,16.119,16.072,16.114,16.094,16.099,16.102,16.133,12.629999999999999,12.584999999999999,12.684999999999999,12.546999999999999,12.619,12.575,12.573,12.586,12.523,12.658999999999999,12.77,12.875,13.58,13.459000000000001,13.577,13.505,13.455,13.419,13.515,13.455,13.481000000000002,13.418000000000001,13.548,13.434000000000001,13.436,13.438,13.436,13.407,13.485000000000001,13.482000000000001,13.484,13.511000000000001,13.485000000000001,13.533000000000001,13.496,13.485000000000001,13.499,13.536000000000001,13.425,13.483,13.49,13.509,13.559000000000001,13.438
0.0,0.0,6.54,7.09,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054,7.068,7.088,7.084,7.015,7.038,7.073,7.0280000000000005,7.066,7.04,7.073,6.998,7.077,7.09,7.054,7.075,7.023,7.052,7.058,7.07,7.017,7.038,7.077,7.061,7.061,7.0040000000000004,7.034,7.057,7.088,7.109,7.056,7.068,7.047,7.073,7.01,7.083,7.054,7.068,7.0440000000000005,7.069,7.042,7.084,7.059,7.0120000000000005,7.054,7.034,7.039,7.042,7.073,7.62,7.575,7.675,7.537,7.609,7.5649999999999995,7.563,7.576,7.513,7.649,7.76,7.865,18.380000000000003,18.259,18.377000000000002,18.305,18.255000000000003,18.219,18.315,18.255000000000003,18.281000000000002,18.218,18.348000000000003,18.234,18.236,18.238000000000003,18.236,18.207,18.285,18.282,18.284000000000002,18.311,18.285,18.333000000000002,18.296000000000003,18.285,18.299000000000003,18.336000000000002,18.225,18.283,18.290000000000003,18.309,18.359,18.238000000000003
15.6,6.54,0.0,1.91,15.6,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,0.514,0.528,0.548,0.544,0.475,0.498,0.533,0.488,0.526,0.5,0.533,0.458,0.537,0.55,0.514,0.535,0.483,0.512,0.518,0.53,0.477,0.498,0.537,0.521,0.521,0.464,0.494,0.517,0.548,0.569,0.516,0.528,0.507,0.533,0.47,0.543,0.514,0.528,0.504,0.529,0.502,0.544,0.519,0.472,0.514,0.494,0.499,0.502,0.533,2.44,2.395,2.495,2.3569999999999998,2.429,2.385,2.383,2.396,2.3329999999999997,2.469,2.58,2.685,16.38,16.259,16.377,16.305,16.255,16.219,16.315,16.255,16.281,16.218,16.348,16.233999999999998,16.236,16.238,16.236,16.207,16.285,16.282,16.284,16.311,16.285,16.333,16.296,16.285,16.299,16.336,16.225,16.283,16.29,16.309,16.358999999999998,16.238
12.1,7.09,1.91,0.0,14.5,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,2.424,2.4379999999999997,2.458,2.4539999999999997,2.385,2.408,2.443,2.3979999999999997,2.436,2.41,2.443,2.368,2.447,2.46,2.424,2.445,2.393,2.4219999999999997,2.428,2.44,2.387,2.408,2.447,2.431,2.431,2.374,2.404,2.427,2.458,2.479,2.426,2.4379999999999997,2.417,2.443,2.38,2.453,2.424,2.4379999999999997,2.4139999999999997,2.439,2.412,2.4539999999999997,2.429,2.3819999999999997,2.424,2.404,2.409,2.412,2.443,0.53,0.485,0.585,0.447,0.519,0.475,0.473,0.486,0.423,0.559,0.67,0.775,15.28,15.159,15.277,15.205,15.155,15.119,15.215,15.155,15.181000000000001,15.118,15.248,15.134,15.136,15.138,15.136,15.107,15.185,15.182,15.184,15.211,15.185,15.233,15.196,15.185,15.199,15.236,15.125,15.183,15.19,15.209,15.259,15.138
12.8,17.6,15.6,14.5,0.0,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,16.114,16.128,16.148,16.144,16.075,16.098,16.133,16.088,16.126,16.1,16.133,16.058,16.137,16.15,16.114,16.134999999999998,16.083,16.112,16.118,16.13,16.076999999999998,16.098,16.137,16.121,16.121,16.064,16.094,16.117,16.148,16.169,16.116,16.128,16.107,16.133,16.07,16.143,16.114,16.128,16.104,16.129,16.102,16.144,16.119,16.072,16.114,16.094,16.099,16.102,16.133,15.03,14.985,15.085,14.947,15.019,14.975,14.973,14.986,14.923,15.059,15.17,15.275,0.78,0.659,0.777,0.705,0.655,0.619,0.715,0.655,0.681,0.618,0.748,0.634,0.636,0.638,0.636,0.607,0.685,0.682,0.684,0.711,0.685,0.733,0.696,0.685,0.699,0.736,0.625,0.683,0.69,0.709,0.759,0.638
0.0,0.0,6.54,7.09,17.6,0.0,7.921,64.032,17.835,22.739,9.199,9.2,6.647,10.179,20.904,13.273,14.583,8.239,18.975,7.054,7.068,7.088,7.084,7.015,7.038,7.073,7.0280000000000005,7.066,7.04,7.073,6.998,7.077,7.09,7.054,7.075,7.023,7.052,7.058,7.07,7.017,7.038,7.077,7.061,7.061,7.0040000000000004,7.034,7.057,7.088,7.109,7.056,7.068,7.047,7.073,7.01,7.083,7.054,7.068,7.0440000000000005,7.069,7.042,7.084,7.059,7.0120000000000005,7.054,7.034,7.039,7.042,7.073,7.62,7.575,7.675,7.537,7.609,7.5649999999999995,7.563,7.576,7.513,7.649,7.76,7.865,18.380000000000003,18.259,18.377000000000002,18.305,18.255000000000003,18.219,18.315,18.255000000000003,18.281000000000002,18.218,18.348000000000003,18.234,18.236,18.238000000000003,18.236,18.207,18.285,18.282,18.284000000000002,18.311,18.285,18.333000000000002,18.296000000000003,18.285,18.299000000000003,18.336000000000002,18.225,18.283,18.290000000000003,18.309,18.359,18.238000000000003
0.0,0.0,6.54,7.09,17.6,7.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054,7.068,7.088,7.084,7.015,7.038,7.073,7.0280000000000005,7.066,7.04,7.073,6.998,7.077,7.09,7.054,7.075,7.023,7.052,7.058,7.07,7.017,7.038,7.077,7.061,7.061,7.0040000000000004,7.034,7.057,7.088,7.109,7.056,7.068,7.047,7.073,7.01,7.083,7.054,7.068,7.0440000000000005,7.069,7.042,7.084,7.059,7.0120000000000005,7.054,7.034,7.039,7.042,7.073,7.62,7.575,7.675,7.537,7.609,7.5649999999999995,7.563,7.576,7.513,7.649,7.76,7.865,18.380000000000003,18.259,18.377000000000002,18.305,18.255000000000003,18.219,18.315,18.255000000000003,18.281000000000002,18.218,18.348000000000003,18.234,18.236,18.238000000000003,18.236,18.207,18.285,18.282,18.284000000000002,18.311,18.285,18.333000000000002,18.296000000000003,18.285,18.299000000000003,18.336000000000002,18.225,18.283,18.290000000000003,18.309,18.359,18.238000000000003
0.0,0.0,6.54,7.09,17.6,64.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054,7.068,7.088,7.084,7.015,7.038,7.073,7.0280000000000005,7.066,7.04,7.073,6.998,7.077,7.09,7.054,7.075,7.023,7.052,7.058,7.07,7.017,7.038,7.077,7.061,7.061,7.0040000000000004,7.034,7.057,7.088,7.109,7.056,7.068,7.047,7.073,7.01,7.083,7.054,7.068,7.0440000000000005,7.069,7.042,7.084,7.059,7.0120000000000005,7.054,7.034,7.039,7.042,7.073,7.62,7.575,7.675,7.537,7.609,7.5649999999999995,7.563,7.576,7.513,7.649,7.76,7.865,18.380000000000003,18.259,18.377000000000002,18.305,18.255000000000003,18.219,18.315,18.255000000000003,18.281000000000002,18.218,18.348000000000003,18.234,18.236,18.238000000000003,18.236,18.207,18.285,18.282,18.284000000000002,18.311,18.285,18.333000000000002,18.296000000000003,18.285,18.299000000000003,18.336000000000002,18.225,18.283,18.290000000000003,18.309,18.359,18.238000000000003
0.0,0.0,6.54,7.09,17.6,17.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054,7.068,7.088,7.084,7.015,7.038,7.073,7.0280000000000005,7.066,7.04,7.073,6.998,7.077,7.09,7.054,7.075,7.023,7.052,7.058,7.07,7.017,7.038,7.077,7.061,7.061,7.0040000000000004,7.034,7.057,7.088,7.109,7.056,7.068,7.047,7.073,7.01,7.083,7.054,7.068,7.0440000000000005,7.069,7.042,7.084,7.059,7.0120000000000005,7.054,7.034,7.039,7.042,7.073,7.62,7.575,7.675,7.537,7.609,7.5649999999999995,7.563,7.576,7.513,7.649,7.76,7.865,18.380000000000003,18.259,18.377000000000002,18.305,18.255000000000003,18.219,18.315,18.255000000000003,18.281000000000002,18.218,18.348000000000003,18.234,18.236,18.238000000000003,18.236,18.207,18.285,18.282,18.284000000000002,18.311,18.285,18.333000000000002,18.296000000000003,18.285,18.299000000000003,18.336000000000002,18.225,18.283,18.290000000000003,18.309,18.359,18.238000000000003
0.0,0.0,6.54,7.09,17.6,22.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054,7.068,7.088,7.084,7.015,7.038,7.073,7.0280000000000005,7.066,7.04,7.073,6.998,7.077,7.09,7.054,7.075,7.023,7.052,7.058,7.07,7.017,7.038,7.077,7.061,7.061,7.0040000000000004,7.034,7.057,7.088,7.109,7.056,7.068,7.047,7.073,7.01,7.083,7.054,7.068,7.0440000000000005,7.069,7.042,7.084,7.059,7.0120000000000005,7.054,7.034,7.039,7.042,7.073,7.62,7.575,7.675,7.537,7.609,7.5649999999999995,7.563,7.576,7.513,7.649,7.76,7.865,18.380000000000003,18.259,18.377000000000002,18.305,18.255000000000003,18.219,18.315,18.255000000000003,18.281000000000002,18.218,18.348000000000003,18.234,18.236,18.238000000000003,18.236,18.207,18.285,18.282,18.284000000000002,18.311,18.285,18.333000000000002,18.296000000000003,18.285,18.299000000000003,18.336000000000002,18.225,18.283,18.290000000000003,18.309,18.359,18.238000000000003
