WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698831851000,1698831852000,8,16367720498,1698831852127
1698831851000,1698831852000,10,322734497,1698831852135
1698831851000,1698831852000,7,26893751423,1698831852159
1698831851000,1698831852000,4,2125163245,1698831852168
1698831851000,1698831852000,11,313579324,1698831852179
1698831851000,1698831852000,9,295498944,1698831852189
1698831851000,1698831852000,5,731727316,1698831852197
1698831851000,1698831852000,6,5841014345,1698831852205
1698831852000,1698831853000,10,322735866,1698831853118
1698831852000,1698831853000,7,26893752348,1698831853159
1698831852000,1698831853000,4,2125164150,1698831853166
1698831852000,1698831853000,11,313580390,1698831853173
1698831852000,1698831853000,9,295499883,1698831853182
1698831852000,1698831853000,5,731728484,1698831853193
1698831852000,1698831853000,6,5841015551,1698831853199
1698831852000,1698831853000,8,16367721510,1698831853216
1698831853000,1698831854000,7,26893753470,1698831854159
1698831853000,1698831854000,4,2125165343,1698831854161
1698831853000,1698831854000,11,313581351,1698831854163
1698831853000,1698831854000,9,295500946,1698831854181
1698831853000,1698831854000,5,731729658,1698831854193
1698831853000,1698831854000,6,5841016714,1698831854194
1698831853000,1698831854000,8,16367722632,1698831854203
1698831853000,1698831854000,10,322736992,1698831854213
1698831854000,1698831855000,4,2125166395,1698831855149
1698831854000,1698831855000,11,313582618,1698831855157
1698831854000,1698831855000,7,26893754628,1698831855159
1698831854000,1698831855000,9,295502168,1698831855169
1698831854000,1698831855000,6,5841017803,1698831855179
1698831854000,1698831855000,5,731730657,1698831855186
1698831854000,1698831855000,10,322738240,1698831855193
1698831854000,1698831855000,8,16367723738,1698831855195
1698831855000,1698831856000,11,313583497,1698831856142
1698831855000,1698831856000,4,2125167507,1698831856148
1698831855000,1698831856000,7,26893755659,1698831856153
1698831855000,1698831856000,9,295503069,1698831856170
1698831855000,1698831856000,6,5841018852,1698831856175
1698831855000,1698831856000,8,16367724735,1698831856184
1698831855000,1698831856000,10,322739040,1698831856186
1698831855000,1698831856000,5,731731757,1698831856187
1698831856000,1698831857000,11,313584860,1698831857137
1698831856000,1698831857000,4,2125168652,1698831857143
1698831856000,1698831857000,9,295504389,1698831857152
1698831856000,1698831857000,7,26893756942,1698831857157
1698831856000,1698831857000,6,5841020072,1698831857171
1698831856000,1698831857000,8,16367726010,1698831857178
1698831856000,1698831857000,10,322740494,1698831857183
1698831856000,1698831857000,5,731732872,1698831857191
1698831857000,1698831858000,11,313585873,1698831858133
1698831857000,1698831858000,4,2125169522,1698831858143
1698831857000,1698831858000,9,295505308,1698831858148
1698831857000,1698831858000,7,26893757842,1698831858151
1698831857000,1698831858000,8,16367726881,1698831858162
1698831857000,1698831858000,10,322741354,1698831858167
1698831857000,1698831858000,6,5841020911,1698831858169
1698831857000,1698831858000,5,731733751,1698831858182
1698831858000,1698831859000,11,313586907,1698831859134
1698831858000,1698831859000,4,2125170900,1698831859140
1698831858000,1698831859000,9,295506482,1698831859148
1698831858000,1698831859000,7,26893759050,1698831859153
1698831858000,1698831859000,6,5841022217,1698831859159
1698831858000,1698831859000,8,16367728032,1698831859161
1698831858000,1698831859000,10,322742465,1698831859162
1698831858000,1698831859000,5,731735078,1698831859179
1698831859000,1698831860000,9,295507631,1698831860129
1698831859000,1698831860000,11,313588170,1698831860135
1698831859000,1698831860000,7,26893760166,1698831860141
1698831859000,1698831860000,4,2125171777,1698831860143
1698831859000,1698831860000,8,16367729105,1698831860151
1698831859000,1698831860000,6,5841023112,1698831860153
1698831859000,1698831860000,10,322743577,1698831860159
1698831859000,1698831860000,5,731735962,1698831860179
1698831860000,1698831861000,9,295508549,1698831861122
1698831860000,1698831861000,11,313589072,1698831861123
1698831860000,1698831861000,4,2125172935,1698831861135
1698831860000,1698831861000,8,16367730121,1698831861141
1698831860000,1698831861000,7,26893761166,1698831861146
1698831860000,1698831861000,6,5841024189,1698831861151
1698831860000,1698831861000,10,322744494,1698831861156
1698831860000,1698831861000,5,731737108,1698831861172
1698831861000,1698831862000,8,16367731330,1698831862123
1698831861000,1698831862000,4,2125173988,1698831862129
1698831861000,1698831862000,7,26893762421,1698831862140
1698831861000,1698831862000,6,5841025277,1698831862146
1698831861000,1698831862000,10,322745805,1698831862149
1698831861000,1698831862000,5,731738163,1698831862171
1698831861000,1698831862000,9,295509934,1698831862224
1698831861000,1698831862000,11,313590540,1698831862225
1698831862000,1698831863000,8,16367732200,1698831863125
1698831862000,1698831863000,4,2125174994,1698831863127
1698831862000,1698831863000,7,26893763249,1698831863129
1698831862000,1698831863000,6,5841026221,1698831863133
1698831862000,1698831863000,10,322746644,1698831863153
1698831862000,1698831863000,5,731739119,1698831863165
1698831862000,1698831863000,11,313591428,1698831863213
1698831862000,1698831863000,9,295510835,1698831863224
1698831863000,1698831864000,4,2125176221,1698831864122
1698831863000,1698831864000,6,5841027476,1698831864130
1698831863000,1698831864000,10,322747938,1698831864145
1698831863000,1698831864000,5,731740344,1698831864165
1698831863000,1698831864000,11,313592694,1698831864207
1698831863000,1698831864000,8,16367733671,1698831864224
1698831863000,1698831864000,9,295512203,1698831864227
1698831863000,1698831864000,7,26893764671,1698831864229
1698831864000,1698831865000,6,5841028384,1698831865128
1698831864000,1698831865000,10,322748897,1698831865139
1698831864000,1698831865000,5,731741198,1698831865163
1698831864000,1698831865000,11,313593628,1698831865207
1698831864000,1698831865000,7,26893765509,1698831865217
1698831864000,1698831865000,8,16367734564,1698831865219
1698831864000,1698831865000,4,2125177144,1698831865226
1698831864000,1698831865000,9,295513105,1698831865229
1698831865000,1698831866000,10,322749960,1698831866128
1698831865000,1698831866000,5,731742571,1698831866156
1698831865000,1698831866000,11,313594756,1698831866195
1698831865000,1698831866000,8,16367735823,1698831866203
1698831865000,1698831866000,7,26893766825,1698831866205
1698831865000,1698831866000,4,2125178579,1698831866216
1698831865000,1698831866000,6,5841029665,1698831866217
1698831865000,1698831866000,9,295514353,1698831866225
1698831866000,1698831867000,10,322751143,1698831867119
1698831866000,1698831867000,5,731743430,1698831867156
1698831866000,1698831867000,8,16367736924,1698831867195
1698831866000,1698831867000,7,26893767794,1698831867197
1698831866000,1698831867000,11,313595960,1698831867198
1698831866000,1698831867000,6,5841030644,1698831867207
1698831866000,1698831867000,4,2125179427,1698831867215
1698831866000,1698831867000,9,295515454,1698831867221
1698831867000,1698831868000,5,731744547,1698831868156
1698831867000,1698831868000,7,26893768909,1698831868177
1698831867000,1698831868000,11,313596897,1698831868184
1698831867000,1698831868000,8,16367737969,1698831868190
1698831867000,1698831868000,6,5841031724,1698831868203
1698831867000,1698831868000,4,2125180647,1698831868213
1698831867000,1698831868000,9,295516497,1698831868218
1698831867000,1698831868000,10,322752138,1698831868225
1698831868000,1698831869000,5,731745640,1698831869150
1698831868000,1698831869000,7,26893770037,1698831869178
1698831868000,1698831869000,11,313598245,1698831869183
1698831868000,1698831869000,8,16367739145,1698831869187
1698831868000,1698831869000,6,5841032853,1698831869192
1698831868000,1698831869000,4,2125181709,1698831869210
1698831868000,1698831869000,10,322753428,1698831869212
1698831868000,1698831869000,9,295517707,1698831869220
1698831869000,1698831870000,5,731746595,1698831870144
1698831869000,1698831870000,8,16367740080,1698831870169
1698831869000,1698831870000,11,313599108,1698831870172
1698831869000,1698831870000,7,26893770970,1698831870176
1698831869000,1698831870000,6,5841033776,1698831870193
1698831869000,1698831870000,10,322754292,1698831870203
1698831869000,1698831870000,9,295518629,1698831870209
1698831869000,1698831870000,4,2125182754,1698831870212
1698831870000,1698831871000,5,731747809,1698831871147
1698831870000,1698831871000,8,16367741405,1698831871171
1698831870000,1698831871000,11,313600485,1698831871178
1698831870000,1698831871000,7,26893772312,1698831871179
1698831870000,1698831871000,6,5841035050,1698831871191
1698831870000,1698831871000,4,2125183978,1698831871197
1698831870000,1698831871000,9,295519984,1698831871199
1698831870000,1698831871000,10,322755643,1698831871201
1698831871000,1698831872000,5,731748734,1698831872148
1698831871000,1698831872000,8,16367742314,1698831872161
1698831871000,1698831872000,7,26893773207,1698831872172
1698831871000,1698831872000,11,313601434,1698831872174
1698831871000,1698831872000,6,5841035863,1698831872181
1698831871000,1698831872000,9,295520882,1698831872192
1698831871000,1698831872000,4,2125184845,1698831872200
1698831871000,1698831872000,10,322756506,1698831872201
1698831872000,1698831873000,5,731750075,1698831873147
1698831872000,1698831873000,8,16367743652,1698831873151
1698831872000,1698831873000,11,313602623,1698831873168
1698831872000,1698831873000,7,26893774550,1698831873173
1698831872000,1698831873000,6,5841037256,1698831873175
1698831872000,1698831873000,10,322757724,1698831873190
1698831872000,1698831873000,9,295522204,1698831873192
1698831872000,1698831873000,4,2125186210,1698831873200
1698831873000,1698831874000,5,731750935,1698831874135
1698831873000,1698831874000,8,16367744567,1698831874145
1698831873000,1698831874000,11,313603755,1698831874165
1698831873000,1698831874000,7,26893775475,1698831874175
1698831873000,1698831874000,6,5841038145,1698831874176
1698831873000,1698831874000,10,322758724,1698831874180
1698831873000,1698831874000,9,295523169,1698831874189
1698831873000,1698831874000,4,2125187105,1698831874195
1698831874000,1698831875000,5,731752090,1698831875129
1698831874000,1698831875000,8,16367745680,1698831875141
1698831874000,1698831875000,11,313604792,1698831875159
1698831874000,1698831875000,10,322759855,1698831875169
1698831874000,1698831875000,6,5841039351,1698831875172
1698831874000,1698831875000,7,26893776688,1698831875176
1698831874000,1698831875000,9,295524269,1698831875189
1698831874000,1698831875000,4,2125188391,1698831875195
1698831875000,1698831876000,5,731753065,1698831876120
1698831875000,1698831876000,8,16367746879,1698831876137
1698831875000,1698831876000,10,322761054,1698831876149
1698831875000,1698831876000,11,313606073,1698831876153
1698831875000,1698831876000,7,26893777739,1698831876167
1698831875000,1698831876000,6,5841040364,1698831876169
1698831875000,1698831876000,9,295525377,1698831876172
1698831875000,1698831876000,4,2125189371,1698831876186
1698831876000,1698831877000,8,16367747807,1698831877125
1698831876000,1698831877000,11,313606948,1698831877142
1698831876000,1698831877000,10,322761910,1698831877147
1698831876000,1698831877000,6,5841041400,1698831877149
1698831876000,1698831877000,9,295526324,1698831877153
1698831876000,1698831877000,7,26893778765,1698831877165
1698831876000,1698831877000,4,2125190484,1698831877182
1698831876000,1698831877000,5,731754225,1698831877220
1698831877000,1698831878000,6,5841042506,1698831878132
1698831877000,1698831878000,11,313608286,1698831878138
1698831877000,1698831878000,9,295527580,1698831878148
1698831877000,1698831878000,10,322763247,1698831878150
1698831877000,1698831878000,7,26893779928,1698831878159
1698831877000,1698831878000,4,2125191580,1698831878175
1698831877000,1698831878000,5,731755258,1698831878216
1698831877000,1698831878000,8,16367749212,1698831878223
1698831878000,1698831879000,11,313609200,1698831879131
1698831878000,1698831879000,10,322764102,1698831879140
1698831878000,1698831879000,9,295528499,1698831879145
1698831878000,1698831879000,7,26893780808,1698831879151
1698831878000,1698831879000,4,2125192610,1698831879168
1698831878000,1698831879000,5,731756239,1698831879203
1698831878000,1698831879000,8,16367750124,1698831879217
1698831878000,1698831879000,6,5841043511,1698831879225
1698831879000,1698831880000,11,313610439,1698831880135
1698831879000,1698831880000,10,322765421,1698831880138
1698831879000,1698831880000,7,26893782173,1698831880146
1698831879000,1698831880000,9,295529803,1698831880148
1698831879000,1698831880000,4,2125193882,1698831880156
1698831879000,1698831880000,5,731757527,1698831880194
1698831879000,1698831880000,8,16367751470,1698831880211
1698831879000,1698831880000,6,5841044812,1698831880214
1698831880000,1698831881000,10,322766381,1698831881132
1698831880000,1698831881000,11,313611490,1698831881136
1698831880000,1698831881000,7,26893782983,1698831881145
1698831880000,1698831881000,9,295530692,1698831881150
1698831880000,1698831881000,4,2125194755,1698831881161
1698831880000,1698831881000,8,16367752437,1698831881194
1698831880000,1698831881000,5,731758379,1698831881196
1698831880000,1698831881000,6,5841045637,1698831881202
1698831881000,1698831882000,10,322767457,1698831882125
1698831881000,1698831882000,11,313612591,1698831882127
1698831881000,1698831882000,9,295531857,1698831882140
1698831881000,1698831882000,7,26893784184,1698831882146
1698831881000,1698831882000,4,2125196107,1698831882159
1698831881000,1698831882000,5,731759717,1698831882185
1698831881000,1698831882000,8,16367753577,1698831882194
1698831881000,1698831882000,6,5841046946,1698831882202
1698831882000,1698831883000,11,313613755,1698831883122
1698831882000,1698831883000,10,322768585,1698831883125
1698831882000,1698831883000,7,26893785150,1698831883137
1698831882000,1698831883000,9,295532898,1698831883139
1698831882000,1698831883000,4,2125197003,1698831883157
1698831882000,1698831883000,8,16367754581,1698831883175
1698831882000,1698831883000,5,731760622,1698831883181
1698831882000,1698831883000,6,5841047886,1698831883191
1698831883000,1698831884000,7,26893786158,1698831884132
1698831883000,1698831884000,9,295533996,1698831884138
1698831883000,1698831884000,4,2125198165,1698831884148
1698831883000,1698831884000,8,16367755648,1698831884169
1698831883000,1698831884000,5,731761820,1698831884171
1698831883000,1698831884000,6,5841048980,1698831884187
1698831883000,1698831884000,10,322769668,1698831884219
1698831883000,1698831884000,11,313614751,1698831884221
1698831884000,1698831885000,7,26893787252,1698831885127
1698831884000,1698831885000,9,295535201,1698831885140
1698831884000,1698831885000,4,2125199241,1698831885147
1698831884000,1698831885000,8,16367756730,1698831885159
1698831884000,1698831885000,5,731762869,1698831885165
1698831884000,1698831885000,6,5841050096,1698831885183
1698831884000,1698831885000,11,313615990,1698831885209
1698831884000,1698831885000,10,322770944,1698831885212
1698831885000,1698831886000,7,26893788270,1698831886124
1698831885000,1698831886000,9,295536123,1698831886135
1698831885000,1698831886000,4,2125200330,1698831886142
1698831885000,1698831886000,8,16367757698,1698831886149
1698831885000,1698831886000,5,731763961,1698831886167
1698831885000,1698831886000,6,5841051120,1698831886177
1698831885000,1698831886000,10,322771806,1698831886206
1698831885000,1698831886000,11,313616791,1698831886212
1698831886000,1698831887000,7,26893789549,1698831887120
1698831886000,1698831887000,4,2125201509,1698831887126
1698831886000,1698831887000,9,295537544,1698831887132
1698831886000,1698831887000,8,16367759018,1698831887138
1698831886000,1698831887000,5,731765192,1698831887158
1698831886000,1698831887000,6,5841052327,1698831887178
1698831886000,1698831887000,11,313618244,1698831887199
1698831886000,1698831887000,10,322773246,1698831887204
1698831887000,1698831888000,7,26893790370,1698831888120
1698831887000,1698831888000,8,16367759798,1698831888128
1698831887000,1698831888000,5,731766184,1698831888156
1698831887000,1698831888000,6,5841053305,1698831888176
1698831887000,1698831888000,10,322774078,1698831888198
1698831887000,1698831888000,11,313619128,1698831888200
1698831887000,1698831888000,9,295538377,1698831888221
1698831887000,1698831888000,4,2125202570,1698831888225
1698831888000,1698831889000,7,26893791664,1698831889119
1698831888000,1698831889000,5,731767452,1698831889148
1698831888000,1698831889000,6,5841054578,1698831889169
1698831888000,1698831889000,10,322775391,1698831889195
1698831888000,1698831889000,11,313620385,1698831889196
1698831888000,1698831889000,9,295539771,1698831889205
1698831888000,1698831889000,8,16367761171,1698831889219
1698831888000,1698831889000,4,2125203812,1698831889221
1698831889000,1698831890000,5,731768317,1698831890151
1698831889000,1698831890000,6,5841055404,1698831890164
1698831889000,1698831890000,10,322776386,1698831890189
1698831889000,1698831890000,11,313621312,1698831890192
1698831889000,1698831890000,9,295540635,1698831890197
1698831889000,1698831890000,8,16367762019,1698831890209
1698831889000,1698831890000,4,2125204751,1698831890218
1698831889000,1698831890000,7,26893792499,1698831890223
1698831890000,1698831891000,5,731769606,1698831891144
1698831890000,1698831891000,6,5841056714,1698831891155
1698831890000,1698831891000,10,322777504,1698831891185
1698831890000,1698831891000,9,295541802,1698831891196
1698831890000,1698831891000,11,313622472,1698831891198
1698831890000,1698831891000,8,16367763270,1698831891200
1698831890000,1698831891000,4,2125206028,1698831891201
1698831890000,1698831891000,7,26893793870,1698831891224
1698831891000,1698831892000,7,26893794692,1698831892118
1698831891000,1698831892000,6,5841057620,1698831892142
1698831891000,1698831892000,5,731770494,1698831892144
1698831891000,1698831892000,10,322778572,1698831892178
1698831891000,1698831892000,8,16367764209,1698831892179
1698831891000,1698831892000,9,295542763,1698831892193
1698831891000,1698831892000,11,313623565,1698831892195
1698831891000,1698831892000,4,2125206888,1698831892196
1698831892000,1698831893000,6,5841058769,1698831893136
1698831892000,1698831893000,5,731771690,1698831893141
1698831892000,1698831893000,8,16367765353,1698831893168
1698831892000,1698831893000,10,322779546,1698831893174
1698831892000,1698831893000,4,2125208162,1698831893183
1698831892000,1698831893000,9,295543829,1698831893194
1698831892000,1698831893000,11,313624605,1698831893196
1698831892000,1698831893000,7,26893795911,1698831893219
1698831893000,1698831894000,5,731772708,1698831894137
1698831893000,1698831894000,6,5841059817,1698831894139
1698831893000,1698831894000,8,16367766459,1698831894161
1698831893000,1698831894000,10,322780765,1698831894163
1698831893000,1698831894000,4,2125209075,1698831894169
1698831893000,1698831894000,9,295544942,1698831894183
1698831893000,1698831894000,11,313625810,1698831894187
1698831893000,1698831894000,7,26893796995,1698831894210
1698831894000,1698831895000,6,5841060886,1698831895121
1698831894000,1698831895000,5,731773796,1698831895137
1698831894000,1698831895000,8,16367767455,1698831895151
1698831894000,1698831895000,4,2125210297,1698831895158
1698831894000,1698831895000,10,322781695,1698831895159
1698831894000,1698831895000,9,295545920,1698831895180
1698831894000,1698831895000,11,313626720,1698831895190
1698831894000,1698831895000,7,26893798125,1698831895206
1698831895000,1698831896000,5,731774939,1698831896140
1698831895000,1698831896000,8,16367768671,1698831896143
1698831895000,1698831896000,4,2125211330,1698831896148
1698831895000,1698831896000,10,322783047,1698831896158
1698831895000,1698831896000,9,295547156,1698831896175
1698831895000,1698831896000,11,313628103,1698831896188
1698831895000,1698831896000,7,26893799237,1698831896199
1698831895000,1698831896000,6,5841061992,1698831896215
1698831896000,1698831897000,8,16367769556,1698831897126
1698831896000,1698831897000,5,731775981,1698831897137
1698831896000,1698831897000,4,2125212325,1698831897145
1698831896000,1698831897000,10,322783868,1698831897147
1698831896000,1698831897000,9,295547969,1698831897170
1698831896000,1698831897000,11,313628928,1698831897182
1698831896000,1698831897000,7,26893800162,1698831897193
1698831896000,1698831897000,6,5841062969,1698831897212
1698831897000,1698831898000,8,16367770891,1698831898117
1698831897000,1698831898000,5,731777141,1698831898127
1698831897000,1698831898000,4,2125213474,1698831898141
1698831897000,1698831898000,10,322785242,1698831898146
1698831897000,1698831898000,9,295549292,1698831898167
1698831897000,1698831898000,11,313630288,1698831898183
1698831897000,1698831898000,7,26893801435,1698831898187
1698831897000,1698831898000,6,5841064169,1698831898199
1698831898000,1698831899000,5,731778005,1698831899122
1698831898000,1698831899000,10,322786135,1698831899133
1698831898000,1698831899000,4,2125214406,1698831899135
1698831898000,1698831899000,9,295550213,1698831899164
1698831898000,1698831899000,11,313631219,1698831899175
1698831898000,1698831899000,7,26893802268,1698831899183
1698831898000,1698831899000,6,5841065002,1698831899190
1698831898000,1698831899000,8,16367771780,1698831899217
1698831899000,1698831900000,4,2125215665,1698831900128
1698831899000,1698831900000,10,322787325,1698831900132
1698831899000,1698831900000,9,295551408,1698831900160
1698831899000,1698831900000,11,313632345,1698831900164
1698831899000,1698831900000,7,26893803614,1698831900177
1698831899000,1698831900000,6,5841066395,1698831900187
1698831899000,1698831900000,8,16367773089,1698831900201
1698831899000,1698831900000,5,731779378,1698831900227
1698831900000,1698831901000,10,322788409,1698831901126
1698831900000,1698831901000,9,295552422,1698831901153
1698831900000,1698831901000,11,313633446,1698831901158
1698831900000,1698831901000,7,26893804583,1698831901176
1698831900000,1698831901000,6,5841067291,1698831901182
1698831900000,1698831901000,8,16367773970,1698831901187
1698831900000,1698831901000,4,2125216546,1698831901219
