WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698832645000,1698832646000,10,323121116,1698832646119
1698832645000,1698832646000,8,16368107625,1698832646125
1698832645000,1698832646000,7,26894143839,1698832646138
1698832645000,1698832646000,9,295886581,1698832646140
1698832645000,1698832646000,6,5841408356,1698832646155
1698832645000,1698832646000,4,2125550780,1698832646184
1698832645000,1698832646000,11,313963068,1698832646192
1698832645000,1698832646000,5,732119483,1698832646215
1698832646000,1698832647000,8,16368108426,1698832647121
1698832646000,1698832647000,7,26894144597,1698832647129
1698832646000,1698832647000,4,2125551787,1698832647144
1698832646000,1698832647000,6,5841409203,1698832647150
1698832646000,1698832647000,11,313963769,1698832647181
1698832646000,1698832647000,10,323121973,1698832647187
1698832646000,1698832647000,9,295887249,1698832647204
1698832646000,1698832647000,5,732120445,1698832647215
1698832647000,1698832648000,7,26894145950,1698832648128
1698832647000,1698832648000,6,5841410572,1698832648142
1698832647000,1698832648000,10,323123332,1698832648148
1698832647000,1698832648000,11,313965113,1698832648161
1698832647000,1698832648000,9,295888551,1698832648175
1698832647000,1698832648000,5,732121616,1698832648202
1698832647000,1698832648000,4,2125552932,1698832648211
1698832647000,1698832648000,8,16368109935,1698832648217
1698832648000,1698832649000,7,26894146797,1698832649125
1698832648000,1698832649000,11,313965937,1698832649133
1698832648000,1698832649000,6,5841411437,1698832649134
1698832648000,1698832649000,9,295889321,1698832649145
1698832648000,1698832649000,4,2125553698,1698832649189
1698832648000,1698832649000,5,732122453,1698832649203
1698832648000,1698832649000,8,16368110841,1698832649214
1698832648000,1698832649000,10,323124230,1698832649216
1698832649000,1698832650000,7,26894148021,1698832650125
1698832649000,1698832650000,9,295890358,1698832650133
1698832649000,1698832650000,6,5841412667,1698832650140
1698832649000,1698832650000,4,2125555075,1698832650160
1698832649000,1698832650000,10,323125359,1698832650177
1698832649000,1698832650000,11,313966922,1698832650203
1698832649000,1698832650000,5,732123819,1698832650205
1698832649000,1698832650000,8,16368112061,1698832650206
1698832650000,1698832651000,7,26894149082,1698832651120
1698832650000,1698832651000,6,5841413609,1698832651137
1698832650000,1698832651000,10,323126439,1698832651140
1698832650000,1698832651000,4,2125555830,1698832651149
1698832650000,1698832651000,11,313967998,1698832651166
1698832650000,1698832651000,8,16368113060,1698832651193
1698832650000,1698832651000,5,732124653,1698832651198
1698832650000,1698832651000,9,295891408,1698832651220
1698832651000,1698832652000,4,2125556850,1698832652122
1698832651000,1698832652000,11,313968788,1698832652126
1698832651000,1698832652000,6,5841414703,1698832652135
1698832651000,1698832652000,8,16368114132,1698832652187
1698832651000,1698832652000,5,732125747,1698832652199
1698832651000,1698832652000,9,295892287,1698832652201
1698832651000,1698832652000,10,323127363,1698832652211
1698832651000,1698832652000,7,26894150223,1698832652214
1698832652000,1698832653000,6,5841415895,1698832653137
1698832652000,1698832653000,10,323128650,1698832653171
1698832652000,1698832653000,9,295893525,1698832653184
1698832652000,1698832653000,8,16368115366,1698832653187
1698832652000,1698832653000,11,313970064,1698832653190
1698832652000,1698832653000,5,732126816,1698832653204
1698832652000,1698832653000,7,26894151392,1698832653212
1698832652000,1698832653000,4,2125557901,1698832653218
1698832653000,1698832654000,10,323129480,1698832654136
1698832653000,1698832654000,6,5841416867,1698832654141
1698832653000,1698832654000,11,313970756,1698832654149
1698832653000,1698832654000,9,295894295,1698832654169
1698832653000,1698832654000,8,16368116254,1698832654179
1698832653000,1698832654000,4,2125558962,1698832654192
1698832653000,1698832654000,5,732127836,1698832654195
1698832653000,1698832654000,7,26894152309,1698832654214
1698832654000,1698832655000,11,313972005,1698832655128
1698832654000,1698832655000,9,295895547,1698832655133
1698832654000,1698832655000,6,5841418228,1698832655145
1698832654000,1698832655000,4,2125560046,1698832655172
1698832654000,1698832655000,8,16368117648,1698832655176
1698832654000,1698832655000,5,732129017,1698832655201
1698832654000,1698832655000,7,26894153650,1698832655202
1698832654000,1698832655000,10,323130835,1698832655221
1698832655000,1698832656000,4,2125560900,1698832656150
