WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698833393000,1698833394000,9,296289297,1698833394198
1698833393000,1698833394000,8,16368544956,1698833394198
1698833393000,1698833394000,11,314353293,1698833394198
1698833393000,1698833394000,10,323525164,1698833394198
1698833393000,1698833394000,7,26894583452,1698833394222
1698833393000,1698833394000,6,5841850459,1698833394222
1698833393000,1698833394000,4,2125981556,1698833394222
1698833393000,1698833394000,5,732564847,1698833394222
1698833394000,1698833395000,9,296291572,1698833395184
1698833394000,1698833395000,8,16368547250,1698833395184
1698833394000,1698833395000,11,314355506,1698833395184
1698833394000,1698833395000,10,323527434,1698833395184
1698833394000,1698833395000,6,5841852831,1698833395213
1698833394000,1698833395000,4,2125984022,1698833395213
1698833394000,1698833395000,5,732567386,1698833395213
1698833394000,1698833395000,7,26894585862,1698833395213
1698833395000,1698833396000,9,296294020,1698833396184
1698833395000,1698833396000,8,16368549635,1698833396184
1698833395000,1698833396000,10,323529907,1698833396184
1698833395000,1698833396000,11,314358057,1698833396184
1698833395000,1698833396000,4,2125986241,1698833396211
1698833395000,1698833396000,6,5841855162,1698833396211
1698833395000,1698833396000,7,26894588226,1698833396211
1698833395000,1698833396000,5,732569600,1698833396211
1698833396000,1698833397000,9,296296196,1698833397182
1698833396000,1698833397000,8,16368551881,1698833397182
1698833396000,1698833397000,11,314360246,1698833397182
1698833396000,1698833397000,10,323532114,1698833397182
1698833396000,1698833397000,4,2125988692,1698833397219
1698833396000,1698833397000,6,5841857514,1698833397219
1698833396000,1698833397000,7,26894590559,1698833397219
1698833396000,1698833397000,5,732572046,1698833397219
1698833397000,1698833398000,9,296298916,1698833398180
1698833397000,1698833398000,8,16368554499,1698833398180
1698833397000,1698833398000,11,314362933,1698833398180
1698833397000,1698833398000,10,323534828,1698833398180
1698833397000,1698833398000,4,2125991288,1698833398225
1698833397000,1698833398000,6,5841860026,1698833398225
1698833397000,1698833398000,7,26894593112,1698833398225
1698833397000,1698833398000,5,732574540,1698833398225
1698833398000,1698833399000,9,296301103,1698833399183
1698833398000,1698833399000,8,16368556703,1698833399183
1698833398000,1698833399000,10,323536989,1698833399183
1698833398000,1698833399000,11,314365138,1698833399183
1698833398000,1698833399000,6,5841862228,1698833399213
1698833398000,1698833399000,7,26894595299,1698833399213
1698833398000,1698833399000,5,732576699,1698833399213
1698833398000,1698833399000,4,2125993469,1698833399213
1698833399000,1698833400000,9,296303591,1698833400187
1698833399000,1698833400000,8,16368559217,1698833400187
1698833399000,1698833400000,10,323539382,1698833400187
1698833399000,1698833400000,11,314367595,1698833400187
1698833399000,1698833400000,4,2125996175,1698833400220
1698833399000,1698833400000,6,5841864780,1698833400220
1698833399000,1698833400000,7,26894597910,1698833400220
1698833399000,1698833400000,5,732579444,1698833400220
1698833400000,1698833401000,6,5841867138,1698833401218
1698833400000,1698833401000,7,26894600195,1698833401218
1698833400000,1698833401000,5,732581615,1698833401218
1698833400000,1698833401000,4,2125998427,1698833401218
1698833400000,1698833401000,9,296306131,1698833401221
1698833400000,1698833401000,10,323541883,1698833401221
1698833400000,1698833401000,8,16368561644,1698833401221
1698833400000,1698833401000,11,314370089,1698833401221
1698833401000,1698833402000,10,323544052,1698833402212
1698833401000,1698833402000,8,16368563927,1698833402212
1698833401000,1698833402000,11,314372305,1698833402212
1698833401000,1698833402000,9,296308610,1698833402212
1698833401000,1698833402000,6,5841869502,1698833402216
1698833401000,1698833402000,7,26894602644,1698833402216
1698833401000,1698833402000,5,732584228,1698833402216
1698833401000,1698833402000,4,2126000991,1698833402216
1698833402000,1698833403000,8,16368566584,1698833403205
1698833402000,1698833403000,10,323546786,1698833403205
1698833402000,1698833403000,11,314375014,1698833403205
1698833402000,1698833403000,9,296311161,1698833403205
1698833402000,1698833403000,6,5841872024,1698833403214
1698833402000,1698833403000,7,26894605118,1698833403214
1698833402000,1698833403000,5,732586666,1698833403214
1698833402000,1698833403000,4,2126003386,1698833403214
1698833403000,1698833404000,10,323548937,1698833404204
1698833403000,1698833404000,8,16368568712,1698833404204
1698833403000,1698833404000,11,314377225,1698833404204
1698833403000,1698833404000,9,296313429,1698833404204
1698833403000,1698833404000,6,5841874204,1698833404219
1698833403000,1698833404000,7,26894607342,1698833404219
1698833403000,1698833404000,4,2126005601,1698833404219
1698833403000,1698833404000,5,732588853,1698833404219
1698833404000,1698833405000,10,323551597,1698833405211
1698833404000,1698833405000,8,16368571331,1698833405211
1698833404000,1698833405000,11,314379712,1698833405211
1698833404000,1698833405000,9,296315960,1698833405211
1698833404000,1698833405000,6,5841876840,1698833405216
1698833404000,1698833405000,7,26894609959,1698833405216
1698833404000,1698833405000,4,2126008212,1698833405216
1698833404000,1698833405000,5,732591504,1698833405216
1698833405000,1698833406000,8,16368573582,1698833406196
1698833405000,1698833406000,11,314382017,1698833406196
1698833405000,1698833406000,9,296318292,1698833406196
1698833405000,1698833406000,10,323553950,1698833406196
1698833405000,1698833406000,6,5841879099,1698833406216
1698833405000,1698833406000,7,26894612229,1698833406216
1698833405000,1698833406000,4,2126010373,1698833406216
1698833405000,1698833406000,5,732593661,1698833406216
1698833406000,1698833407000,8,16368576086,1698833407221
1698833406000,1698833407000,11,314384044,1698833407221
1698833406000,1698833407000,9,296320552,1698833407221
1698833406000,1698833407000,10,323556140,1698833407221
1698833406000,1698833407000,6,5841881527,1698833407224
1698833406000,1698833407000,7,26894614575,1698833407224
1698833406000,1698833407000,4,2126012865,1698833407224
1698833406000,1698833407000,5,732596109,1698833407224
1698833407000,1698833408000,11,314386725,1698833408211
1698833407000,1698833408000,9,296322896,1698833408211
1698833407000,1698833408000,10,323558710,1698833408211
1698833407000,1698833408000,8,16368578489,1698833408211
1698833407000,1698833408000,6,5841883725,1698833408219
1698833407000,1698833408000,7,26894616813,1698833408219
1698833407000,1698833408000,4,2126015016,1698833408219
1698833407000,1698833408000,5,732598285,1698833408219
1698833408000,1698833409000,11,314388896,1698833409206
1698833408000,1698833409000,10,323560950,1698833409206
1698833408000,1698833409000,9,296325086,1698833409206
1698833408000,1698833409000,8,16368580677,1698833409206
1698833408000,1698833409000,6,5841885986,1698833409221
1698833408000,1698833409000,7,26894619043,1698833409221
1698833408000,1698833409000,4,2126017308,1698833409221
1698833408000,1698833409000,5,732600616,1698833409221
1698833409000,1698833410000,7,26894621758,1698833410159
1698833409000,1698833410000,6,5841888662,1698833410159
1698833409000,1698833410000,4,2126019862,1698833410159
1698833409000,1698833410000,5,732603045,1698833410159
1698833409000,1698833410000,11,314391509,1698833410194
1698833409000,1698833410000,10,323563581,1698833410194
1698833409000,1698833410000,9,296327782,1698833410194
1698833409000,1698833410000,8,16368583395,1698833410194
1698833410000,1698833411000,5,732605119,1698833411154
1698833410000,1698833411000,7,26894623909,1698833411154
1698833410000,1698833411000,6,5841890815,1698833411154
1698833410000,1698833411000,4,2126022094,1698833411154
1698833410000,1698833411000,11,314393816,1698833411182
1698833410000,1698833411000,10,323565824,1698833411182
1698833410000,1698833411000,9,296329991,1698833411182
1698833410000,1698833411000,8,16368585569,1698833411182
1698833411000,1698833412000,5,732607730,1698833412152
1698833411000,1698833412000,7,26894626431,1698833412152
1698833411000,1698833412000,6,5841893471,1698833412152
1698833411000,1698833412000,4,2126024678,1698833412152
1698833411000,1698833412000,10,323568209,1698833412175
1698833411000,1698833412000,11,314396219,1698833412175
1698833411000,1698833412000,8,16368588026,1698833412175
1698833411000,1698833412000,9,296332432,1698833412175
1698833412000,1698833413000,5,732609957,1698833413150
1698833412000,1698833413000,7,26894628736,1698833413150
1698833412000,1698833413000,6,5841895725,1698833413150
1698833412000,1698833413000,4,2126026943,1698833413150
1698833412000,1698833413000,10,323570736,1698833413167
1698833412000,1698833413000,11,314398721,1698833413167
1698833412000,1698833413000,9,296334883,1698833413167
1698833412000,1698833413000,8,16368590388,1698833413167
1698833413000,1698833414000,7,26894631021,1698833414150
1698833413000,1698833414000,5,732612363,1698833414150
1698833413000,1698833414000,6,5841898074,1698833414150
1698833413000,1698833414000,4,2126029330,1698833414150
1698833413000,1698833414000,10,323572918,1698833414165
1698833413000,1698833414000,11,314400889,1698833414165
1698833413000,1698833414000,9,296337122,1698833414165
1698833413000,1698833414000,8,16368592627,1698833414165
1698833414000,1698833415000,10,323575584,1698833415154
1698833414000,1698833415000,11,314403540,1698833415154
1698833414000,1698833415000,9,296339737,1698833415154
1698833414000,1698833415000,8,16368595254,1698833415154
1698833414000,1698833415000,7,26894633750,1698833415223
1698833414000,1698833415000,5,732614820,1698833415223
1698833414000,1698833415000,6,5841900645,1698833415223
1698833414000,1698833415000,4,2126031767,1698833415223
1698833415000,1698833416000,5,732616986,1698833416137
1698833415000,1698833416000,4,2126033931,1698833416137
1698833415000,1698833416000,6,5841902756,1698833416137
1698833415000,1698833416000,7,26894635881,1698833416137
1698833415000,1698833416000,10,323577815,1698833416144
1698833415000,1698833416000,11,314405806,1698833416144
1698833415000,1698833416000,9,296341908,1698833416144
1698833415000,1698833416000,8,16368597423,1698833416144
1698833416000,1698833417000,10,323580334,1698833417135
1698833416000,1698833417000,11,314408323,1698833417135
1698833416000,1698833417000,9,296344495,1698833417135
1698833416000,1698833417000,8,16368600035,1698833417135
1698833416000,1698833417000,7,26894638381,1698833417220
1698833416000,1698833417000,5,732619880,1698833417220
1698833416000,1698833417000,6,5841905487,1698833417220
1698833416000,1698833417000,4,2126036695,1698833417220
1698833417000,1698833418000,10,323582734,1698833418134
1698833417000,1698833418000,11,314410720,1698833418134
1698833417000,1698833418000,9,296346843,1698833418134
1698833417000,1698833418000,8,16368602357,1698833418134
1698833417000,1698833418000,7,26894640823,1698833418217
1698833417000,1698833418000,6,5841907717,1698833418217
1698833417000,1698833418000,4,2126038844,1698833418217
1698833417000,1698833418000,5,732622196,1698833418217
1698833418000,1698833419000,6,5841910138,1698833419212
1698833418000,1698833419000,4,2126041359,1698833419212
1698833418000,1698833419000,7,26894643416,1698833419212
1698833418000,1698833419000,5,732624711,1698833419212
1698833418000,1698833419000,10,323585168,1698833419217
1698833418000,1698833419000,11,314412995,1698833419217
1698833418000,1698833419000,9,296349192,1698833419217
1698833418000,1698833419000,8,16368604739,1698833419217
1698833419000,1698833420000,11,314415611,1698833420213
1698833419000,1698833420000,9,296351686,1698833420213
1698833419000,1698833420000,8,16368607202,1698833420213
1698833419000,1698833420000,10,323587798,1698833420213
1698833419000,1698833420000,6,5841912591,1698833420221
1698833419000,1698833420000,4,2126043821,1698833420221
1698833419000,1698833420000,7,26894645831,1698833420221
1698833419000,1698833420000,5,732627045,1698833420221
1698833420000,1698833421000,9,296353879,1698833421207
1698833420000,1698833421000,11,314417832,1698833421207
