debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,64457739,1699015813284
10634000,10635000,74,37744744,1699015813288
10634000,10635000,54,3061725,1699015813288
10634000,10635000,63,47637273,1699015813288
10634000,10635000,47,83216985,1699015813318
10634000,10635000,24,69595223,1699015813318
10634000,10635000,13,72361780,1699015813318
10634000,10635000,100,51459173,1699015813318
10635000,10636000,74,196388557,1699015813459
10635000,10636000,54,278750854,1699015813459
10635000,10636000,63,196771533,1699015813459
10635000,10636000,98,195408903,1699015813459
10635000,10636000,47,291996865,1699015813529
10635000,10636000,24,318101234,1699015813529
10635000,10636000,13,359085209,1699015813529
10635000,10636000,100,259782657,1699015813529
10636000,10637000,54,408588253,1699015813661
10636000,10637000,98,122847181,1699015813661
10636000,10637000,74,287176057,1699015813661
10636000,10637000,63,229067673,1699015813661
10636000,10637000,47,298845459,1699015813743
10636000,10637000,24,252897084,1699015813743
10636000,10637000,13,353040506,1699015813743
10636000,10637000,100,219175771,1699015813743
10637000,10638000,98,95854619,1699015813864
10637000,10638000,74,212432939,1699015813864
10637000,10638000,54,248586799,1699015813864
10637000,10638000,63,173561404,1699015813864
10637000,10638000,47,348318573,1699015813959
10637000,10638000,13,347395295,1699015813959
10637000,10638000,24,223957226,1699015813959
10637000,10638000,100,303742215,1699015813959
10638000,10639000,98,153416618,1699015814065
10638000,10639000,74,274351527,1699015814065
10638000,10639000,54,315445715,1699015814065
10638000,10639000,63,192200090,1699015814065
10638000,10639000,47,539008751,1699015814175
10638000,10639000,13,319420727,1699015814175
10638000,10639000,24,231333956,1699015814175
10638000,10639000,100,329116808,1699015814175
10639000,10640000,98,127847233,1699015814268
10639000,10640000,74,241110409,1699015814268
10639000,10640000,54,241218347,1699015814268
10639000,10640000,63,193220213,1699015814268
10639000,10640000,47,256533341,1699015814389
10639000,10640000,13,301511674,1699015814389
10639000,10640000,24,211089844,1699015814389
10639000,10640000,100,340132283,1699015814389
10640000,10641000,98,284334812,1699015814473
10640000,10641000,74,209836584,1699015814473
10640000,10641000,54,267322062,1699015814473
10640000,10641000,63,207446947,1699015814473
10640000,10641000,47,276946609,1699015814602
10640000,10641000,13,312256247,1699015814602
10640000,10641000,24,267996039,1699015814602
10640000,10641000,100,278598732,1699015814602
10641000,10642000,98,484208643,1699015814675
10641000,10642000,74,193264265,1699015814675
10641000,10642000,54,284393076,1699015814675
10641000,10642000,63,248433973,1699015814675
10641000,10642000,47,253560349,1699015814819
10641000,10642000,13,252870617,1699015814819
10641000,10642000,24,278899733,1699015814819
10641000,10642000,100,279909348,1699015814819
10642000,10643000,98,198090178,1699015814876
10642000,10643000,74,231668502,1699015814876
10642000,10643000,63,220838362,1699015814876
10642000,10643000,54,278695159,1699015814876
10642000,10643000,13,358812775,1699015815033
10642000,10643000,47,249742433,1699015815033
10642000,10643000,24,292215419,1699015815033
10642000,10643000,100,220938865,1699015815033
10643000,10644000,74,275546363,1699015815080
10643000,10644000,63,192610092,1699015815080
10643000,10644000,54,275771646,1699015815080
10643000,10644000,13,296809101,1699015815248
10643000,10644000,47,231250104,1699015815248
10643000,10644000,24,261865489,1699015815248
10643000,10644000,100,203685977,1699015815248
10644000,10645000,74,234985569,1699015815284
10644000,10645000,63,225992267,1699015815284
10644000,10645000,54,296876655,1699015815284
10644000,10645000,47,271746423,1699015815427
10644000,10645000,24,274827957,1699015815427
10644000,10645000,13,315771341,1699015815427
10644000,10645000,100,226281310,1699015815427
10645000,10646000,98,38129393,1699015815489
