debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,64457739,1699027310173
10634000,10635000,63,47637273,1699027310177
10634000,10635000,74,37744744,1699027310177
10634000,10635000,54,3061725,1699027310177
10634000,10635000,24,69595223,1699027310346
10634000,10635000,47,83216985,1699027310346
10634000,10635000,13,72361780,1699027310346
10634000,10635000,100,51459173,1699027310346
10635000,10636000,98,195408903,1699027310666
10635000,10636000,63,196771533,1699027310666
10635000,10636000,74,196388557,1699027310666
10635000,10636000,54,278750854,1699027310666
10635000,10636000,24,318101234,1699027310858
10635000,10636000,47,291996865,1699027310858
10635000,10636000,13,359085209,1699027310858
10635000,10636000,100,259782657,1699027310858
10636000,10637000,98,122847181,1699027311088
10636000,10637000,54,408588253,1699027311088
10636000,10637000,74,287176057,1699027311088
10636000,10637000,63,229067673,1699027311088
10636000,10637000,24,252897084,1699027311326
10636000,10637000,13,353040506,1699027311326
10636000,10637000,47,298845459,1699027311326
10636000,10637000,100,219175771,1699027311326
10637000,10638000,98,95854619,1699027311581
10637000,10638000,54,248586799,1699027311581
10637000,10638000,74,212432939,1699027311581
10637000,10638000,63,173561404,1699027311581
10637000,10638000,24,223957226,1699027311849
10637000,10638000,13,347395295,1699027311849
10637000,10638000,47,348318573,1699027311849
10637000,10638000,100,303742215,1699027311849
10638000,10639000,98,153416618,1699027312125
10638000,10639000,63,192200090,1699027312125
10638000,10639000,74,274351527,1699027312125
10638000,10639000,54,315445715,1699027312125
10638000,10639000,24,231333956,1699027312306
10638000,10639000,47,539008751,1699027312306
10638000,10639000,13,319420727,1699027312306
10638000,10639000,100,329116808,1699027312306
10639000,10640000,98,127847233,1699027312587
10639000,10640000,74,241110409,1699027312587
10639000,10640000,63,193220213,1699027312587
10639000,10640000,54,241218347,1699027312587
10639000,10640000,47,256533341,1699027312803
10639000,10640000,13,301511674,1699027312803
10639000,10640000,24,211089844,1699027312803
