debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_a:INTEGER(32 bits),timestamp
10629000,10630000,98,64457739,1699018256300
10634000,10635000,54,3061725,1699018256328
10634000,10635000,100,51459173,1699018256333
10634000,10635000,74,37744744,1699018256354
10634000,10635000,63,47637273,1699018256361
10634000,10635000,13,72361780,1699018256379
10634000,10635000,24,69595223,1699018256407
10634000,10635000,47,83216985,1699018256420
10635000,10636000,98,195408903,1699018256465
10635000,10636000,54,278750854,1699018256590
10635000,10636000,100,259782657,1699018256638
10636000,10637000,98,122847181,1699018256641
10635000,10636000,63,196771533,1699018256670
10635000,10636000,74,196388557,1699018256683
10635000,10636000,13,359085209,1699018256721
10635000,10636000,24,318101234,1699018256723
10637000,10638000,98,95854619,1699018256726
10635000,10636000,47,291996865,1699018256745
10636000,10637000,54,408588253,1699018256889
10636000,10637000,100,219175771,1699018256904
10638000,10639000,98,153416618,1699018256933
10636000,10637000,74,287176057,1699018256966
10636000,10637000,63,229067673,1699018256986
10639000,10640000,98,127847233,1699018257015
10636000,10637000,24,252897084,1699018257031
10636000,10637000,13,353040506,1699018257036
10636000,10637000,47,298845459,1699018257067
10637000,10638000,54,248586799,1699018257190
10637000,10638000,100,303742215,1699018257207
10637000,10638000,63,173561404,1699018257251
10640000,10641000,98,284334812,1699018257269
10637000,10638000,74,212432939,1699018257299
10637000,10638000,24,223957226,1699018257300
10637000,10638000,13,347395295,1699018257344
10637000,10638000,47,348318573,1699018257389
10638000,10639000,100,329116808,1699018257461
10638000,10639000,54,315445715,1699018257498
10641000,10642000,98,484208643,1699018257529
10638000,10639000,63,192200090,1699018257548
10638000,10639000,74,274351527,1699018257608
10638000,10639000,13,319420727,1699018257653
10638000,10639000,24,231333956,1699018257656
10642000,10643000,98,198090178,1699018257701
10638000,10639000,47,539008751,1699018257711
10645000,10646000,98,38129393,1699018257744
10639000,10640000,100,340132283,1699018257762
10646000,10647000,98,49156854,1699018257786
10639000,10640000,54,241218347,1699018257814
10639000,10640000,63,193220213,1699018257863
10639000,10640000,74,241110409,1699018257931
10639000,10640000,24,211089844,1699018257960
10639000,10640000,13,301511674,1699018257962
10649000,10650000,98,220723515,1699018257992
10640000,10641000,100,278598732,1699018258022
10639000,10640000,47,256533341,1699018258026
10650000,10651000,98,42201723,1699018258075
10640000,10641000,54,267322062,1699018258128
10640000,10641000,63,207446947,1699018258182
10640000,10641000,74,209836584,1699018258212
10640000,10641000,24,267996039,1699018258273
10653000,10654000,98,242260780,1699018258289
10640000,10641000,13,312256247,1699018258313
10641000,10642000,100,279909348,1699018258318
10640000,10641000,47,276946609,1699018258347
10641000,10642000,54,284393076,1699018258387
10654000,10655000,98,254669268,1699018258497
10641000,10642000,63,248433973,1699018258499
10641000,10642000,74,193264265,1699018258543
10642000,10643000,100,220938865,1699018258573
10641000,10642000,24,278899733,1699018258584
10641000,10642000,13,252870617,1699018258620
10641000,10642000,47,253560349,1699018258669
10642000,10643000,54,278695159,1699018258706
10655000,10656000,98,210238578,1699018258749
10642000,10643000,63,220838362,1699018258770
10642000,10643000,74,231668502,1699018258866
10643000,10644000,100,203685977,1699018258881
10642000,10643000,24,292215419,1699018258893
10656000,10657000,98,144263376,1699018258917
10642000,10643000,13,358812775,1699018258932
10642000,10643000,47,249742433,1699018258989
10643000,10644000,54,275771646,1699018259025
10643000,10644000,63,192610092,1699018259070
10657000,10658000,98,196949032,1699018259125
10658000,10659000,98,14673664,1699018259128
10644000,10645000,100,226281310,1699018259141
10643000,10644000,74,275546363,1699018259151
10643000,10644000,24,261865489,1699018259186
10659000,10660000,98,55106141,1699018259206
10643000,10644000,13,296809101,1699018259283
10661000,10662000,98,90686855,1699018259288
10643000,10644000,47,231250104,1699018259313
10644000,10645000,54,296876655,1699018259342
10662000,10663000,98,119489263,1699018259370
10644000,10645000,63,225992267,1699018259387
10645000,10646000,100,192029259,1699018259453
10644000,10645000,74,234985569,1699018259479
10665000,10666000,98,135703502,1699018259494
10644000,10645000,24,274827957,1699018259537
10644000,10645000,13,315771341,1699018259581
10644000,10645000,47,271746423,1699018259638
10645000,10646000,54,382844989,1699018259641
10645000,10646000,63,240471198,1699018259703
10646000,10647000,100,258637058,1699018259709
10666000,10667000,98,202445993,1699018259744
10645000,10646000,74,247381653,1699018259807
10667000,10668000,98,37178142,1699018259829
10645000,10646000,24,386815559,1699018259837
10645000,10646000,13,290780669,1699018259877
10668000,10669000,98,81336702,1699018259913
10645000,10646000,47,234815927,1699018259951
10646000,10647000,54,270125795,1699018259955
10647000,10648000,100,246848741,1699018260010
10646000,10647000,63,216372668,1699018260015
10646000,10647000,24,439466903,1699018260134
10646000,10647000,74,228879194,1699018260136
10669000,10670000,98,284395143,1699018260163
10646000,10647000,13,287551716,1699018260176
10648000,10649000,100,289544742,1699018260262
10647000,10648000,54,288211334,1699018260271
10646000,10647000,47,226413984,1699018260275
10647000,10648000,63,205214890,1699018260286
10670000,10671000,98,328621268,1699018260370
10647000,10648000,74,235003849,1699018260414
10647000,10648000,24,386775465,1699018260445
10671000,10672000,98,55598144,1699018260494
10647000,10648000,13,270512456,1699018260528
10649000,10650000,100,208187338,1699018260568
10648000,10649000,54,259135200,1699018260587
10647000,10648000,47,271288624,1699018260597
10648000,10649000,63,185993154,1699018260603
10672000,10673000,98,102589275,1699018260621
10675000,10676000,98,94069651,1699018260705
10648000,10649000,74,173080468,1699018260742
10648000,10649000,24,228246987,1699018260744
10676000,10677000,98,56834568,1699018260789
10650000,10651000,100,201840780,1699018260834
10648000,10649000,13,259799402,1699018260836
10677000,10678000,98,150941724,1699018260876
10649000,10650000,54,241462555,1699018260902
10649000,10650000,63,230195851,1699018260908
10648000,10649000,47,201755736,1699018260918
10678000,10679000,98,182552507,1699018261042
10649000,10650000,74,184819667,1699018261075
10649000,10650000,24,242113952,1699018261091
10679000,10680000,98,113282333,1699018261125
10651000,10652000,100,254303490,1699018261132
10649000,10650000,13,288970710,1699018261144
10650000,10651000,63,216319600,1699018261210
10650000,10651000,54,242659471,1699018261219
10649000,10650000,47,173306585,1699018261239
10682000,10683000,98,230830658,1699018261335
10650000,10651000,74,179884747,1699018261355
10652000,10653000,100,251303406,1699018261389
10650000,10651000,24,307558782,1699018261403
10650000,10651000,13,286488929,1699018261479
10651000,10652000,54,269431806,1699018261490
10651000,10652000,63,234602017,1699018261515
10650000,10651000,47,242211352,1699018261562
10683000,10684000,98,288826086,1699018261585
10651000,10652000,24,223346655,1699018261626
10651000,10652000,74,250261920,1699018261680
10653000,10654000,100,212675000,1699018261690
10651000,10652000,13,303234398,1699018261785
10652000,10653000,54,308730801,1699018261802
10652000,10653000,63,225520325,1699018261835
10651000,10652000,47,271405221,1699018261885
10684000,10685000,98,364052343,1699018261886
10685000,10686000,98,8800036,1699018261887
10652000,10653000,24,300662530,1699018261933
10654000,10655000,100,201013463,1699018261945
10652000,10653000,74,188228030,1699018262007
10652000,10653000,13,278985146,1699018262092
10687000,10688000,98,212072743,1699018262094
10653000,10654000,63,254232602,1699018262099
10653000,10654000,54,282796393,1699018262118
10652000,10653000,47,285599497,1699018262207
10655000,10656000,100,172048619,1699018262245
10653000,10654000,24,229980192,1699018262288
10653000,10654000,74,213268954,1699018262336
10688000,10689000,98,377933346,1699018262389
10689000,10690000,98,1784812,1699018262392
10654000,10655000,63,253151650,1699018262411
10654000,10655000,54,220362176,1699018262435
10653000,10654000,13,233422706,1699018262436
10656000,10657000,100,189486871,1699018262513
10690000,10691000,98,154416463,1699018262517
10653000,10654000,47,211443265,1699018262531
10691000,10692000,98,143662578,1699018262598
10654000,10655000,24,228449919,1699018262601
10654000,10655000,74,207772457,1699018262612
