debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10634000,10635000,47,83216985,1699014593974
10634000,10635000,24,69595223,1699014593974
10634000,10635000,13,72361780,1699014593974
10634000,10635000,100,51459173,1699014593974
10629000,10630000,98,64457739,1699014593979
10634000,10635000,63,47637273,1699014594015
10634000,10635000,54,3061725,1699014594015
10634000,10635000,74,37744744,1699014594015
10635000,10636000,47,291996865,1699014594266
10635000,10636000,24,318101234,1699014594266
10635000,10636000,13,359085209,1699014594266
10635000,10636000,100,259782657,1699014594266
10635000,10636000,98,195408903,1699014594318
10635000,10636000,54,278750854,1699014594318
10635000,10636000,63,196771533,1699014594318
10635000,10636000,74,196388557,1699014594318
10636000,10637000,98,122847181,1699014594603
10636000,10637000,54,408588253,1699014594603
10636000,10637000,63,229067673,1699014594603
10636000,10637000,74,287176057,1699014594603
10636000,10637000,47,298845459,1699014594628
10636000,10637000,24,252897084,1699014594628
10636000,10637000,13,353040506,1699014594628
10636000,10637000,100,219175771,1699014594628
10637000,10638000,98,95854619,1699014594901
10637000,10638000,54,248586799,1699014594901
10637000,10638000,74,212432939,1699014594901
10637000,10638000,63,173561404,1699014594901
10637000,10638000,100,303742215,1699014594946
10637000,10638000,47,348318573,1699014594946
10637000,10638000,24,223957226,1699014594946
10637000,10638000,13,347395295,1699014594946
10638000,10639000,98,153416618,1699014595217
10638000,10639000,63,192200090,1699014595217
10638000,10639000,54,315445715,1699014595217
10638000,10639000,74,274351527,1699014595217
10638000,10639000,24,231333956,1699014595265
10638000,10639000,100,329116808,1699014595265
10638000,10639000,47,539008751,1699014595265
10638000,10639000,13,319420727,1699014595265
10639000,10640000,98,127847233,1699014595525
10639000,10640000,63,193220213,1699014595525
10639000,10640000,54,241218347,1699014595525
10639000,10640000,74,241110409,1699014595525
10639000,10640000,100,340132283,1699014595572
10639000,10640000,24,211089844,1699014595572
10639000,10640000,47,256533341,1699014595572
10639000,10640000,13,301511674,1699014595572
10640000,10641000,98,284334812,1699014595816
10640000,10641000,63,207446947,1699014595816
10640000,10641000,54,267322062,1699014595816
10640000,10641000,74,209836584,1699014595816
10640000,10641000,100,278598732,1699014595940
10640000,10641000,24,267996039,1699014595940
10640000,10641000,47,276946609,1699014595940
10640000,10641000,13,312256247,1699014595940
10641000,10642000,98,484208643,1699014596110
10641000,10642000,74,193264265,1699014596110
10641000,10642000,63,248433973,1699014596110
10641000,10642000,54,284393076,1699014596110
10641000,10642000,100,279909348,1699014596260
10641000,10642000,24,278899733,1699014596260
10641000,10642000,47,253560349,1699014596260
10641000,10642000,13,252870617,1699014596260
10642000,10643000,98,198090178,1699014596423
10642000,10643000,54,278695159,1699014596423
10642000,10643000,63,220838362,1699014596423
10642000,10643000,74,231668502,1699014596423
10642000,10643000,100,220938865,1699014596574
10642000,10643000,24,292215419,1699014596574
10642000,10643000,47,249742433,1699014596574
10642000,10643000,13,358812775,1699014596574
10643000,10644000,63,192610092,1699014596708
10643000,10644000,54,275771646,1699014596708
10643000,10644000,74,275546363,1699014596708
10643000,10644000,100,203685977,1699014596930
10643000,10644000,24,261865489,1699014596930
10643000,10644000,47,231250104,1699014596930
10643000,10644000,13,296809101,1699014596930
10644000,10645000,63,225992267,1699014597014
10644000,10645000,74,234985569,1699014597014
10644000,10645000,54,296876655,1699014597014
10644000,10645000,100,226281310,1699014597238
10644000,10645000,24,274827957,1699014597238
10644000,10645000,47,271746423,1699014597238
10644000,10645000,13,315771341,1699014597238
10645000,10646000,98,38129393,1699014597335
10645000,10646000,63,240471198,1699014597335
10645000,10646000,74,247381653,1699014597335
10645000,10646000,54,382844989,1699014597335
10645000,10646000,100,192029259,1699014597541
10645000,10646000,47,234815927,1699014597541
10645000,10646000,24,386815559,1699014597541
10645000,10646000,13,290780669,1699014597541
10646000,10647000,98,49156854,1699014597655
10646000,10647000,63,216372668,1699014597655
10646000,10647000,74,228879194,1699014597655
10646000,10647000,54,270125795,1699014597655
10646000,10647000,100,258637058,1699014597856
10646000,10647000,47,226413984,1699014597856
10646000,10647000,24,439466903,1699014597856
10646000,10647000,13,287551716,1699014597856
10647000,10648000,63,205214890,1699014597978
10647000,10648000,74,235003849,1699014597978
10647000,10648000,54,288211334,1699014597978
10647000,10648000,100,246848741,1699014598212
10647000,10648000,24,386775465,1699014598212
10647000,10648000,47,271288624,1699014598212
10647000,10648000,13,270512456,1699014598212
10648000,10649000,63,185993154,1699014598298
10648000,10649000,74,173080468,1699014598298
10648000,10649000,54,259135200,1699014598298
10648000,10649000,100,289544742,1699014598529
10648000,10649000,24,228246987,1699014598529
10648000,10649000,47,201755736,1699014598529
10648000,10649000,13,259799402,1699014598529
10649000,10650000,98,220723515,1699014598619
10649000,10650000,63,230195851,1699014598619
10649000,10650000,74,184819667,1699014598619
10649000,10650000,54,241462555,1699014598619
10649000,10650000,100,208187338,1699014598841
10649000,10650000,24,242113952,1699014598841
10649000,10650000,47,173306585,1699014598841
10649000,10650000,13,288970710,1699014598841
10650000,10651000,98,42201723,1699014598925
10650000,10651000,63,216319600,1699014598925
10650000,10651000,74,179884747,1699014598925
10650000,10651000,54,242659471,1699014598925
10651000,10652000,74,250261920,1699014599192
10651000,10652000,63,234602017,1699014599192
10651000,10652000,54,269431806,1699014599192
10650000,10651000,100,201840780,1699014599202
10650000,10651000,47,242211352,1699014599202
10650000,10651000,24,307558782,1699014599202
10650000,10651000,13,286488929,1699014599202
10652000,10653000,74,188228030,1699014599514
10652000,10653000,63,225520325,1699014599514
10652000,10653000,54,308730801,1699014599514
10651000,10652000,100,254303490,1699014599522
10651000,10652000,47,271405221,1699014599522
10651000,10652000,24,223346655,1699014599522
10651000,10652000,13,303234398,1699014599522
10653000,10654000,98,242260780,1699014599833
10653000,10654000,74,213268954,1699014599833
10653000,10654000,63,254232602,1699014599833
10653000,10654000,54,282796393,1699014599833
10652000,10653000,100,251303406,1699014599835
10652000,10653000,24,300662530,1699014599835
10652000,10653000,47,285599497,1699014599835
10652000,10653000,13,278985146,1699014599835
10654000,10655000,98,254669268,1699014600155
10654000,10655000,63,253151650,1699014600155
10654000,10655000,74,207772457,1699014600155
10654000,10655000,54,220362176,1699014600155
10653000,10654000,100,212675000,1699014600200
10653000,10654000,24,229980192,1699014600200
10653000,10654000,47,211443265,1699014600200
10653000,10654000,13,233422706,1699014600200
10655000,10656000,98,210238578,1699014600476
10655000,10656000,63,211540452,1699014600476
10655000,10656000,74,212426774,1699014600476
10655000,10656000,54,240165279,1699014600476
10654000,10655000,100,201013463,1699014600522
10654000,10655000,24,228449919,1699014600522
10654000,10655000,47,373011088,1699014600522
10654000,10655000,13,283542594,1699014600522
10656000,10657000,98,144263376,1699014600787
10656000,10657000,63,205086256,1699014600787
10656000,10657000,74,223377752,1699014600787
10656000,10657000,54,216742177,1699014600787
10655000,10656000,100,172048619,1699014600843
10655000,10656000,24,286687562,1699014600843
10655000,10656000,47,222215145,1699014600843
10655000,10656000,13,268383449,1699014600843
10657000,10658000,98,196949032,1699014601100
10657000,10658000,63,203453673,1699014601100
10657000,10658000,74,201340066,1699014601100
10657000,10658000,54,221292278,1699014601100
10656000,10657000,100,189486871,1699014601162
10656000,10657000,24,313036592,1699014601162
10656000,10657000,47,372999226,1699014601162
10656000,10657000,13,320716197,1699014601162
10658000,10659000,98,14673664,1699014601415
10658000,10659000,74,216753018,1699014601415
10658000,10659000,63,166661036,1699014601415
10658000,10659000,54,209138908,1699014601415
10659000,10660000,98,55106141,1699014601501
10659000,10660000,63,194051592,1699014601501
10659000,10660000,74,195136991,1699014601501
10659000,10660000,54,112926560,1699014601501
10657000,10658000,100,191243329,1699014601526
10657000,10658000,24,277514729,1699014601526
10657000,10658000,47,256099120,1699014601526
10657000,10658000,13,296054671,1699014601526
10660000,10661000,63,216125536,1699014601769
10660000,10661000,74,166438344,1699014601769
10660000,10661000,54,190554464,1699014601769
10658000,10659000,100,236472472,1699014601828
10658000,10659000,24,218056593,1699014601828
10658000,10659000,47,325053970,1699014601828
10658000,10659000,13,357242655,1699014601828
10661000,10662000,98,90686855,1699014602068
10661000,10662000,63,163159483,1699014602068
10661000,10662000,74,196464645,1699014602068
10661000,10662000,54,256571693,1699014602068
10659000,10660000,100,224753138,1699014602136
10659000,10660000,24,227043438,1699014602136
10659000,10660000,47,443653678,1699014602136
10659000,10660000,13,244055115,1699014602136
10662000,10663000,98,119489263,1699014602374
10662000,10663000,74,176693771,1699014602374
10662000,10663000,63,226964247,1699014602374
10662000,10663000,54,231578149,1699014602374
10660000,10661000,100,264263387,1699014602493
10660000,10661000,24,253807176,1699014602493
10660000,10661000,47,209283538,1699014602493
10660000,10661000,13,228247380,1699014602493
10663000,10664000,74,251474694,1699014602695
10663000,10664000,63,174134024,1699014602695
10663000,10664000,54,210802596,1699014602695
10661000,10662000,100,387149633,1699014602809
10661000,10662000,24,262122328,1699014602809
10661000,10662000,47,367871323,1699014602809
10661000,10662000,13,275513613,1699014602809
10664000,10665000,74,283688607,1699014603020
10664000,10665000,63,175754776,1699014603020
10664000,10665000,54,268837308,1699014603020
10662000,10663000,100,241342085,1699014603129
10662000,10663000,24,150279524,1699014603129
10662000,10663000,47,182428474,1699014603129
10662000,10663000,13,296921490,1699014603129
10665000,10666000,98,135703502,1699014603335
10665000,10666000,74,161930554,1699014603335
10665000,10666000,63,194882903,1699014603335
