debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_v:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,1699364013777,7161971,1699363988093
10634000,10635000,74,1699364013771,877784,1699363988096
10634000,10635000,24,1699364013767,1512939,1699363988096
10634000,10635000,47,1699364013784,1570131,1699363988096
10634000,10635000,54,1699363987163,1020575,1699363988096
10634000,10635000,63,1699364013807,1161884,1699363988096
10634000,10635000,13,1699364013810,1644585,1699363988096
10634000,10635000,100,1699364013810,1143537,1699363988096
10635000,10636000,74,1699364013790,977057,1699363988287
10635000,10636000,24,1699364013787,1472690,1699363988287
10635000,10636000,98,1699364013782,1538652,1699363988287
10635000,10636000,47,1699364013807,1397114,1699363988287
10635000,10636000,54,1699363987165,1451827,1699363988287
10635000,10636000,63,1699364013825,959861,1699363988287
10635000,10636000,13,1699364013829,1639658,1699363988287
10635000,10636000,100,1699364013831,1332218,1699363988287
10636000,10637000,98,1699364013828,1077606,1699363988483
10636000,10637000,54,1699363987234,1973856,1699363988483
10636000,10637000,74,1699364013989,1421663,1699363988483
10636000,10637000,24,1699364013991,1176265,1699363988483
10636000,10637000,47,1699364014002,1429882,1699363988483
10636000,10637000,63,1699364014021,1122880,1699363988483
10636000,10637000,13,1699364014029,1612057,1699363988483
10636000,10637000,100,1699364014025,1123978,1699363988483
10637000,10638000,98,1699364013992,1652665,1699363988678
10637000,10638000,74,1699364014187,1056880,1699363988678
10637000,10638000,47,1699364014197,1666596,1699363988678
10637000,10638000,24,1699364014194,1251157,1699363988678
10637000,10638000,54,1699363987558,1200902,1699363988678
10637000,10638000,63,1699364014216,846640,1699363988678
10637000,10638000,13,1699364014227,1593556,1699363988678
10637000,10638000,100,1699364014219,1557652,1699363988678
10638000,10639000,98,1699364014011,1050798,1699363988874
10638000,10639000,74,1699364014387,1358175,1699363988874
10638000,10639000,47,1699364014391,2591388,1699363988874
10638000,10639000,24,1699364014386,1075971,1699363988874
10638000,10639000,54,1699363987756,1523892,1699363988874
10638000,10639000,63,1699364014411,942157,1699363988874
10638000,10639000,13,1699364014426,1458542,1699363988874
10638000,10639000,100,1699364014414,1687778,1699363988874
