debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_v:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,1699367743663,7161971,1699367718419
10634000,10635000,24,1699367743556,1512939,1699367718423
10634000,10635000,13,1699367743737,1644585,1699367718423
10634000,10635000,74,1699367743569,877784,1699367718423
10634000,10635000,54,1699367717091,1020575,1699367718423
10634000,10635000,47,1699367743598,1570131,1699367718423
10634000,10635000,100,1699367743715,1143537,1699367718423
10634000,10635000,63,1699367743633,1161884,1699367718423
10635000,10636000,24,1699367743589,1472690,1699367719004
10635000,10636000,13,1699367743778,1639658,1699367719004
10635000,10636000,74,1699367743618,977057,1699367719004
10635000,10636000,54,1699367717093,1451827,1699367719004
10635000,10636000,47,1699367743689,1397114,1699367719004
10635000,10636000,98,1699367743667,1538652,1699367719004
10635000,10636000,100,1699367743765,1332218,1699367719004
10635000,10636000,63,1699367743687,959861,1699367719004
10636000,10637000,54,1699367717231,1973856,1699367719558
10636000,10637000,98,1699367743831,1077606,1699367719558
10636000,10637000,74,1699367744129,1421663,1699367719558
10636000,10637000,24,1699367744130,1176265,1699367719558
10636000,10637000,13,1699367744157,1612057,1699367719558
10636000,10637000,47,1699367744216,1429882,1699367719558
10636000,10637000,100,1699367744308,1123978,1699367719558
10636000,10637000,63,1699367744370,1122880,1699367719558
10637000,10638000,98,1699367744213,1652665,1699367720022
10637000,10638000,13,1699367744667,1593556,1699367720022
10637000,10638000,74,1699367744575,1056880,1699367720022
10637000,10638000,24,1699367744664,1251157,1699367720022
10637000,10638000,47,1699367744711,1666596,1699367720022
10637000,10638000,100,1699367744779,1557652,1699367720022
10637000,10638000,54,1699367718169,1200902,1699367720022
10637000,10638000,63,1699367744971,846640,1699367720022
10638000,10639000,98,1699367744265,1050798,1699367720642
10638000,10639000,47,1699367745186,2591388,1699367720642
10638000,10639000,13,1699367745189,1458542,1699367720642
10638000,10639000,24,1699367745158,1075971,1699367720642
10638000,10639000,74,1699367745119,1358175,1699367720642
10638000,10639000,100,1699367745288,1687778,1699367720642
10638000,10639000,54,1699367718746,1523892,1699367720642
10638000,10639000,63,1699367745498,942157,1699367720642
10639000,10640000,98,1699367744652,1826389,1699367721214
10639000,10640000,47,1699367745650,1227432,1699367721214
10639000,10640000,13,1699367745759,1376765,1699367721214
10639000,10640000,24,1699367745699,977267,1699367721214
10639000,10640000,74,1699367745719,1199554,1699367721214
10639000,10640000,100,1699367745795,1744268,1699367721214
10639000,10640000,54,1699367719245,1165306,1699367721214
10639000,10640000,63,1699367745983,942537,1699367721214
10640000,10641000,98,1699367744719,1458127,1699367721524
10640000,10641000,13,1699367746279,1425827,1699367721524
10640000,10641000,54,1699367719721,1291410,1699367721524
10640000,10641000,24,1699367746189,1246493,1699367721524
10640000,10641000,100,1699367746261,1428711,1699367721524
10640000,10641000,74,1699367746255,1038794,1699367721524
10640000,10641000,47,1699367746210,1325103,1699367721524
10640000,10641000,63,1699367746613,1016896,1699367721524
10641000,10642000,98,1699367745180,2798893,1699367722011
10641000,10642000,13,1699367746660,1159956,1699367722011
10641000,10642000,54,1699367720014,1373879,1699367722011
10641000,10642000,100,1699367746690,1435432,1699367722011
10641000,10642000,74,1699367746722,961513,1699367722011
10641000,10642000,24,1699367746727,1291202,1699367722011
10641000,10642000,47,1699367746834,1213207,1699367722011
10641000,10642000,63,1699367747166,1217813,1699367722011
10642000,10643000,98,1699367745632,1834168,1699367722520
10642000,10643000,13,1699367747168,1638414,1699367722520
10642000,10643000,54,1699367720481,1346353,1699367722520
10642000,10643000,74,1699367747258,1146873,1699367722520
10642000,10643000,100,1699367747140,1133019,1699367722520
10642000,10643000,24,1699367747326,1359141,1699367722520
10642000,10643000,47,1699367747437,1194939,1699367722520
10642000,10643000,63,1699367747490,1077260,1699367722520
10643000,10644000,54,1699367720916,1332230,1699367723061
10643000,10644000,13,1699367747616,1355292,1699367723061
10643000,10644000,100,1699367747735,1044543,1699367723061
10643000,10644000,24,1699367747862,1212340,1699367723061
10643000,10644000,74,1699367747742,1370877,1699367723061
10643000,10644000,47,1699367747964,1106459,1699367723061
10643000,10644000,63,1699367747971,944167,1699367723061
10644000,10645000,54,1699367721435,1434186,1699367723612
10644000,10645000,100,1699367748232,1160416,1699367723612
10644000,10645000,74,1699367748333,1163294,1699367723612
10644000,10645000,24,1699367748403,1278269,1699367723612
10644000,10645000,47,1699367748556,1306473,1699367723612
10644000,10645000,13,1699367748449,1441878,1699367723612
10644000,10645000,63,1699367748508,1102401,1699367723612
10645000,10646000,98,1699367746106,977676,1699367724125
10645000,10646000,100,1699367748370,984765,1699367724125
10645000,10646000,54,1699367721932,1849492,1699367724125
10645000,10646000,47,1699367748990,1123521,1699367724125
10645000,10646000,24,1699367748915,1790812,1699367724125
10645000,10646000,74,1699367748812,1230754,1699367724125
10645000,10646000,13,1699367748987,1327765,1699367724125
10645000,10646000,63,1699367749053,1178780,1699367724125
10646000,10647000,98,1699367746132,1328563,1699367724634
10646000,10647000,100,1699367748961,1326343,1699367724634
10646000,10647000,54,1699367722519,1304955,1699367724634
10646000,10647000,47,1699367749378,1083320,1699367724634
10646000,10647000,24,1699367749456,2044032,1699367724634
10646000,10647000,13,1699367749434,1319044,1699367724634
10646000,10647000,74,1699367749393,1133065,1699367724634
10646000,10647000,63,1699367749620,1055476,1699367724634
10647000,10648000,100,1699367749469,1265890,1699367725451
10647000,10648000,54,1699367723122,1392325,1699367725451
10647000,10648000,47,1699367749863,1298031,1699367725451
10647000,10648000,24,1699367749954,1790627,1699367725451
10647000,10648000,74,1699367749975,1163385,1699367725451
10647000,10648000,13,1699367750006,1235216,1699367725451
10647000,10648000,63,1699367750098,1005955,1699367725451
