debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_v:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,1699365324969,7161971,1699365299292
10634000,10635000,63,1699365324922,1161884,1699365299294
10634000,10635000,54,1699365298314,1020575,1699365299294
10634000,10635000,24,1699365324938,1512939,1699365299294
10634000,10635000,47,1699365324946,1570131,1699365299294
10634000,10635000,74,1699365324963,877784,1699365299294
10634000,10635000,100,1699365324983,1143537,1699365299294
10634000,10635000,13,1699365325006,1644585,1699365299294
10635000,10636000,63,1699365324944,959861,1699365299490
10635000,10636000,54,1699365298317,1451827,1699365299490
10635000,10636000,24,1699365324961,1472690,1699365299490
10635000,10636000,47,1699365324971,1397114,1699365299490
10635000,10636000,74,1699365324985,977057,1699365299490
10635000,10636000,98,1699365324977,1538652,1699365299490
10635000,10636000,100,1699365325004,1332218,1699365299490
10635000,10636000,13,1699365325029,1639658,1699365299490
10636000,10637000,54,1699365298386,1973856,1699365299687
10636000,10637000,98,1699365325022,1077606,1699365299687
10636000,10637000,63,1699365325140,1122880,1699365299687
10636000,10637000,47,1699365325165,1429882,1699365299687
10636000,10637000,24,1699365325164,1176265,1699365299687
10636000,10637000,74,1699365325183,1421663,1699365299687
10636000,10637000,100,1699365325196,1123978,1699365299687
10636000,10637000,13,1699365325233,1612057,1699365299687
10637000,10638000,98,1699365325194,1652665,1699365299884
10637000,10638000,63,1699365325335,846640,1699365299884
10637000,10638000,54,1699365298710,1200902,1699365299884
10637000,10638000,47,1699365325360,1666596,1699365299884
10637000,10638000,24,1699365325367,1251157,1699365299884
10637000,10638000,74,1699365325382,1056880,1699365299884
10637000,10638000,100,1699365325387,1557652,1699365299884
10637000,10638000,13,1699365325438,1593556,1699365299884
10638000,10639000,98,1699365325214,1050798,1699365300081
10638000,10639000,63,1699365325530,942157,1699365300081
10638000,10639000,54,1699365298906,1523892,1699365300081
10638000,10639000,47,1699365325554,2591388,1699365300081
10638000,10639000,24,1699365325558,1075971,1699365300081
10638000,10639000,74,1699365325580,1358175,1699365300081
10638000,10639000,100,1699365325578,1687778,1699365300081
10638000,10639000,13,1699365325641,1458542,1699365300081
10639000,10640000,98,1699365325399,1826389,1699365300278
10639000,10640000,63,1699365325724,942537,1699365300278
10639000,10640000,54,1699365299103,1165306,1699365300278
10639000,10640000,47,1699365325747,1227432,1699365300278
10639000,10640000,24,1699365325760,977267,1699365300278
10639000,10640000,100,1699365325768,1744268,1699365300278
10639000,10640000,74,1699365325778,1199554,1699365300278
10639000,10640000,13,1699365325845,1376765,1699365300278
10640000,10641000,98,1699365325423,1458127,1699365300475
10640000,10641000,63,1699365325919,1016896,1699365300475
10640000,10641000,54,1699365299299,1291410,1699365300475
10640000,10641000,47,1699365325942,1325103,1699365300475
10640000,10641000,24,1699365325964,1246493,1699365300475
10640000,10641000,100,1699365325959,1428711,1699365300475
10640000,10641000,74,1699365325976,1038794,1699365300475
10640000,10641000,13,1699365326048,1425827,1699365300475
10641000,10642000,98,1699365325623,2798893,1699365300674
10641000,10642000,63,1699365326114,1217813,1699365300674
10641000,10642000,47,1699365326136,1213207,1699365300674
10641000,10642000,54,1699365299497,1373879,1699365300674
10641000,10642000,24,1699365326166,1291202,1699365300674
10641000,10642000,100,1699365326150,1435432,1699365300674
10641000,10642000,74,1699365326174,961513,1699365300674
10641000,10642000,13,1699365326252,1159956,1699365300674
10642000,10643000,98,1699365325816,1834168,1699365300873
10642000,10643000,63,1699365326309,1077260,1699365300873
10642000,10643000,47,1699365326331,1194939,1699365300873
10642000,10643000,54,1699365299694,1346353,1699365300873
10642000,10643000,24,1699365326369,1359141,1699365300873
10642000,10643000,100,1699365326341,1133019,1699365300873
10642000,10643000,74,1699365326372,1146873,1699365300873
10642000,10643000,13,1699365326456,1638414,1699365300873
10643000,10644000,63,1699365326504,944167,1699365301266
10643000,10644000,47,1699365326526,1106459,1699365301266
10643000,10644000,54,1699365299892,1332230,1699365301266
10643000,10644000,100,1699365326532,1044543,1699365301266
10643000,10644000,24,1699365326573,1212340,1699365301266
10643000,10644000,74,1699365326570,1370877,1699365301266
10643000,10644000,13,1699365326660,1355292,1699365301266
10644000,10645000,63,1699365326699,1102401,1699365301462
10644000,10645000,47,1699365326720,1306473,1699365301462
10644000,10645000,54,1699365300089,1434186,1699365301462
10644000,10645000,100,1699365326722,1160416,1699365301462
10644000,10645000,24,1699365326776,1278269,1699365301462
10644000,10645000,74,1699365326768,1163294,1699365301462
10644000,10645000,13,1699365326991,1441878,1699365301462
10645000,10646000,98,1699365325986,977676,1699365301660
10645000,10646000,100,1699365326788,984765,1699365301660
10645000,10646000,63,1699365326893,1178780,1699365301660
10645000,10646000,47,1699365326914,1123521,1699365301660
10645000,10646000,54,1699365300286,1849492,1699365301660
10645000,10646000,24,1699365326979,1790812,1699365301660
10645000,10646000,74,1699365326966,1230754,1699365301660
10645000,10646000,13,1699365327195,1327765,1699365301660
10646000,10647000,98,1699365325999,1328563,1699365301858
10646000,10647000,100,1699365326981,1326343,1699365301858
10646000,10647000,63,1699365327088,1055476,1699365301858
10646000,10647000,47,1699365327109,1083320,1699365301858
10646000,10647000,54,1699365300482,1304955,1699365301858
10646000,10647000,24,1699365327182,2044032,1699365301858
10646000,10647000,74,1699365327165,1133065,1699365301858
10646000,10647000,13,1699365327399,1319044,1699365301858
10647000,10648000,100,1699365327172,1265890,1699365302055
10647000,10648000,63,1699365327283,1005955,1699365302055
10647000,10648000,47,1699365327303,1298031,1699365302055
10647000,10648000,54,1699365300680,1392325,1699365302055
10647000,10648000,24,1699365327385,1790627,1699365302055
10647000,10648000,74,1699365327363,1163385,1699365302055
10647000,10648000,13,1699365327603,1235216,1699365302055
10648000,10649000,100,1699365327363,1484844,1699365302254
10648000,10649000,47,1699365327497,965338,1699365302254
10648000,10649000,63,1699365327478,907283,1699365302254
10648000,10649000,54,1699365300877,1251860,1699365302254
10648000,10649000,74,1699365327562,861096,1699365302254
10648000,10649000,24,1699365327719,1061613,1699365302254
10648000,10649000,13,1699365327807,1186298,1699365302254
10649000,10650000,98,1699365326012,1587938,1699365302452
10649000,10650000,100,1699365327554,1067627,1699365302452
10649000,10650000,47,1699365327693,833204,1699365302452
10649000,10650000,63,1699365327673,1128411,1699365302452
10649000,10650000,54,1699365301074,1166485,1699365302452
10649000,10650000,74,1699365327760,914948,1699365302452
