debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_v:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,1699370929058,7161971,1699370903795
10634000,10635000,13,1699370928993,1644585,1699370903798
10634000,10635000,74,1699370929027,877784,1699370903798
10634000,10635000,47,1699370929009,1570131,1699370903798
10634000,10635000,63,1699370929032,1161884,1699370903798
10634000,10635000,24,1699370929004,1512939,1699370903798
10634000,10635000,54,1699370902460,1020575,1699370903798
10634000,10635000,100,1699370929083,1143537,1699370903798
10635000,10636000,13,1699370929027,1639658,1699370904317
10635000,10636000,74,1699370929077,977057,1699370904317
10635000,10636000,47,1699370929062,1397114,1699370904317
10635000,10636000,63,1699370929083,959861,1699370904317
10635000,10636000,98,1699370929063,1538652,1699370904317
10635000,10636000,24,1699370929052,1472690,1699370904317
10635000,10636000,54,1699370902462,1451827,1699370904317
10635000,10636000,100,1699370929115,1332218,1699370904317
10636000,10637000,98,1699370929208,1077606,1699370904896
10636000,10637000,54,1699370902706,1973856,1699370904896
10636000,10637000,13,1699370929505,1612057,1699370904896
10636000,10637000,47,1699370929545,1429882,1699370904896
10636000,10637000,74,1699370929520,1421663,1699370904896
10636000,10637000,63,1699370929551,1122880,1699370904896
10636000,10637000,24,1699370929642,1176265,1699370904896
10636000,10637000,100,1699370929726,1123978,1699370904896
10637000,10638000,98,1699370929585,1652665,1699370905505
10637000,10638000,13,1699370929940,1593556,1699370905505
10637000,10638000,47,1699370929972,1666596,1699370905505
10637000,10638000,74,1699370929980,1056880,1699370905505
10637000,10638000,63,1699370930118,846640,1699370905505
10637000,10638000,54,1699370903541,1200902,1699370905505
10637000,10638000,24,1699370930174,1251157,1699370905505
10637000,10638000,100,1699370930214,1557652,1699370905505
10638000,10639000,98,1699370929656,1050798,1699370905964
10638000,10639000,13,1699370930351,1458542,1699370905964
10638000,10639000,47,1699370930480,2591388,1699370905964
10638000,10639000,74,1699370930458,1358175,1699370905964
10638000,10639000,63,1699370930611,942157,1699370905964
10638000,10639000,54,1699370904104,1523892,1699370905964
10638000,10639000,24,1699370930806,1075971,1699370905964
10638000,10639000,100,1699370930792,1687778,1699370905964
10639000,10640000,98,1699370929890,1826389,1699370906445
10639000,10640000,13,1699370930909,1376765,1699370906445
10639000,10640000,74,1699370930940,1199554,1699370906445
10639000,10640000,47,1699370931005,1227432,1699370906445
10639000,10640000,63,1699370931088,942537,1699370906445
10639000,10640000,24,1699370931364,977267,1699370906445
10639000,10640000,54,1699370904620,1165306,1699370906445
10639000,10640000,100,1699370931395,1744268,1699370906445
10640000,10641000,98,1699370929917,1458127,1699370906965
10640000,10641000,13,1699370931450,1425827,1699370906965
10640000,10641000,74,1699370931435,1038794,1699370906965
10640000,10641000,47,1699370931534,1325103,1699370906965
10640000,10641000,63,1699370931618,1016896,1699370906965
10640000,10641000,24,1699370931764,1246493,1699370906965
10640000,10641000,54,1699370905160,1291410,1699370906965
10640000,10641000,100,1699370931855,1428711,1699370906965
10641000,10642000,98,1699370930145,2798893,1699370907631
10641000,10642000,13,1699370931958,1159956,1699370907631
10641000,10642000,74,1699370931903,961513,1699370907631
10641000,10642000,47,1699370932000,1213207,1699370907631
10641000,10642000,63,1699370932075,1217813,1699370907631
10641000,10642000,54,1699370905703,1373879,1699370907631
10641000,10642000,100,1699370932332,1435432,1699370907631
10641000,10642000,24,1699370932287,1291202,1699370907631
10642000,10643000,98,1699370930581,1834168,1699370908274
10642000,10643000,74,1699370932382,1146873,1699370908274
10642000,10643000,13,1699370932510,1638414,1699370908274
10642000,10643000,47,1699370932471,1194939,1699370908274
10642000,10643000,63,1699370932589,1077260,1699370908274
10642000,10643000,54,1699370906277,1346353,1699370908274
10642000,10643000,100,1699370932838,1133019,1699370908274
10642000,10643000,24,1699370933001,1359141,1699370908274
10643000,10644000,13,1699370933030,1355292,1699370908736
10643000,10644000,74,1699370932894,1370877,1699370908736
10643000,10644000,63,1699370933051,944167,1699370908736
10643000,10644000,47,1699370933146,1106459,1699370908736
10643000,10644000,54,1699370906832,1332230,1699370908736
10643000,10644000,24,1699370933680,1212340,1699370908736
10643000,10644000,100,1699370933430,1044543,1699370908736
10644000,10645000,74,1699370933391,1163294,1699370909307
10644000,10645000,47,1699370933631,1306473,1699370909307
10644000,10645000,63,1699370933538,1102401,1699370909307
10644000,10645000,54,1699370907365,1434186,1699370909307
10644000,10645000,13,1699370933902,1441878,1699370909307
10644000,10645000,24,1699370934218,1278269,1699370909307
10644000,10645000,100,1699370934142,1160416,1699370909307
10645000,10646000,98,1699370930998,977676,1699370909752
10645000,10646000,74,1699370933848,1230754,1699370909752
10645000,10646000,47,1699370934114,1123521,1699370909752
10645000,10646000,100,1699370934294,984765,1699370909752
10645000,10646000,63,1699370934126,1178780,1699370909752
10645000,10646000,54,1699370907855,1849492,1699370909752
10645000,10646000,13,1699370934468,1327765,1699370909752
10645000,10646000,24,1699370934751,1790812,1699370909752
10646000,10647000,98,1699370931031,1328563,1699370910375
10646000,10647000,74,1699370934325,1133065,1699370910375
10646000,10647000,100,1699370934786,1326343,1699370910375
10646000,10647000,47,1699370934742,1083320,1699370910375
10646000,10647000,63,1699370934712,1055476,1699370910375
10646000,10647000,54,1699370908387,1304955,1699370910375
10646000,10647000,13,1699370934989,1319044,1699370910375
10646000,10647000,24,1699370935303,2044032,1699370910375
10647000,10648000,47,1699370935078,1298031,1699370911157
10647000,10648000,74,1699370934827,1163385,1699370911157
10647000,10648000,100,1699370935162,1265890,1699370911157
10647000,10648000,63,1699370935377,1005955,1699370911157
10647000,10648000,54,1699370908922,1392325,1699370911157
10647000,10648000,13,1699370935561,1235216,1699370911157
10647000,10648000,24,1699370935834,1790627,1699370911157
10648000,10649000,100,1699370935492,1484844,1699370911594
10648000,10649000,47,1699370935381,965338,1699370911594
10648000,10649000,74,1699370935354,861096,1699370911594
10648000,10649000,63,1699370936041,907283,1699370911594
10648000,10649000,13,1699370936001,1186298,1699370911594
10648000,10649000,54,1699370909508,1251860,1699370911594
10648000,10649000,24,1699370936607,1061613,1699370911594
10649000,10650000,98,1699370931058,1587938,1699370911966
10649000,10650000,100,1699370935917,1067627,1699370911966
10649000,10650000,47,1699370935983,833204,1699370911966
10649000,10650000,74,1699370935897,914948,1699370911966
10649000,10650000,63,1699370936309,1128411,1699370911966
10649000,10650000,13,1699370936486,1319500,1699370911966
10649000,10650000,54,1699370910054,1166485,1699370911966
10649000,10650000,24,1699370937038,1120897,1699370911966
10650000,10651000,98,1699370931483,861259,1699370912387
10650000,10651000,100,1699370936384,1035080,1699370912387
10650000,10651000,47,1699370936519,1158905,1699370912387
10650000,10651000,74,1699370936507,894948,1699370912387
10650000,10651000,63,1699370936684,1055217,1699370912387
10650000,10651000,13,1699370937007,1314169,1699370912387
10650000,10651000,54,1699370910597,1172267,1699370912387
10650000,10651000,24,1699370937504,1423883,1699370912387
10651000,10652000,100,1699370937006,1304120,1699370912958
10651000,10652000,47,1699370937026,1298589,1699370912958
10651000,10652000,74,1699370937012,1238920,1699370912958
10651000,10652000,63,1699370937256,1150009,1699370912958
10651000,10652000,13,1699370937535,1384631,1699370912958
10651000,10652000,54,1699370911134,1301602,1699370912958
10651000,10652000,24,1699370937859,1378683,1699370912958
10652000,10653000,100,1699370937541,1288735,1699370913478
10652000,10653000,74,1699370937529,936457,1699370913478
10652000,10653000,63,1699370937724,1105491,1699370913478
10652000,10653000,13,1699370938079,1273904,1699370913478
10652000,10653000,47,1699370937902,1366504,1699370913478
10652000,10653000,54,1699370911623,1491453,1699370913478
10652000,10653000,24,1699370938277,1391956,1699370913478
10653000,10654000,98,1699370931547,1468247,1699370914034
10653000,10654000,100,1699370938019,1090641,1699370914034
10653000,10654000,74,1699370938022,1055786,1699370914034
10653000,10654000,63,1699370938256,1240159,1699370914034
10653000,10654000,13,1699370938601,1065857,1699370914034
10653000,10654000,47,1699370938508,1011690,1699370914034
10653000,10654000,54,1699370912144,1366166,1699370914034
10653000,10654000,24,1699370938877,1069675,1699370914034
10654000,10655000,98,1699370932066,1756339,1699370914592
10654000,10655000,100,1699370938551,1030838,1699370914592
10654000,10655000,74,1699370938519,1033693,1699370914592
10654000,10655000,63,1699370938902,1240939,1699370914592
10654000,10655000,47,1699370939071,1793322,1699370914592
10654000,10655000,54,1699370912654,1064551,1699370914592
10654000,10655000,24,1699370939382,1057638,1699370914592
10654000,10655000,13,1699370939438,1300654,1699370914592
10655000,10656000,98,1699370932174,1078146,1699370915067
10655000,10656000,100,1699370939073,882300,1699370915067
10655000,10656000,74,1699370939088,1051617,1699370915067
10655000,10656000,47,1699370939454,1063230,1699370915067
10655000,10656000,63,1699370939467,1031904,1699370915067
10655000,10656000,24,1699370939950,1333430,1699370915067
10655000,10656000,54,1699370913233,1165850,1699370915067
10655000,10656000,13,1699370939918,1225495,1699370915067
10656000,10657000,98,1699370932791,1348255,1699370915573
10656000,10657000,74,1699370939525,1111332,1699370915573
10656000,10657000,100,1699370939508,971727,1699370915573
10656000,10657000,47,1699370939944,1784685,1699370915573
10656000,10657000,63,1699370940112,1005324,1699370915573
10656000,10657000,54,1699370913816,1047063,1699370915573
10656000,10657000,24,1699370940288,1449243,1699370915573
10656000,10657000,13,1699370940497,1464457,1699370915573
10657000,10658000,98,1699370933009,1330736,1699370916096
10657000,10658000,74,1699370940007,996733,1699370916096
10657000,10658000,100,1699370940170,980735,1699370916096
10657000,10658000,47,1699370940446,1225354,1699370916096
10657000,10658000,63,1699370940659,992456,1699370916096
10657000,10658000,54,1699370914321,1069044,1699370916096
10657000,10658000,24,1699370940859,1290766,1699370916096
10657000,10658000,13,1699370940975,1351847,1699370916096
10658000,10659000,98,1699370933377,1222805,1699370916628
10658000,10659000,74,1699370940487,1078373,1699370916628
10658000,10659000,100,1699370940613,1212679,1699370916628
10658000,10659000,47,1699370940910,1555282,1699370916628
10658000,10659000,63,1699370941135,816965,1699370916628
10658000,10659000,54,1699370914875,1010332,1699370916628
10658000,10659000,24,1699370941474,1627288,1699370916628
10658000,10659000,13,1699370941503,1631245,1699370916628
10659000,10660000,98,1699370933395,1620768,1699370917112
10659000,10660000,74,1699370940938,966024,1699370917112
10659000,10660000,100,1699370941157,1152580,1699370917112
10659000,10660000,47,1699370941401,2122744,1699370917112
10659000,10660000,63,1699370941626,946593,1699370917112
10659000,10660000,54,1699370915386,2016545,1699370917112
10659000,10660000,24,1699370941906,1056015,1699370917112
10659000,10660000,13,1699370942035,1119518,1699370917112
10660000,10661000,74,1699370941467,828051,1699370917637
10660000,10661000,100,1699370941642,1355196,1699370917637
10660000,10661000,47,1699370941967,1006170,1699370917637
10660000,10661000,63,1699370942191,1059438,1699370917637
10660000,10661000,54,1699370915768,952772,1699370917637
10660000,10661000,24,1699370942454,1175033,1699370917637
10660000,10661000,13,1699370942585,1042225,1699370917637
10661000,10662000,98,1699370933417,1030532,1699370918167
10661000,10662000,74,1699370941979,972597,1699370918167
10661000,10662000,100,1699370942047,1985382,1699370918167
10661000,10662000,47,1699370942475,1760149,1699370918167
10661000,10662000,63,1699370942696,795899,1699370918167
10661000,10662000,54,1699370916302,1239476,1699370918167
10661000,10662000,24,1699370942950,1219173,1699370918167
10661000,10662000,13,1699370943123,1258053,1699370918167
10662000,10663000,98,1699370933539,2096302,1699370918648
10662000,10663000,100,1699370942573,1237651,1699370918648
10662000,10663000,74,1699370942468,874721,1699370918648
10662000,10663000,47,1699370943012,872863,1699370918648
10662000,10663000,63,1699370943293,1112569,1699370918648
10662000,10663000,54,1699370916857,1118735,1699370918648
10662000,10663000,24,1699370943495,905298,1699370918648
10662000,10663000,13,1699370943645,1355805,1699370918648
10663000,10664000,100,1699370942923,1804805,1699370919143
10663000,10664000,74,1699370943013,1251117,1699370919143
10663000,10664000,47,1699370943409,702063,1699370919143
10663000,10664000,63,1699370943888,849434,1699370919143
10663000,10664000,24,1699370944002,1212671,1699370919143
10663000,10664000,54,1699370917420,1018370,1699370919143
10663000,10664000,13,1699370944196,1451132,1699370919143
10664000,10665000,100,1699370943305,1497338,1699370920258
10664000,10665000,74,1699370943470,1404399,1699370920258
10664000,10665000,47,1699370943956,804430,1699370920258
10664000,10665000,63,1699370944450,861543,1699370920258
10664000,10665000,24,1699370944502,1278836,1699370920258
10664000,10665000,54,1699370917928,1298730,1699370920258
10664000,10665000,13,1699370944700,1372431,1699370920258
10665000,10666000,98,1699370933850,1491247,1699370920619
10665000,10666000,100,1699370943750,1504508,1699370920619
10665000,10666000,74,1699370943969,805624,1699370920619
10665000,10666000,47,1699370944351,722825,1699370920619
10665000,10666000,63,1699370944934,955308,1699370920619
10665000,10666000,24,1699370944994,1350445,1699370920619
10665000,10666000,54,1699370918439,1295576,1699370920619
10665000,10666000,13,1699370945555,1205758,1699370920619
10666000,10667000,98,1699370933922,1156834,1699370921140
10666000,10667000,100,1699370944252,2084249,1699370921140
10666000,10667000,74,1699370944551,1051257,1699370921140
10666000,10667000,47,1699370944792,806147,1699370921140
10666000,10667000,63,1699370945460,1027783,1699370921140
10666000,10667000,24,1699370945574,1375437,1699370921140
10666000,10667000,54,1699370918982,1142590,1699370921140
10666000,10667000,13,1699370946161,1449588,1699370921140
10667000,10668000,98,1699370934391,652248,1699370921610
10667000,10668000,100,1699370944751,1990884,1699370921610
10667000,10668000,74,1699370945035,1032037,1699370921610
10667000,10668000,47,1699370945332,915716,1699370921610
10667000,10668000,24,1699370946031,1415661,1699370921610
10667000,10668000,63,1699370946039,909617,1699370921610
10667000,10668000,54,1699370919468,1157960,1699370921610
10667000,10668000,13,1699370946529,1319346,1699370921610
10668000,10669000,98,1699370934444,1426959,1699370922111
10668000,10669000,100,1699370945095,1748844,1699370922111
10668000,10669000,74,1699370945574,1347891,1699370922111
10668000,10669000,47,1699370945814,827547,1699370922111
10668000,10669000,63,1699370946597,1101044,1699370922111
10668000,10669000,24,1699370946537,1144062,1699370922111
10668000,10669000,54,1699370919989,1016824,1699370922111
10668000,10669000,13,1699370947054,1304088,1699370922111
10669000,10670000,98,1699370934504,1692828,1699370922580
10669000,10670000,100,1699370945538,1419151,1699370922580
10669000,10670000,74,1699370946059,1502102,1699370922580
10669000,10670000,47,1699370946367,969112,1699370922580
10669000,10670000,63,1699370947078,1041217,1699370922580
10669000,10670000,24,1699370947023,1351348,1699370922580
10669000,10670000,54,1699370920559,1039750,1699370922580
10669000,10670000,13,1699370947569,1293054,1699370922580
10670000,10671000,98,1699370934821,1910588,1699370923102
10670000,10671000,100,1699370946124,1176551,1699370923102
10670000,10671000,74,1699370946529,1108959,1699370923102
10670000,10671000,47,1699370946886,968334,1699370923102
10670000,10671000,63,1699370947566,1065923,1699370923102
10670000,10671000,24,1699370947539,1230766,1699370923102
10670000,10671000,54,1699370921064,953165,1699370923102
10670000,10671000,13,1699370948070,1317426,1699370923102
