debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(16 bits),debs$absolute_v:INTEGER(64 bits),debs$absolute_a:INTEGER(64 bits),timestamp
10629000,10630000,98,1699366075515,7161971,1699366050141
10634000,10635000,47,1699366075397,1570131,1699366050144
10634000,10635000,24,1699366075458,1512939,1699366050144
10634000,10635000,54,1699366048825,1020575,1699366050144
10634000,10635000,63,1699366075480,1161884,1699366050144
10634000,10635000,100,1699366075501,1143537,1699366050144
10634000,10635000,13,1699366075517,1644585,1699366050144
10634000,10635000,74,1699366075540,877784,1699366050144
10635000,10636000,47,1699366075449,1397114,1699366050641
10635000,10636000,24,1699366075517,1472690,1699366050641
10635000,10636000,54,1699366048827,1451827,1699366050641
10635000,10636000,63,1699366075528,959861,1699366050641
10635000,10636000,100,1699366075551,1332218,1699366050641
10635000,10636000,13,1699366075569,1639658,1699366050641
10635000,10636000,98,1699366075521,1538652,1699366050641
10635000,10636000,74,1699366075571,977057,1699366050641
10636000,10637000,54,1699366048988,1973856,1699366051122
10636000,10637000,98,1699366075649,1077606,1699366051122
10636000,10637000,63,1699366075974,1122880,1699366051122
10636000,10637000,100,1699366076005,1123978,1699366051122
10636000,10637000,47,1699366075952,1429882,1699366051122
10636000,10637000,24,1699366075976,1176265,1699366051122
10636000,10637000,13,1699366076061,1612057,1699366051122
10636000,10637000,74,1699366076098,1421663,1699366051122
10637000,10638000,98,1699366076113,1652665,1699366051786
10637000,10638000,100,1699366076441,1557652,1699366051786
10637000,10638000,54,1699366049804,1200902,1699366051786
10637000,10638000,47,1699366076559,1666596,1699366051786
10637000,10638000,13,1699366076552,1593556,1699366051786
10637000,10638000,63,1699366076462,846640,1699366051786
10637000,10638000,24,1699366076539,1251157,1699366051786
10637000,10638000,74,1699366076598,1056880,1699366051786
10638000,10639000,98,1699366076164,1050798,1699366052332
10638000,10639000,54,1699366050326,1523892,1699366052332
10638000,10639000,13,1699366077086,1458542,1699366052332
10638000,10639000,100,1699366076893,1687778,1699366052332
10638000,10639000,47,1699366077014,2591388,1699366052332
10638000,10639000,74,1699366077075,1358175,1699366052332
10638000,10639000,63,1699366077050,942157,1699366052332
10638000,10639000,24,1699366077078,1075971,1699366052332
10639000,10640000,98,1699366076564,1826389,1699366052770
10639000,10640000,13,1699366077536,1376765,1699366052770
10639000,10640000,47,1699366077569,1227432,1699366052770
10639000,10640000,54,1699366050826,1165306,1699366052770
10639000,10640000,100,1699366077449,1744268,1699366052770
10639000,10640000,63,1699366077637,942537,1699366052770
10639000,10640000,74,1699366077568,1199554,1699366052770
10639000,10640000,24,1699366077779,977267,1699366052770
10640000,10641000,98,1699366076626,1458127,1699366053213
10640000,10641000,13,1699366078035,1425827,1699366053213
10640000,10641000,47,1699366078051,1325103,1699366053213
10640000,10641000,74,1699366078138,1038794,1699366053213
10640000,10641000,100,1699366078004,1428711,1699366053213
10640000,10641000,54,1699366051379,1291410,1699366053213
10640000,10641000,63,1699366078125,1016896,1699366053213
10640000,10641000,24,1699366078313,1246493,1699366053213
10641000,10642000,98,1699366077120,2798893,1699366053708
10641000,10642000,74,1699366078437,961513,1699366053708
10641000,10642000,13,1699366078519,1159956,1699366053708
10641000,10642000,47,1699366078491,1213207,1699366053708
10641000,10642000,54,1699366051909,1373879,1699366053708
10641000,10642000,100,1699366078494,1435432,1699366053708
10641000,10642000,63,1699366078661,1217813,1699366053708
10641000,10642000,24,1699366078749,1291202,1699366053708
10642000,10643000,98,1699366077596,1834168,1699366054195
10642000,10643000,13,1699366078963,1638414,1699366054195
10642000,10643000,74,1699366078782,1146873,1699366054195
10642000,10643000,54,1699366052357,1346353,1699366054195
10642000,10643000,100,1699366078953,1133019,1699366054195
10642000,10643000,47,1699366078987,1194939,1699366054195
10642000,10643000,24,1699366079173,1359141,1699366054195
10642000,10643000,63,1699366079162,1077260,1699366054195
10643000,10644000,13,1699366079428,1355292,1699366054768
10643000,10644000,47,1699366079556,1106459,1699366054768
10643000,10644000,24,1699366079559,1212340,1699366054768
10643000,10644000,100,1699366079433,1044543,1699366054768
10643000,10644000,54,1699366052824,1332230,1699366054768
10643000,10644000,74,1699366079488,1370877,1699366054768
10643000,10644000,63,1699366079686,944167,1699366054768
10644000,10645000,47,1699366079983,1306473,1699366055292
10644000,10645000,74,1699366080036,1163294,1699366055292
10644000,10645000,24,1699366080020,1278269,1699366055292
10644000,10645000,100,1699366079916,1160416,1699366055292
10644000,10645000,54,1699366053383,1434186,1699366055292
10644000,10645000,63,1699366080178,1102401,1699366055292
10644000,10645000,13,1699366080267,1441878,1699366055292
10645000,10646000,98,1699366078017,977676,1699366055767
10645000,10646000,100,1699366080133,984765,1699366055767
10645000,10646000,74,1699366080404,1230754,1699366055767
10645000,10646000,47,1699366080436,1123521,1699366055767
10645000,10646000,24,1699366080599,1790812,1699366055767
10645000,10646000,54,1699366053911,1849492,1699366055767
10645000,10646000,63,1699366080672,1178780,1699366055767
10645000,10646000,13,1699366080706,1327765,1699366055767
10646000,10647000,98,1699366078080,1328563,1699366056200
10646000,10647000,100,1699366080658,1326343,1699366056200
10646000,10647000,74,1699366080691,1133065,1699366056200
10646000,10647000,47,1699366080905,1083320,1699366056200
10646000,10647000,24,1699366081059,2044032,1699366056200
10646000,10647000,54,1699366054428,1304955,1699366056200
10646000,10647000,63,1699366081132,1055476,1699366056200
10646000,10647000,13,1699366081253,1319044,1699366056200
10647000,10648000,74,1699366081182,1163385,1699366056999
10647000,10648000,100,1699366081193,1265890,1699366056999
10647000,10648000,47,1699366081379,1298031,1699366056999
10647000,10648000,24,1699366081516,1790627,1699366056999
10647000,10648000,54,1699366054929,1392325,1699366056999
10647000,10648000,63,1699366081598,1005955,1699366056999
10647000,10648000,13,1699366081730,1235216,1699366056999
10648000,10649000,74,1699366081531,861096,1699366057532
10648000,10649000,100,1699366081731,1484844,1699366057532
10648000,10649000,47,1699366081825,965338,1699366057532
10648000,10649000,63,1699366082046,907283,1699366057532
10648000,10649000,54,1699366055418,1251860,1699366057532
10648000,10649000,13,1699366082243,1186298,1699366057532
10648000,10649000,24,1699366082323,1061613,1699366057532
10649000,10650000,98,1699366078133,1587938,1699366057956
10649000,10650000,74,1699366082105,914948,1699366057956
10649000,10650000,100,1699366082205,1067627,1699366057956
10649000,10650000,47,1699366082284,833204,1699366057956
10649000,10650000,63,1699366082505,1128411,1699366057956
10649000,10650000,54,1699366056002,1166485,1699366057956
10649000,10650000,13,1699366082835,1319500,1699366057956
