debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,24,1699457436199,1699457411431
10634000,10635000,47,1699457436205,1699457411431
10634000,10635000,100,1699457436212,1699457411431
10634000,10635000,13,1699457436270,1699457411431
10629000,10630000,98,1699457436243,1699457411441
10634000,10635000,74,1699457436227,1699457411443
10634000,10635000,63,1699457436256,1699457411443
10634000,10635000,54,1699457410753,1699457411443
10635000,10636000,74,1699457436247,1699457411713
10635000,10636000,98,1699457436250,1699457411713
10635000,10636000,63,1699457436277,1699457411713
10635000,10636000,54,1699457410757,1699457411713
10635000,10636000,24,1699457436221,1699457411728
10635000,10636000,47,1699457436229,1699457411728
10635000,10636000,100,1699457436232,1699457411728
10635000,10636000,13,1699457436291,1699457411728
10636000,10637000,24,1699457436529,1699457412029
10636000,10637000,100,1699457436533,1699457412029
10636000,10637000,47,1699457436539,1699457412029
10636000,10637000,13,1699457436597,1699457412029
10636000,10637000,98,1699457436294,1699457412041
10636000,10637000,54,1699457410823,1699457412041
10636000,10637000,74,1699457436554,1699457412041
10636000,10637000,63,1699457436579,1699457412041
10637000,10638000,24,1699457436838,1699457412331
10637000,10638000,100,1699457436835,1699457412331
10637000,10638000,47,1699457436844,1699457412331
10637000,10638000,13,1699457436905,1699457412331
10637000,10638000,98,1699457436570,1699457412339
10637000,10638000,74,1699457436860,1699457412339
10637000,10638000,63,1699457436881,1699457412339
10637000,10638000,54,1699457411356,1699457412339
10638000,10639000,24,1699457437134,1699457412631
10638000,10639000,100,1699457437135,1699457412631
10638000,10639000,47,1699457437158,1699457412631
10638000,10639000,13,1699457437212,1699457412631
10638000,10639000,98,1699457436589,1699457412640
10638000,10639000,74,1699457437168,1699457412640
10638000,10639000,63,1699457437186,1699457412640
10638000,10639000,54,1699457411659,1699457412640
10639000,10640000,24,1699457437438,1699457412929
10639000,10640000,100,1699457437434,1699457412929
10639000,10640000,47,1699457437467,1699457412929
