debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10629000,10630000,98,1699457951799,1699457926988
10634000,10635000,63,1699457951726,1699457926991
10634000,10635000,47,1699457951743,1699457926991
10634000,10635000,54,1699457926212,1699457926991
10634000,10635000,74,1699457951755,1699457926991
10634000,10635000,24,1699457951773,1699457926991
10634000,10635000,100,1699457951804,1699457926991
10634000,10635000,13,1699457951818,1699457926991
10635000,10636000,63,1699457951748,1699457927292
10635000,10636000,47,1699457951766,1699457927292
10635000,10636000,54,1699457926215,1699457927292
10635000,10636000,74,1699457951775,1699457927292
10635000,10636000,24,1699457951794,1699457927292
10635000,10636000,100,1699457951824,1699457927292
10635000,10636000,98,1699457951808,1699457927292
10635000,10636000,13,1699457951840,1699457927292
10636000,10637000,54,1699457926289,1699457927600
10636000,10637000,98,1699457951854,1699457927600
10636000,10637000,63,1699457952056,1699457927600
10636000,10637000,47,1699457952070,1699457927600
10636000,10637000,74,1699457952082,1699457927600
10636000,10637000,24,1699457952110,1699457927600
10636000,10637000,100,1699457952125,1699457927600
10636000,10637000,13,1699457952153,1699457927600
10637000,10638000,98,1699457952136,1699457927902
10637000,10638000,63,1699457952364,1699457927902
10637000,10638000,47,1699457952377,1699457927902
10637000,10638000,74,1699457952386,1699457927902
10637000,10638000,54,1699457926848,1699457927902
10637000,10638000,24,1699457952426,1699457927902
10637000,10638000,100,1699457952424,1699457927902
10637000,10638000,13,1699457952464,1699457927902
10638000,10639000,98,1699457952157,1699457928209
10638000,10639000,47,1699457952682,1699457928209
10638000,10639000,63,1699457952675,1699457928209
10638000,10639000,74,1699457952692,1699457928209
10638000,10639000,54,1699457927173,1699457928209
10638000,10639000,24,1699457952726,1699457928209
10638000,10639000,100,1699457952723,1699457928209
10638000,10639000,13,1699457952775,1699457928209
10639000,10640000,98,1699457952449,1699457928515
10639000,10640000,47,1699457952988,1699457928515
10639000,10640000,63,1699457952981,1699457928515
10639000,10640000,74,1699457952997,1699457928515
10639000,10640000,24,1699457953039,1699457928515
10639000,10640000,100,1699457953024,1699457928515
10639000,10640000,54,1699457927495,1699457928515
10639000,10640000,13,1699457953088,1699457928515
10640000,10641000,98,1699457952475,1699457928824
10640000,10641000,47,1699457953291,1699457928824
10640000,10641000,63,1699457953289,1699457928824
10640000,10641000,74,1699457953305,1699457928824
10640000,10641000,100,1699457953323,1699457928824
10640000,10641000,24,1699457953355,1699457928824
10640000,10641000,54,1699457927815,1699457928824
10640000,10641000,13,1699457953400,1699457928824
10641000,10642000,98,1699457952785,1699457929138
10641000,10642000,47,1699457953598,1699457929138
10641000,10642000,63,1699457953598,1699457929138
10641000,10642000,74,1699457953613,1699457929138
10641000,10642000,100,1699457953623,1699457929138
10641000,10642000,24,1699457953671,1699457929138
10641000,10642000,13,1699457953713,1699457929138
10641000,10642000,54,1699457928137,1699457929138
10642000,10643000,98,1699457953082,1699457929460
10642000,10643000,47,1699457953903,1699457929460
10642000,10643000,63,1699457953907,1699457929460
10642000,10643000,74,1699457953918,1699457929460
10642000,10643000,100,1699457953922,1699457929460
10642000,10643000,24,1699457953988,1699457929460
10642000,10643000,13,1699457954023,1699457929460
10642000,10643000,54,1699457928457,1699457929460
10643000,10644000,47,1699457954208,1699457930042
