debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10200000,10800000,54,1699529866578,1699529934250
10200000,10800000,74,1699529866587,1699529934250
10200000,10800000,63,1699529866595,1699529934250
10200000,10800000,98,1699529866619,1699529934250
10200000,10800000,100,1699529866538,1699529938105
10200000,10800000,13,1699529866550,1699529938105
10200000,10800000,24,1699529866561,1699529938105
10200000,10800000,47,1699529866573,1699529938105
10800000,11400000,98,1699529906359,1699530174368
10800000,11400000,74,1699529932257,1699530174368
10800000,11400000,54,1699529933451,1699530174368
10800000,11400000,63,1699529934069,1699530174368
10800000,11400000,100,1699529926122,1699530191645
10800000,11400000,47,1699529935483,1699530191645
10800000,11400000,24,1699529936598,1699530191645
10800000,11400000,13,1699529937941,1699530191645
11400000,12000000,98,1699530052389,1699530420318
11400000,12000000,63,1699530161924,1699530420318
11400000,12000000,74,1699530164225,1699530420318
11400000,12000000,54,1699530174181,1699530420318
11400000,12000000,100,1699530145275,1699530442381
11400000,12000000,24,1699530182109,1699530442381
11400000,12000000,47,1699530184805,1699530442381
11400000,12000000,13,1699530191460,1699530442381
