debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,98,1699546862901,1699546935892
10620000,10680000,100,1699546862861,1699547049209
10620000,10680000,54,1699546862854,1699547054312
10620000,10680000,74,1699546862917,1699547055365
10620000,10680000,63,1699546862884,1699547057494
10620000,10680000,47,1699546862936,1699547062589
10620000,10680000,24,1699546862946,1699547062952
10620000,10680000,13,1699546862873,1699547071168
10680000,10740000,98,1699546935843,1699547113364
10680000,10740000,100,1699547049157,1699547276588
10740000,10800000,98,1699547113326,1699547282414
10680000,10740000,74,1699547055312,1699547308000
10680000,10740000,54,1699547054270,1699547313419
10680000,10740000,63,1699547057454,1699547316518
10680000,10740000,47,1699547062528,1699547326619
10680000,10740000,24,1699547062894,1699547331658
10680000,10740000,13,1699547071126,1699547344930
10800000,10860000,98,1699547282353,1699547451468
