debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,98,1699545813337,1699546008055
10620000,10680000,54,1699545813362,1699546008055
10620000,10680000,74,1699545813379,1699546008055
10620000,10680000,63,1699545813399,1699546008055
10620000,10680000,47,1699545813353,1699546022389
10620000,10680000,100,1699545813370,1699546022389
10620000,10680000,24,1699545813389,1699546022389
10620000,10680000,13,1699545813388,1699546022389
10680000,10740000,98,1699545886367,1699546267138
10680000,10740000,54,1699546004509,1699546267138
10680000,10740000,74,1699546005805,1699546267138
10680000,10740000,63,1699546008013,1699546267138
10680000,10740000,100,1699545999339,1699546297084
10680000,10740000,47,1699546012973,1699546297084
10680000,10740000,24,1699546013350,1699546297084
10680000,10740000,13,1699546022343,1699546297084
