debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,24,1699552175923,1699552384180
10620000,10680000,54,1699552175931,1699552384180
10620000,10680000,47,1699552175942,1699552384180
10620000,10680000,100,1699552175950,1699552384180
10620000,10680000,63,1699552175976,1699552384180
10620000,10680000,13,1699552176003,1699552384180
10680000,10740000,100,1699552362000,1699552657821
10680000,10740000,54,1699552367372,1699552657821
10680000,10740000,63,1699552370598,1699552657821
10680000,10740000,24,1699552375494,1699552657821
10680000,10740000,47,1699552375630,1699552657821
10680000,10740000,13,1699552384138,1699552657821
