debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10629000,10630000,98,1699463999103,1699463999341
10634000,10635000,74,1699463999067,1699463999345
10634000,10635000,54,1699463999113,1699463999345
10634000,10635000,63,1699463999130,1699463999345
10634000,10635000,24,1699463999048,1699463999349
10634000,10635000,47,1699463999056,1699463999349
10634000,10635000,100,1699463999085,1699463999349
10634000,10635000,13,1699463999140,1699463999349
10635000,10636000,74,1699463999088,1699463999648
10635000,10636000,98,1699463999110,1699463999648
10635000,10636000,54,1699463999116,1699463999648
10635000,10636000,63,1699463999151,1699463999648
10635000,10636000,24,1699463999071,1699463999651
10635000,10636000,47,1699463999082,1699463999651
10635000,10636000,100,1699463999107,1699463999651
10635000,10636000,13,1699463999160,1699463999651
10636000,10637000,24,1699463999377,1699463999950
10636000,10637000,47,1699463999400,1699463999950
10636000,10637000,100,1699463999408,1699463999950
10636000,10637000,13,1699463999467,1699463999950
10636000,10637000,98,1699463999156,1699463999958
10636000,10637000,54,1699463999189,1699463999958
10636000,10637000,74,1699463999391,1699463999958
10636000,10637000,63,1699463999459,1699463999958
10637000,10638000,24,1699463999682,1699464000254
10637000,10638000,100,1699463999708,1699464000254
10637000,10638000,47,1699463999718,1699464000254
10637000,10638000,13,1699463999776,1699464000254
10637000,10638000,98,1699463999438,1699464000273
10637000,10638000,74,1699463999695,1699464000273
10637000,10638000,63,1699463999765,1699464000273
10637000,10638000,54,1699463999742,1699464000273
10638000,10639000,24,1699463999976,1699464000557
10638000,10639000,100,1699464000008,1699464000557
10638000,10639000,47,1699464000037,1699464000557
10638000,10639000,13,1699464000086,1699464000557
10638000,10639000,98,1699463999458,1699464000587
10638000,10639000,74,1699463999999,1699464000587
10638000,10639000,63,1699464000072,1699464000587
10638000,10639000,54,1699464000061,1699464000587
10639000,10640000,24,1699464000283,1699464000857
10639000,10640000,100,1699464000308,1699464000857
10639000,10640000,47,1699464000356,1699464000857
10639000,10640000,13,1699464000395,1699464000857
10639000,10640000,98,1699463999752,1699464000899
10639000,10640000,74,1699464000304,1699464000899
10639000,10640000,63,1699464000376,1699464000899
10639000,10640000,54,1699464000381,1699464000899
