debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10629000,10630000,98,1699464285962,1699464286213
10634000,10635000,54,1699464285905,1699464286216
10634000,10635000,47,1699464285931,1699464286216
10634000,10635000,74,1699464285942,1699464286216
10634000,10635000,24,1699464285952,1699464286216
10634000,10635000,63,1699464285981,1699464286216
10634000,10635000,100,1699464285990,1699464286216
10634000,10635000,13,1699464286001,1699464286216
10635000,10636000,54,1699464285907,1699464286517
10635000,10636000,47,1699464285955,1699464286517
10635000,10636000,74,1699464285962,1699464286517
10635000,10636000,24,1699464285975,1699464286517
10635000,10636000,98,1699464285969,1699464286517
10635000,10636000,63,1699464286001,1699464286517
10635000,10636000,100,1699464286011,1699464286517
10635000,10636000,13,1699464286023,1699464286517
10636000,10637000,54,1699464285976,1699464286823
10636000,10637000,98,1699464286014,1699464286823
10636000,10637000,47,1699464286264,1699464286823
10636000,10637000,74,1699464286267,1699464286823
10636000,10637000,24,1699464286289,1699464286823
10636000,10637000,63,1699464286307,1699464286823
10636000,10637000,100,1699464286314,1699464286823
10636000,10637000,13,1699464286335,1699464286823
10637000,10638000,98,1699464286291,1699464287127
10637000,10638000,54,1699464286498,1699464287127
10637000,10638000,47,1699464286573,1699464287127
10637000,10638000,74,1699464286572,1699464287127
10637000,10638000,24,1699464286601,1699464287127
10637000,10638000,63,1699464286611,1699464287127
10637000,10638000,100,1699464286619,1699464287127
10637000,10638000,13,1699464286646,1699464287127
10638000,10639000,98,1699464286311,1699464287432
10638000,10639000,54,1699464286806,1699464287432
10638000,10639000,47,1699464286883,1699464287432
10638000,10639000,74,1699464286878,1699464287432
10638000,10639000,24,1699464286899,1699464287432
10638000,10639000,63,1699464286915,1699464287432
10638000,10639000,100,1699464286922,1699464287432
10638000,10639000,13,1699464286957,1699464287432
10639000,10640000,98,1699464286599,1699464287738
10639000,10640000,54,1699464287113,1699464287738
10639000,10640000,47,1699464287191,1699464287738
10639000,10640000,74,1699464287182,1699464287738
10639000,10640000,24,1699464287212,1699464287738
10639000,10640000,63,1699464287219,1699464287738
10639000,10640000,100,1699464287224,1699464287738
10639000,10640000,13,1699464287269,1699464287738
10640000,10641000,98,1699464286623,1699464288043
10640000,10641000,54,1699464287414,1699464288043
10640000,10641000,47,1699464287502,1699464288043
10640000,10641000,74,1699464287488,1699464288043
10640000,10641000,24,1699464287524,1699464288043
10640000,10641000,63,1699464287524,1699464288043
10640000,10641000,100,1699464287530,1699464288043
10640000,10641000,13,1699464287580,1699464288043
10641000,10642000,98,1699464286927,1699464288346
10641000,10642000,54,1699464287718,1699464288346
