debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,63,1699533379208,1699533379414
10629000,10630000,98,1699533379217,1699533379426
10635000,10636000,98,1699533379224,1699533379427
10634000,10635000,100,1699533379226,1699533379434
10634000,10635000,13,1699533379246,1699533379460
10634000,10635000,54,1699533379256,1699533379462
10635000,10636000,54,1699533379259,1699533379464
10634000,10635000,74,1699533379274,1699533379481
10634000,10635000,47,1699533379293,1699533379498
10634000,10635000,24,1699533379301,1699533379512
10635000,10636000,63,1699533379228,1699533380613
10636000,10637000,98,1699533379268,1699533380628
10637000,10638000,98,1699533380443,1699533380629
10635000,10636000,100,1699533379247,1699533380635
10635000,10636000,13,1699533379269,1699533380666
10635000,10636000,74,1699533379295,1699533380683
10635000,10636000,47,1699533379318,1699533380698
10635000,10636000,24,1699533379324,1699533380714
10636000,10637000,63,1699533380430,1699533381813
10638000,10639000,98,1699533380463,1699533381832
10639000,10640000,98,1699533381649,1699533381834
10636000,10637000,100,1699533380448,1699533381837
10636000,10637000,54,1699533379326,1699533381864
10636000,10637000,13,1699533380484,1699533381872
10636000,10637000,74,1699533380498,1699533381887
10636000,10637000,47,1699533380523,1699533381898
10636000,10637000,24,1699533380533,1699533381920
10637000,10638000,63,1699533381632,1699533383013
10640000,10641000,98,1699533381672,1699533383036
10637000,10638000,100,1699533381648,1699533383040
10637000,10638000,54,1699533381660,1699533383066
10637000,10638000,13,1699533381697,1699533383081
10637000,10638000,74,1699533381703,1699533383090
10637000,10638000,47,1699533381725,1699533383096
10637000,10638000,24,1699533381743,1699533383127
10638000,10639000,63,1699533382834,1699533384214
10641000,10642000,98,1699533382874,1699533384241
10638000,10639000,100,1699533382849,1699533384242
10638000,10639000,54,1699533382867,1699533384266
10638000,10639000,13,1699533382911,1699533384288
10638000,10639000,74,1699533382907,1699533384291
10638000,10639000,47,1699533382927,1699533384296
10638000,10639000,24,1699533382943,1699533384332
10639000,10640000,63,1699533384035,1699533385413
10639000,10640000,100,1699533384049,1699533385443
10642000,10643000,98,1699533384069,1699533385447
10645000,10646000,98,1699533385236,1699533385449
10646000,10647000,98,1699533385258,1699533385450
10639000,10640000,54,1699533384074,1699533385466
10639000,10640000,74,1699533384109,1699533385494
10639000,10640000,13,1699533384125,1699533385496
10639000,10640000,47,1699533384130,1699533385498
10639000,10640000,24,1699533384153,1699533385538
10640000,10641000,63,1699533385237,1699533386613
10640000,10641000,100,1699533385249,1699533386646
10649000,10650000,98,1699533385271,1699533386652
10650000,10651000,98,1699533386455,1699533386654
10640000,10641000,54,1699533385276,1699533386666
10640000,10641000,74,1699533385312,1699533386695
10640000,10641000,47,1699533385333,1699533386697
10640000,10641000,13,1699533385339,1699533386702
10640000,10641000,24,1699533385365,1699533386746
10641000,10642000,63,1699533386438,1699533387813
10641000,10642000,100,1699533386450,1699533387848
10653000,10654000,98,1699533386471,1699533387856
10654000,10655000,98,1699533387664,1699533387858
10641000,10642000,54,1699533386479,1699533387867
10641000,10642000,47,1699533386537,1699533387897
10641000,10642000,74,1699533386514,1699533387899
10641000,10642000,13,1699533386553,1699533387911
10641000,10642000,24,1699533386578,1699533387951
10642000,10643000,63,1699533387639,1699533389012
10642000,10643000,100,1699533387649,1699533389052
10655000,10656000,98,1699533387712,1699533389061
10642000,10643000,54,1699533387681,1699533389069
10642000,10643000,47,1699533387740,1699533389097
10642000,10643000,74,1699533387717,1699533389100
10642000,10643000,13,1699533387767,1699533389119
10642000,10643000,24,1699533387788,1699533389152
10643000,10644000,63,1699533388840,1699533390214
10643000,10644000,100,1699533388846,1699533390256
10644000,10645000,100,1699533390046,1699533390258
10656000,10657000,98,1699533388915,1699533390268
10643000,10644000,54,1699533388885,1699533390270
10643000,10644000,47,1699533388943,1699533390297
10643000,10644000,74,1699533388919,1699533390301
10643000,10644000,24,1699533388995,1699533390356
10644000,10645000,63,1699533390042,1699533391413
10645000,10646000,100,1699533390120,1699533391458
10644000,10645000,54,1699533390089,1699533391470
10657000,10658000,98,1699533390090,1699533391472
10658000,10659000,98,1699533391278,1699533391473
10659000,10660000,98,1699533391282,1699533391474
10661000,10662000,98,1699533391294,1699533391475
10644000,10645000,47,1699533390146,1699533391497
10644000,10645000,74,1699533390119,1699533391502
10643000,10644000,13,1699533388982,1699533391535
10644000,10645000,24,1699533390203,1699533391562
10645000,10646000,63,1699533391244,1699533392613
10646000,10647000,100,1699533391321,1699533392660
10645000,10646000,54,1699533391292,1699533392670
10662000,10663000,98,1699533391323,1699533392677
10665000,10666000,98,1699533392478,1699533392678
10645000,10646000,47,1699533391348,1699533392696
10645000,10646000,74,1699533391323,1699533392703
10644000,10645000,13,1699533391335,1699533392743
10645000,10646000,24,1699533391415,1699533392767
10646000,10647000,63,1699533392445,1699533393812
10647000,10648000,100,1699533392521,1699533393863
10646000,10647000,54,1699533392494,1699533393870
10666000,10667000,98,1699533392511,1699533393883
10667000,10668000,98,1699533393708,1699533393884
10668000,10669000,98,1699533393727,1699533393885
10646000,10647000,47,1699533392551,1699533393897
10646000,10647000,74,1699533392524,1699533393906
10645000,10646000,13,1699533392551,1699533393951
10646000,10647000,24,1699533392625,1699533393974
10647000,10648000,63,1699533393647,1699533395013
10648000,10649000,100,1699533393722,1699533395068
10647000,10648000,54,1699533393696,1699533395070
10669000,10670000,98,1699533393746,1699533395087
10647000,10648000,47,1699533393755,1699533395097
10647000,10648000,74,1699533393728,1699533395108
10646000,10647000,13,1699533393766,1699533395160
10648000,10649000,63,1699533394848,1699533396214
10648000,10649000,54,1699533394899,1699533396271
10649000,10650000,100,1699533394925,1699533396273
10670000,10671000,98,1699533394940,1699533396292
10648000,10649000,47,1699533394958,1699533396298
10648000,10649000,74,1699533394929,1699533396311
10647000,10648000,13,1699533394979,1699533396367
10647000,10648000,24,1699533393837,1699533396385
10649000,10650000,63,1699533396050,1699533397416
10649000,10650000,54,1699533396101,1699533397469
10650000,10651000,100,1699533396129,1699533397476
10649000,10650000,47,1699533396162,1699533397497
10671000,10672000,98,1699533396135,1699533397499
10672000,10673000,98,1699533397290,1699533397500
10675000,10676000,98,1699533397325,1699533397502
10649000,10650000,74,1699533396133,1699533397514
10648000,10649000,13,1699533396194,1699533397575
10648000,10649000,24,1699533396183,1699533397591
10650000,10651000,63,1699533397252,1699533398617
10650000,10651000,54,1699533397301,1699533398670
10651000,10652000,100,1699533397331,1699533398679
10650000,10651000,47,1699533397364,1699533398698
10676000,10677000,98,1699533397350,1699533398704
10677000,10678000,98,1699533398505,1699533398705
10650000,10651000,74,1699533397337,1699533398713
10649000,10650000,13,1699533397408,1699533398784
10649000,10650000,24,1699533397397,1699533398798
10651000,10652000,63,1699533398456,1699533399818
10651000,10652000,54,1699533398505,1699533399871
10652000,10653000,100,1699533398532,1699533399880
10678000,10679000,98,1699533398532,1699533399909
10679000,10680000,98,1699533399708,1699533399911
10651000,10652000,74,1699533398536,1699533399915
10650000,10651000,13,1699533398623,1699533399991
10650000,10651000,24,1699533398610,1699533400002
10652000,10653000,63,1699533399660,1699533401021
10652000,10653000,54,1699533399708,1699533401073
10653000,10654000,100,1699533399732,1699533401083
10651000,10652000,47,1699533398567,1699533401100
10682000,10683000,98,1699533399730,1699533401114
10652000,10653000,74,1699533399739,1699533401117
10651000,10652000,13,1699533399837,1699533401199
10651000,10652000,24,1699533399820,1699533401210
10653000,10654000,63,1699533400863,1699533402222
10653000,10654000,54,1699533400913,1699533402273
10654000,10655000,100,1699533400933,1699533402284
10652000,10653000,47,1699533400898,1699533402300
10653000,10654000,74,1699533400941,1699533402319
10683000,10684000,98,1699533400913,1699533402321
10652000,10653000,13,1699533401051,1699533402407
10652000,10653000,24,1699533401014,1699533402415
10654000,10655000,63,1699533402065,1699533403424
10654000,10655000,54,1699533402114,1699533403473
10655000,10656000,100,1699533402132,1699533403486
10653000,10654000,47,1699533402107,1699533403500
10654000,10655000,74,1699533402144,1699533403522
10684000,10685000,98,1699533402115,1699533403524
10685000,10686000,98,1699533403317,1699533403526
10687000,10688000,98,1699533403328,1699533403528
10653000,10654000,24,1699533402225,1699533403622
10655000,10656000,63,1699533403269,1699533404624
10655000,10656000,54,1699533403318,1699533404674
10656000,10657000,100,1699533403333,1699533404688
10654000,10655000,47,1699533403312,1699533404700
10655000,10656000,74,1699533403347,1699533404723
10688000,10689000,98,1699533403375,1699533404729
10689000,10690000,98,1699533404579,1699533404731
10653000,10654000,13,1699533402265,1699533404823
10654000,10655000,24,1699533403437,1699533404827
10656000,10657000,63,1699533404471,1699533405825
10656000,10657000,54,1699533404521,1699533405874
10657000,10658000,100,1699533404533,1699533405891
10655000,10656000,47,1699533404514,1699533405900
10656000,10657000,74,1699533404549,1699533405926
10690000,10691000,98,1699533404580,1699533405935
10691000,10692000,98,1699533405749,1699533405936
10654000,10655000,13,1699533404613,1699533406032
10655000,10656000,24,1699533404647,1699533406034
10657000,10658000,63,1699533405673,1699533407026
10657000,10658000,54,1699533405723,1699533407075
10658000,10659000,100,1699533405734,1699533407092
10656000,10657000,47,1699533405718,1699533407100
10657000,10658000,74,1699533405752,1699533407128
10694000,10695000,98,1699533405773,1699533407140
10655000,10656000,13,1699533405835,1699533407240
10656000,10657000,24,1699533405859,1699533407242
10658000,10659000,63,1699533406875,1699533408227
10658000,10659000,54,1699533406926,1699533408278
10659000,10660000,100,1699533406933,1699533408291
10657000,10658000,47,1699533406920,1699533408300
10658000,10659000,74,1699533406954,1699533408332
10695000,10696000,98,1699533406967,1699533408345
10696000,10697000,98,1699533408171,1699533408347
10657000,10658000,24,1699533407071,1699533408447
10656000,10657000,13,1699533407049,1699533408449
10659000,10660000,63,1699533408078,1699533409429
10659000,10660000,54,1699533408131,1699533409479
10660000,10661000,100,1699533408131,1699533409492
10658000,10659000,47,1699533408122,1699533409500
10659000,10660000,74,1699533408158,1699533409534
10697000,10698000,98,1699533408201,1699533409551
10698000,10699000,98,1699533409358,1699533409552
10657000,10658000,13,1699533408264,1699533409655
10658000,10659000,24,1699533408282,1699533409657
10660000,10661000,63,1699533409281,1699533410629
10660000,10661000,54,1699533409283,1699533410678
10661000,10662000,100,1699533409330,1699533410695
10659000,10660000,47,1699533409326,1699533410700
10660000,10661000,74,1699533409362,1699533410735
10699000,10700000,98,1699533409370,1699533410755
10659000,10660000,24,1699533409468,1699533410863
10658000,10659000,13,1699533409477,1699533410865
10661000,10662000,63,1699533410483,1699533411829
10661000,10662000,54,1699533410483,1699533411879
10662000,10663000,100,1699533410531,1699533411896
10660000,10661000,47,1699533410530,1699533411900
10661000,10662000,74,1699533410563,1699533411938
10700000,10701000,98,1699533410559,1699533411960
10701000,10702000,98,1699533411761,1699533411961
10660000,10661000,24,1699533410680,1699533412067
10659000,10660000,13,1699533410692,1699533412071
10662000,10663000,63,1699533411684,1699533413029
10662000,10663000,54,1699533411686,1699533413081
10663000,10664000,100,1699533411731,1699533413099
10661000,10662000,47,1699533411732,1699533413101
10662000,10663000,74,1699533411767,1699533413140
10702000,10703000,98,1699533411818,1699533413164
10661000,10662000,24,1699533411891,1699533413274
10660000,10661000,13,1699533411906,1699533413279
10663000,10664000,63,1699533412885,1699533414229
10663000,10664000,54,1699533412892,1699533414283
10664000,10665000,100,1699533412932,1699533414301
10662000,10663000,47,1699533412935,1699533414303
10663000,10664000,74,1699533412969,1699533414343
