debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10629000,10630000,98,1699537792894,1699537793016
10634000,10635000,63,1699537792903,1699537793020
10634000,10635000,74,1699537792943,1699537793020
10634000,10635000,54,1699537792955,1699537793020
10634000,10635000,47,1699537792915,1699537794032
10634000,10635000,13,1699537792924,1699537794032
10634000,10635000,100,1699537792963,1699537794032
10634000,10635000,24,1699537792984,1699537794032
10635000,10636000,98,1699537792901,1699537797234
10635000,10636000,63,1699537792923,1699537797234
10635000,10636000,74,1699537792964,1699537797234
10635000,10636000,54,1699537792958,1699537797234
10635000,10636000,13,1699537792947,1699537798332
10635000,10636000,100,1699537792986,1699537798332
10635000,10636000,24,1699537793005,1699537798332
10635000,10636000,47,1699537793972,1699537798332
10636000,10637000,98,1699537795027,1699537802489
10636000,10637000,54,1699537796146,1699537802489
10636000,10637000,63,1699537797160,1699537802489
10636000,10637000,74,1699537797194,1699537802489
10636000,10637000,100,1699537797217,1699537802562
10636000,10637000,47,1699537798204,1699537802562
10636000,10637000,13,1699537798220,1699537802562
10636000,10637000,24,1699537798280,1699537802562
10637000,10638000,98,1699537798175,1699537806722
10637000,10638000,74,1699537801420,1699537806722
10637000,10638000,54,1699537801415,1699537806722
10637000,10638000,63,1699537802427,1699537806722
10637000,10638000,100,1699537801446,1699537807776
10637000,10638000,47,1699537802436,1699537807776
10637000,10638000,13,1699537802452,1699537807776
10637000,10638000,24,1699537802517,1699537807776
10638000,10639000,98,1699537799239,1699537810955
10638000,10639000,74,1699537805645,1699537810955
10638000,10639000,54,1699537805653,1699537810955
10638000,10639000,63,1699537806662,1699537810955
10638000,10639000,100,1699537805677,1699537812003
10638000,10639000,47,1699537806663,1699537812003
10638000,10639000,24,1699537806735,1699537812003
10638000,10639000,13,1699537807714,1699537812003
10639000,10640000,98,1699537802407,1699537815192
10639000,10640000,74,1699537809874,1699537815192
10639000,10640000,54,1699537809890,1699537815192
10639000,10640000,63,1699537810899,1699537815192
10639000,10640000,100,1699537809907,1699537816227
10639000,10640000,47,1699537810893,1699537816227
10639000,10640000,24,1699537810972,1699537816227
10639000,10640000,13,1699537811956,1699537816227
10640000,10641000,98,1699537803477,1699537819426
10640000,10641000,54,1699537814123,1699537819426
10640000,10641000,74,1699537815129,1699537819426
10640000,10641000,63,1699537815139,1699537819426
10640000,10641000,100,1699537814135,1699537821507
10640000,10641000,47,1699537815125,1699537821507
10640000,10641000,24,1699537815209,1699537821507
10640000,10641000,13,1699537816186,1699537821507
10641000,10642000,98,1699537807708,1699537823659
10641000,10642000,54,1699537818353,1699537823659
10641000,10642000,74,1699537819355,1699537823659
10641000,10642000,63,1699537819374,1699537823659
10641000,10642000,100,1699537818365,1699537825732
10641000,10642000,47,1699537820388,1699537825732
10641000,10642000,24,1699537820476,1699537825732
10641000,10642000,13,1699537821452,1699537825732
10642000,10643000,98,1699537810887,1699537827897
10642000,10643000,54,1699537822589,1699537827897
10642000,10643000,74,1699537823580,1699537827897
10642000,10643000,63,1699537823611,1699537827897
10642000,10643000,100,1699537822593,1699537829959
10642000,10643000,47,1699537824624,1699537829959
10642000,10643000,24,1699537824714,1699537829959
10642000,10643000,13,1699537825686,1699537829959
10643000,10644000,54,1699537826824,1699537832154
10643000,10644000,74,1699537827808,1699537832154
10643000,10644000,63,1699537827850,1699537832154
10643000,10644000,100,1699537826818,1699537835244
10643000,10644000,47,1699537828853,1699537835244
10643000,10644000,24,1699537828951,1699537835244
10643000,10644000,13,1699537829920,1699537835244
10644000,10645000,74,1699537832032,1699537836380
10644000,10645000,63,1699537832086,1699537836380
10644000,10645000,54,1699537832091,1699537836380
10644000,10645000,100,1699537831046,1699537839470
10644000,10645000,47,1699537833087,1699537839470
10644000,10645000,24,1699537833185,1699537839470
10644000,10645000,13,1699537835193,1699537839470
10645000,10646000,98,1699537814036,1699537840614
10645000,10646000,74,1699537836260,1699537840614
10645000,10646000,63,1699537836324,1699537840614
10645000,10646000,54,1699537836325,1699537840614
10645000,10646000,100,1699537834244,1699537844756
10645000,10646000,47,1699537837318,1699537844756
10645000,10646000,24,1699537838461,1699537844756
10645000,10646000,13,1699537839425,1699537844756
10646000,10647000,98,1699537814058,1699537844843
10646000,10647000,74,1699537840485,1699537844843
10646000,10647000,63,1699537840561,1699537844843
10646000,10647000,54,1699537840564,1699537844843
10646000,10647000,100,1699537838474,1699537848979
10646000,10647000,47,1699537842581,1699537848979
10646000,10647000,24,1699537842695,1699537848979
10646000,10647000,13,1699537844693,1699537848979
10647000,10648000,74,1699537844713,1699537849075
10647000,10648000,63,1699537844797,1699537849075
10647000,10648000,54,1699537844796,1699537849075
10647000,10648000,100,1699537842704,1699537853203
10647000,10648000,47,1699537846818,1699537853203
10647000,10648000,24,1699537846931,1699537853203
10647000,10648000,13,1699537848932,1699537853203
10648000,10649000,74,1699537848938,1699537854363
10648000,10649000,63,1699537849032,1699537854363
10648000,10649000,54,1699537849030,1699537854363
10648000,10649000,100,1699537846934,1699537858479
10648000,10649000,47,1699537851051,1699537858479
10648000,10649000,24,1699537852202,1699537858479
10648000,10649000,13,1699537853162,1699537858479
10649000,10650000,98,1699537815111,1699537858597
10649000,10650000,74,1699537853160,1699537858597
10649000,10650000,54,1699537853262,1699537858597
10649000,10650000,63,1699537854301,1699537858597
10649000,10650000,100,1699537851165,1699537862707
10649000,10650000,47,1699537855282,1699537862707
10649000,10650000,24,1699537856439,1699537862707
10649000,10650000,13,1699537858424,1699537862707
10650000,10651000,98,1699537818279,1699537862833
10650000,10651000,74,1699537857386,1699537862833
10650000,10651000,54,1699537857496,1699537862833
10650000,10651000,63,1699537858540,1699537862833
10650000,10651000,100,1699537855395,1699537866934
10650000,10651000,47,1699537859513,1699537866934
10650000,10651000,24,1699537860675,1699537866934
10650000,10651000,13,1699537862661,1699537866934
10651000,10652000,74,1699537861613,1699537867069
10651000,10652000,54,1699537862761,1699537867069
10651000,10652000,63,1699537862781,1699537867069
10652000,10653000,74,1699537865837,1699537871304
10652000,10653000,54,1699537866997,1699537871304
10652000,10653000,63,1699537867017,1699537871304
10651000,10652000,100,1699537859624,1699537872215
10651000,10652000,47,1699537863745,1699537872215
10651000,10652000,24,1699537865948,1699537872215
10651000,10652000,13,1699537866894,1699537872215
10653000,10654000,98,1699537819334,1699537875538
10653000,10654000,74,1699537870063,1699537875538
10653000,10654000,54,1699537871234,1699537875538
10653000,10654000,63,1699537871255,1699537875538
10652000,10653000,100,1699537863851,1699537876443
10652000,10653000,47,1699537869012,1699537876443
10652000,10653000,24,1699537869128,1699537876443
10652000,10653000,13,1699537872165,1699537876443
10654000,10655000,98,1699537822515,1699537879775
10654000,10655000,74,1699537874291,1699537879775
10654000,10655000,54,1699537875471,1699537879775
10654000,10655000,63,1699537875492,1699537879775
10653000,10654000,100,1699537868079,1699537881725
10653000,10654000,47,1699537873245,1699537881725
10653000,10654000,24,1699537873364,1699537881725
10653000,10654000,13,1699537876399,1699537881725
10655000,10656000,98,1699537825684,1699537884010
10655000,10656000,74,1699537878515,1699537884010
10655000,10656000,54,1699537879704,1699537884010
10655000,10656000,63,1699537879730,1699537884010
10654000,10655000,100,1699537872306,1699537885948
10654000,10655000,47,1699537877475,1699537885948
10654000,10655000,24,1699537878632,1699537885948
10654000,10655000,13,1699537881663,1699537885948
10656000,10657000,98,1699537829913,1699537888243
10656000,10657000,74,1699537882744,1699537888243
10656000,10657000,54,1699537883933,1699537888243
10656000,10657000,63,1699537883966,1699537888243
10655000,10656000,100,1699537875505,1699537890175
10655000,10656000,47,1699537881706,1699537890175
10655000,10656000,24,1699537882874,1699537890175
10655000,10656000,13,1699537885898,1699537890175
10657000,10658000,98,1699537832031,1699537892475
10657000,10658000,74,1699537886970,1699537892475
10657000,10658000,54,1699537888162,1699537892475
10657000,10658000,63,1699537888200,1699537892475
10656000,10657000,100,1699537879732,1699537895460
10656000,10657000,47,1699537885941,1699537895460
10656000,10657000,24,1699537887106,1699537895460
10656000,10657000,13,1699537890134,1699537895460
10658000,10659000,98,1699537835201,1699537897727
10658000,10659000,74,1699537891194,1699537897727
10658000,10659000,54,1699537892398,1699537897727
10658000,10659000,63,1699537892434,1699537897727
10657000,10658000,100,1699537883963,1699537899688
10657000,10658000,47,1699537890173,1699537899688
10657000,10658000,24,1699537891344,1699537899688
10657000,10658000,13,1699537895404,1699537899688
10659000,10660000,98,1699537835205,1699537902003
10659000,10660000,74,1699537895412,1699537902003
10659000,10660000,63,1699537896669,1699537902003
10659000,10660000,54,1699537897667,1699537902003
10658000,10659000,100,1699537888192,1699537903915
10658000,10659000,47,1699537895438,1699537903915
10658000,10659000,24,1699537896621,1699537903915
10658000,10659000,13,1699537899643,1699537903915
10660000,10661000,54,1699537898730,1699537906236
10660000,10661000,74,1699537899638,1699537906236
10660000,10661000,63,1699537901941,1699537906236
10659000,10660000,100,1699537892423,1699537909195
10659000,10660000,24,1699537898748,1699537909195
10659000,10660000,47,1699537899671,1699537909195
10659000,10660000,13,1699537903876,1699537909195
10661000,10662000,98,1699537836255,1699537910472
10661000,10662000,54,1699537902961,1699537910472
10661000,10662000,74,1699537903859,1699537910472
10661000,10662000,63,1699537906178,1699537910472
