debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10629000,10630000,98,1699540063781,1699540063843
10634000,10635000,63,1699540063685,1699540064823
10634000,10635000,47,1699540063704,1699540064823
10634000,10635000,54,1699540063714,1699540064823
10634000,10635000,24,1699540063724,1699540064823
10634000,10635000,74,1699540063748,1699540064823
10634000,10635000,100,1699540063758,1699540064823
10634000,10635000,13,1699540063771,1699540064823
10635000,10636000,63,1699540063706,1699540069119
10635000,10636000,54,1699540063718,1699540069119
10635000,10636000,24,1699540063747,1699540069119
10635000,10636000,74,1699540063769,1699540069119
10635000,10636000,100,1699540063780,1699540069119
10635000,10636000,13,1699540063792,1699540069119
10635000,10636000,98,1699540063788,1699540069119
10635000,10636000,47,1699540064762,1699540069119
10636000,10637000,98,1699540065914,1699540073354
10636000,10637000,54,1699540066913,1699540073354
10636000,10637000,63,1699540067934,1699540073354
10636000,10637000,74,1699540068002,1699540073354
10636000,10637000,100,1699540068002,1699540073354
10636000,10637000,47,1699540069001,1699540073354
10636000,10637000,24,1699540069021,1699540073354
10636000,10637000,13,1699540069069,1699540073354
10637000,10638000,98,1699540069064,1699540078644
10637000,10638000,54,1699540072175,1699540078644
10637000,10638000,100,1699540072225,1699540078644
10637000,10638000,74,1699540072234,1699540078644
10637000,10638000,63,1699540073192,1699540078644
10637000,10638000,47,1699540073236,1699540078644
10637000,10638000,24,1699540073258,1699540078644
10637000,10638000,13,1699540073311,1699540078644
10638000,10639000,98,1699540070126,1699540082876
10638000,10639000,54,1699540076413,1699540082876
10638000,10639000,100,1699540076450,1699540082876
10638000,10639000,74,1699540076467,1699540082876
10638000,10639000,63,1699540077421,1699540082876
10638000,10639000,47,1699540077471,1699540082876
10638000,10639000,24,1699540077476,1699540082876
10638000,10639000,13,1699540078582,1699540082876
10639000,10640000,98,1699540073295,1699540087108
10639000,10640000,54,1699540080650,1699540087108
10639000,10640000,100,1699540080675,1699540087108
10639000,10640000,74,1699540080698,1699540087108
10639000,10640000,63,1699540081650,1699540087108
10639000,10640000,47,1699540081705,1699540087108
10639000,10640000,24,1699540081714,1699540087108
10639000,10640000,13,1699540082828,1699540087108
10640000,10641000,98,1699540074363,1699540092395
10640000,10641000,54,1699540084884,1699540092395
10640000,10641000,100,1699540084902,1699540092395
10640000,10641000,63,1699540085881,1699540092395
10640000,10641000,47,1699540085942,1699540092395
10640000,10641000,24,1699540085949,1699540092395
10640000,10641000,74,1699540085966,1699540092395
10640000,10641000,13,1699540087066,1699540092395
10641000,10642000,98,1699540078589,1699540096631
10641000,10642000,54,1699540089119,1699540096631
10641000,10642000,100,1699540089125,1699540096631
10641000,10642000,63,1699540090106,1699540096631
10641000,10642000,74,1699540090200,1699540096631
10641000,10642000,47,1699540091211,1699540096631
10641000,10642000,24,1699540091214,1699540096631
10641000,10642000,13,1699540092339,1699540096631
10642000,10643000,98,1699540081768,1699540100863
10642000,10643000,54,1699540093349,1699540100863
10642000,10643000,100,1699540093344,1699540100863
10642000,10643000,63,1699540094331,1699540100863
10642000,10643000,74,1699540094431,1699540100863
10642000,10643000,47,1699540095450,1699540100863
10642000,10643000,24,1699540095455,1699540100863
10642000,10643000,13,1699540096585,1699540100863
10643000,10644000,100,1699540097563,1699540106152
10643000,10644000,54,1699540097583,1699540106152
10643000,10644000,63,1699540098561,1699540106152
10643000,10644000,74,1699540098664,1699540106152
10643000,10644000,24,1699540099688,1699540106152
10643000,10644000,47,1699540099685,1699540106152
10643000,10644000,13,1699540100823,1699540106152
