debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,54,1699621063338,1699621075587
10620000,10680000,63,1699621063348,1699621075587
10620000,10680000,24,1699621063314,1699621075612
10620000,10680000,47,1699621063330,1699621075612
10620000,10680000,100,1699621063367,1699621076089
10620000,10680000,13,1699621063385,1699621076089
10680000,10740000,63,1699621075580,1699621092040
10680000,10740000,54,1699621075569,1699621092040
10680000,10740000,47,1699621075321,1699621092149
10680000,10740000,24,1699621075606,1699621092149
10680000,10740000,100,1699621075459,1699621092696
10680000,10740000,13,1699621076083,1699621092696
10740000,10800000,47,1699621091218,1699621108526
10740000,10800000,24,1699621092144,1699621108526
10740000,10800000,63,1699621091780,1699621108632
10740000,10800000,54,1699621092034,1699621108632
10740000,10800000,100,1699621090193,1699621109015
10740000,10800000,13,1699621092690,1699621109015
10800000,10860000,47,1699621106565,1699621124948
10800000,10860000,24,1699621108518,1699621124948
10800000,10860000,63,1699621107650,1699621125290
10800000,10860000,54,1699621108627,1699621125290
10800000,10860000,100,1699621103598,1699621125520
10800000,10860000,13,1699621109010,1699621125520
10860000,10920000,63,1699621123023,1699621141189
10860000,10920000,54,1699621125284,1699621141189
10860000,10920000,47,1699621121960,1699621141383
10860000,10920000,24,1699621124942,1699621141383
10860000,10920000,100,1699621118828,1699621142347
10860000,10920000,13,1699621125514,1699621142347
10920000,10980000,63,1699621138465,1699621156545
10920000,10980000,54,1699621141183,1699621156545
10920000,10980000,47,1699621137777,1699621158029
10920000,10980000,24,1699621141377,1699621158029
10920000,10980000,100,1699621133232,1699621158108
10920000,10980000,13,1699621142341,1699621158108
10980000,11040000,63,1699621153452,1699621172280
10980000,11040000,54,1699621156540,1699621172280
10980000,11040000,100,1699621148733,1699621174162
10980000,11040000,13,1699621158102,1699621174162
10980000,11040000,47,1699621153583,1699621174238
10980000,11040000,24,1699621158023,1699621174238
11040000,11100000,63,1699621169039,1699621187955
11040000,11100000,54,1699621172275,1699621187955
11040000,11100000,47,1699621169338,1699621190356
11040000,11100000,24,1699621174232,1699621190356
11040000,11100000,100,1699621163004,1699621190518
11040000,11100000,13,1699621174156,1699621190518
11100000,11160000,63,1699621183782,1699621203903
11100000,11160000,54,1699621187949,1699621203903
11100000,11160000,47,1699621185007,1699621206889
11100000,11160000,24,1699621190349,1699621206889
11100000,11160000,100,1699621177565,1699621207142
11100000,11160000,13,1699621190512,1699621207142
11160000,11220000,63,1699621199623,1699621218891
11160000,11220000,54,1699621203897,1699621218891
11160000,11220000,47,1699621201306,1699621220629
11160000,11220000,24,1699621206883,1699621220629
11160000,11220000,100,1699621189493,1699621223728
11160000,11220000,13,1699621207136,1699621223728
11220000,11280000,63,1699621213466,1699621233408
11220000,11280000,54,1699621218885,1699621233408
11220000,11280000,47,1699621216874,1699621235606
11220000,11280000,24,1699621220623,1699621235606
11220000,11280000,100,1699621204806,1699621238975
