debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1699609059638,1699609113171
10620000,10680000,54,1699609059602,1699609113743
10620000,10680000,63,1699609059583,1699609114976
10620000,10680000,24,1699609059592,1699609116264
10620000,10680000,47,1699609059564,1699609116553
10620000,10680000,13,1699609059620,1699609119146
10680000,10740000,100,1699609112968,1699609177360
10680000,10740000,54,1699609113576,1699609186888
10680000,10740000,63,1699609114793,1699609188155
10680000,10740000,47,1699609116365,1699609191440
10680000,10740000,24,1699609116083,1699609191952
10680000,10740000,13,1699609118968,1699609197825
10740000,10800000,100,1699609177219,1699609236688
10740000,10800000,63,1699609187986,1699609260148
10740000,10800000,54,1699609186731,1699609261226
10740000,10800000,47,1699609191296,1699609265117
10740000,10800000,24,1699609191811,1699609267638
10740000,10800000,13,1699609197623,1699609274076
10800000,10860000,100,1699609236546,1699609305710
10800000,10860000,63,1699609259974,1699609329732
10800000,10860000,54,1699609261046,1699609335576
10800000,10860000,47,1699609264939,1699609338788
10800000,10860000,24,1699609267506,1699609344511
10800000,10860000,13,1699609273904,1699609351531
10860000,10920000,100,1699609305525,1699609372319
10860000,10920000,63,1699609329557,1699609399311
10860000,10920000,54,1699609335384,1699609408710
10860000,10920000,47,1699609338590,1699609413669
10860000,10920000,24,1699609344331,1699609420193
10860000,10920000,13,1699609351379,1699609431416
10920000,10980000,100,1699609372143,1699609442564
10920000,10980000,63,1699609399156,1699609467690
10920000,10980000,54,1699609408572,1699609480651
10920000,10980000,47,1699609413498,1699609488552
10920000,10980000,24,1699609420039,1699609497082
10920000,10980000,13,1699609431228,1699609505250
10980000,11040000,100,1699609442362,1699609505534
10980000,11040000,63,1699609467509,1699609538469
10980000,11040000,54,1699609480498,1699609553779
10980000,11040000,47,1699609488404,1699609563448
11040000,11100000,100,1699609505341,1699609569725
10980000,11040000,24,1699609496930,1699609572755
10980000,11040000,13,1699609505083,1699609581503
11040000,11100000,63,1699609538270,1699609604464
11100000,11160000,100,1699609569546,1699609623010
11040000,11100000,54,1699609553647,1699609626922
11040000,11100000,47,1699609563306,1699609637115
11040000,11100000,24,1699609572565,1699609647232
11040000,11100000,13,1699609581303,1699609657760
