debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,24,1699610841561,1699610900902
10620000,10680000,47,1699610841577,1699610900902
10620000,10680000,100,1699610841587,1699610900902
10620000,10680000,54,1699610841606,1699610900902
10620000,10680000,13,1699610841615,1699610900902
10620000,10680000,63,1699610841635,1699610900902
10680000,10740000,100,1699610894455,1699610979273
10680000,10740000,54,1699610895767,1699610979273
10680000,10740000,63,1699610897022,1699610979273
10680000,10740000,47,1699610898025,1699610979273
10680000,10740000,24,1699610898255,1699610979273
10680000,10740000,13,1699610900727,1699610979273
10740000,10800000,100,1699610958217,1699611055229
10740000,10800000,54,1699610969131,1699611055229
10740000,10800000,63,1699610970462,1699611055229
10740000,10800000,47,1699610972481,1699611055229
10740000,10800000,24,1699610974229,1699611055229
10740000,10800000,13,1699610979076,1699611055229
10800000,10860000,100,1699611017103,1699611132385
10800000,10860000,63,1699611042682,1699611132385
10800000,10860000,54,1699611043667,1699611132385
10800000,10860000,47,1699611045667,1699611132385
10800000,10860000,24,1699611050182,1699611132385
10800000,10860000,13,1699611055062,1699611132385
10860000,10920000,100,1699611085555,1699611211963
10860000,10920000,63,1699611112493,1699611211963
10860000,10920000,54,1699611118209,1699611211963
10860000,10920000,47,1699611118876,1699611211963
10860000,10920000,24,1699611127274,1699611211963
10860000,10920000,13,1699611132235,1699611211963
10920000,10980000,100,1699611151615,1699611285501
10920000,10980000,63,1699611182334,1699611285501
10920000,10980000,54,1699611191621,1699611285501
10920000,10980000,47,1699611193327,1699611285501
10920000,10980000,24,1699611203242,1699611285501
10920000,10980000,13,1699611211780,1699611285501
10980000,11040000,100,1699611221254,1699611361452
10980000,11040000,63,1699611250909,1699611361452
10980000,11040000,54,1699611263763,1699611361452
10980000,11040000,47,1699611267817,1699611361452
10980000,11040000,24,1699611280400,1699611361452
10980000,11040000,13,1699611285337,1699611361452
11040000,11100000,100,1699611283700,1699611437405
11040000,11100000,63,1699611321899,1699611437405
11040000,11100000,54,1699611337135,1699611437405
11040000,11100000,47,1699611342279,1699611437405
11040000,11100000,24,1699611356294,1699611437405
11040000,11100000,13,1699611361257,1699611437405
