debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1699631261233,1699631314588
10620000,10680000,54,1699631261273,1699631315589
10620000,10680000,63,1699631261283,1699631316727
10620000,10680000,47,1699631261263,1699631318054
10620000,10680000,24,1699631261251,1699631318127
10620000,10680000,13,1699631261243,1699631320388
10680000,10740000,100,1699631314387,1699631378580
10680000,10740000,54,1699631315418,1699631388934
10680000,10740000,63,1699631316543,1699631389974
10680000,10740000,47,1699631317868,1699631392696
10680000,10740000,24,1699631317942,1699631394070
10680000,10740000,13,1699631320218,1699631398599
10740000,10800000,100,1699631378441,1699631437744
10740000,10800000,63,1699631389803,1699631462007
10740000,10800000,54,1699631388773,1699631463483
10740000,10800000,47,1699631392555,1699631466132
10740000,10800000,24,1699631393926,1699631470019
10740000,10800000,13,1699631398407,1699631474393
10800000,10860000,100,1699631437603,1699631506567
10800000,10860000,63,1699631461832,1699631531655
10800000,10860000,54,1699631463299,1699631538037
10800000,10860000,47,1699631465958,1699631539563
10800000,10860000,24,1699631469883,1699631547166
10800000,10860000,13,1699631474232,1699631551374
