debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1700040603586,1700040656621
10620000,10680000,54,1700040603548,1700040658206
10620000,10680000,63,1700040603508,1700040659124
10620000,10680000,47,1700040603516,1700040660238
10620000,10680000,24,1700040603536,1700040660821
10620000,10680000,13,1700040603526,1700040662830
10680000,10740000,100,1700040656403,1700040720216
10680000,10740000,54,1700040658003,1700040731961
10680000,10740000,63,1700040658911,1700040732563
10680000,10740000,47,1700040660029,1700040734744
10680000,10740000,24,1700040660603,1700040737269
10680000,10740000,13,1700040662633,1700040741189
10740000,10800000,100,1700040720056,1700040779004
10740000,10800000,63,1700040732363,1700040804802
10740000,10800000,54,1700040731768,1700040806904
10740000,10800000,47,1700040734577,1700040808039
10740000,10800000,24,1700040737094,1700040813697
10740000,10800000,13,1700040740968,1700040817128
10800000,10860000,100,1700040778842,1700040847388
10800000,10860000,63,1700040804598,1700040874634
10800000,10860000,47,1700040807840,1700040881336
10800000,10860000,54,1700040806688,1700040881853
10800000,10860000,24,1700040813531,1700040891352
10800000,10860000,13,1700040816937,1700040894273
