debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1700042070210,1700042138574
10620000,10680000,54,1700042070178,1700042140170
10620000,10680000,63,1700042070108,1700042141550
10620000,10680000,47,1700042070057,1700042142131
10620000,10680000,24,1700042070090,1700042143509
10620000,10680000,13,1700042070125,1700042145321
10680000,10740000,100,1700042137948,1700042220505
10680000,10740000,54,1700042139622,1700042234109
10680000,10740000,63,1700042140966,1700042234843
10680000,10740000,47,1700042141577,1700042236159
10680000,10740000,24,1700042143006,1700042239830
10680000,10740000,13,1700042144843,1700042243345
10740000,10800000,100,1700042220208,1700042295433
10740000,10800000,63,1700042234248,1700042326098
10740000,10800000,47,1700042235667,1700042328696
10740000,10800000,54,1700042233547,1700042329304
10740000,10800000,24,1700042239406,1700042334859
10740000,10800000,13,1700042242745,1700042339367
