debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,63,1699874624318,1699874654696
10620000,10680000,100,1699874624266,1699874654696
10620000,10680000,47,1699874624305,1699874654696
10620000,10680000,13,1699874624289,1699874654696
10620000,10680000,54,1699874624312,1699874654696
10620000,10680000,24,1699874624297,1699874654696
10680000,10740000,100,1699874651190,1699874694548
10680000,10740000,54,1699874652685,1699874694548
10680000,10740000,24,1699874652953,1699874694548
10680000,10740000,47,1699874653236,1699874694548
10680000,10740000,13,1699874654262,1699874694548
10680000,10740000,63,1699874650984,1699874694548
10740000,10800000,100,1699874683149,1699874731773
10740000,10800000,63,1699874688186,1699874731773
10740000,10800000,54,1699874691608,1699874731773
10740000,10800000,24,1699874691860,1699874731773
10740000,10800000,47,1699874690513,1699874731773
10740000,10800000,13,1699874694240,1699874731773
10800000,10860000,100,1699874712581,1699874771537
10800000,10860000,63,1699874723031,1699874771537
10800000,10860000,54,1699874728883,1699874771537
10800000,10860000,47,1699874726655,1699874771537
10800000,10860000,13,1699874731266,1699874771537
10800000,10860000,24,1699874731231,1699874771537
10860000,10920000,100,1699874747250,1699874810862
10860000,10920000,63,1699874756632,1699874810862
10860000,10920000,47,1699874762664,1699874810862
10860000,10920000,54,1699874767027,1699874810862
10860000,10920000,24,1699874770897,1699874810862
10860000,10920000,13,1699874771176,1699874810862
10920000,10980000,100,1699874780759,1699874848319
10920000,10980000,63,1699874791322,1699874848319
10920000,10980000,47,1699874798850,1699874848319
10920000,10980000,54,1699874803800,1699874848319
10920000,10980000,24,1699874808898,1699874848319
10920000,10980000,13,1699874810312,1699874848319
10980000,11040000,100,1699874815623,1699874885979
10980000,11040000,63,1699874824842,1699874885979
10980000,11040000,47,1699874835947,1699874885979
10980000,11040000,54,1699874840308,1699874885979
10980000,11040000,24,1699874847579,1699874885979
10980000,11040000,13,1699874847908,1699874885979
11040000,11100000,100,1699874847081,1699874924108
11040000,11100000,63,1699874859542,1699874924108
11040000,11100000,47,1699874872921,1699874924108
11040000,11100000,54,1699874877346,1699874924108
11040000,11100000,24,1699874885494,1699874924108
11040000,11100000,13,1699874885454,1699874924108
