debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,13,1699976610224,1699976620434
10620000,10680000,24,1699976610221,1699976620434
10620000,10680000,47,1699976610240,1699976620434
10620000,10680000,54,1699976610251,1699976620434
10620000,10680000,63,1699976610261,1699976620434
10620000,10680000,100,1699976610216,1699976620434
10680000,10740000,13,1699976620235,1699976633683
10680000,10740000,24,1699976619964,1699976633683
10680000,10740000,47,1699976620055,1699976633683
10680000,10740000,54,1699976619531,1699976633683
10680000,10740000,63,1699976619954,1699976633683
10680000,10740000,100,1699976619443,1699976633683
10740000,10800000,13,1699976633463,1699976646515
10740000,10800000,24,1699976633025,1699976646515
10740000,10800000,47,1699976633017,1699976646515
10740000,10800000,54,1699976632061,1699976646515
10740000,10800000,63,1699976632796,1699976646515
10740000,10800000,100,1699976630585,1699976646515
10800000,10860000,13,1699976646324,1699976659568
10800000,10860000,24,1699976646065,1699976659568
10800000,10860000,47,1699976645687,1699976659568
10800000,10860000,54,1699976644768,1699976659568
10800000,10860000,63,1699976645409,1699976659568
10800000,10860000,100,1699976640835,1699976659568
10860000,10920000,13,1699976659392,1699976672996
10860000,10920000,24,1699976659259,1699976672996
10860000,10920000,47,1699976658383,1699976672996
10860000,10920000,54,1699976657489,1699976672996
10860000,10920000,63,1699976657599,1699976672996
10860000,10920000,100,1699976652741,1699976672996
10920000,10980000,13,1699976672790,1699976685741
10920000,10980000,24,1699976672320,1699976685741
10920000,10980000,47,1699976671330,1699976685741
10920000,10980000,54,1699976670059,1699976685741
10920000,10980000,63,1699976669806,1699976685741
10920000,10980000,100,1699976664251,1699976685741
10980000,11040000,13,1699976685215,1699976698769
10980000,11040000,24,1699976685558,1699976698769
10980000,11040000,47,1699976684279,1699976698769
10980000,11040000,54,1699976682370,1699976698769
10980000,11040000,63,1699976681755,1699976698769
10980000,11040000,100,1699976676357,1699976698769
11040000,11100000,13,1699976698010,1699976711594
11040000,11100000,24,1699976698547,1699976711594
11040000,11100000,47,1699976697225,1699976711594
11040000,11100000,54,1699976694911,1699976711594
11040000,11100000,63,1699976694148,1699976711594
11040000,11100000,100,1699976687280,1699976711594
11100000,11160000,13,1699976710873,1699976724826
11100000,11160000,24,1699976711386,1699976724826
11100000,11160000,47,1699976709929,1699976724826
11100000,11160000,54,1699976707417,1699976724826
11100000,11160000,63,1699976705755,1699976724826
11100000,11160000,100,1699976698394,1699976724826
11160000,11220000,13,1699976724060,1699976737280
11160000,11220000,24,1699976724598,1699976737280
11160000,11220000,47,1699976722792,1699976737280
11160000,11220000,54,1699976720281,1699976737280
11160000,11220000,63,1699976718355,1699976737280
11160000,11220000,100,1699976707550,1699976737280
11220000,11280000,13,1699976737114,1699976749505
11220000,11280000,24,1699976735556,1699976749505
11220000,11280000,47,1699976735332,1699976749505
11220000,11280000,54,1699976732203,1699976749505
11220000,11280000,63,1699976729116,1699976749505
11220000,11280000,100,1699976719135,1699976749505
11280000,11340000,13,1699976749296,1699976762117
11280000,11340000,24,1699976747402,1699976762117
11280000,11340000,47,1699976748066,1699976762117
11280000,11340000,54,1699976743729,1699976762117
11280000,11340000,63,1699976741084,1699976762117
11280000,11340000,100,1699976730599,1699976762117
11340000,11400000,13,1699976761934,1699976774586
11340000,11400000,24,1699976759574,1699976774586
11340000,11400000,47,1699976760955,1699976774586
11340000,11400000,54,1699976756431,1699976774586
11340000,11400000,63,1699976752660,1699976774586
11340000,11400000,100,1699976741914,1699976774586
11400000,11460000,13,1699976774375,1699976787196
11400000,11460000,24,1699976771610,1699976787196
11400000,11460000,47,1699976773870,1699976787196
11400000,11460000,54,1699976768918,1699976787196
