debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,13,1699976000679,1699976027323
10620000,10680000,24,1699976000707,1699976027323
10620000,10680000,47,1699976000645,1699976027323
10620000,10680000,54,1699976000636,1699976027323
10620000,10680000,63,1699976000721,1699976027323
10620000,10680000,100,1699976000607,1699976027323
10680000,10740000,13,1699976026841,1699976061709
10680000,10740000,24,1699976024181,1699976061709
10680000,10740000,47,1699976023883,1699976061709
10680000,10740000,54,1699976022731,1699976061709
10680000,10740000,63,1699976023484,1699976061709
10680000,10740000,100,1699976023621,1699976061709
10740000,10800000,13,1699976061210,1699976094822
10740000,10800000,24,1699976055776,1699976094822
10740000,10800000,47,1699976055593,1699976094822
10740000,10800000,54,1699976053238,1699976094822
10740000,10800000,63,1699976053327,1699976094822
10740000,10800000,100,1699976050734,1699976094822
10800000,10860000,13,1699976094360,1699976128968
10800000,10860000,24,1699976086269,1699976128968
10800000,10860000,47,1699976085534,1699976128968
10800000,10860000,54,1699976083945,1699976128968
10800000,10860000,63,1699976082945,1699976128968
10800000,10860000,100,1699976075667,1699976128968
10860000,10920000,13,1699976128590,1699976164137
10860000,10920000,24,1699976117455,1699976164137
10860000,10920000,47,1699976116334,1699976164137
10860000,10920000,54,1699976114926,1699976164137
10860000,10920000,63,1699976111345,1699976164137
10860000,10920000,100,1699976104435,1699976164137
10920000,10980000,13,1699976163657,1699976195566
10920000,10980000,24,1699976148803,1699976195566
10920000,10980000,47,1699976146979,1699976195566
10920000,10980000,54,1699976145489,1699976195566
10920000,10980000,63,1699976139426,1699976195566
10920000,10980000,100,1699976132150,1699976195566
10980000,11040000,13,1699976195129,1699976228871
10980000,11040000,24,1699976180672,1699976228871
10980000,11040000,47,1699976177601,1699976228871
10980000,11040000,54,1699976174494,1699976228871
10980000,11040000,63,1699976167515,1699976228871
10980000,11040000,100,1699976161557,1699976228871
11040000,11100000,13,1699976228349,1699976262599
11040000,11100000,24,1699976211726,1699976262599
11040000,11100000,47,1699976208710,1699976262599
11040000,11100000,54,1699976204985,1699976262599
11040000,11100000,63,1699976196438,1699976262599
11040000,11100000,100,1699976187650,1699976262599
11100000,11160000,13,1699976262107,1699976296694
11100000,11160000,24,1699976242594,1699976296694
11100000,11160000,47,1699976238127,1699976296694
11100000,11160000,54,1699976235510,1699976296694
11100000,11160000,63,1699976223790,1699976296694
11100000,11160000,100,1699976214698,1699976296694
