debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1699884439982,1699884462667
10620000,10680000,54,1699884439953,1699884462980
10620000,10680000,47,1699884439897,1699884463406
10620000,10680000,63,1699884439925,1699884463857
10620000,10680000,24,1699884439873,1699884464406
10620000,10680000,13,1699884440001,1699884465638
10680000,10740000,100,1699884462170,1699884488610
10680000,10740000,54,1699884462609,1699884492583
10680000,10740000,47,1699884462954,1699884494495
10680000,10740000,63,1699884463321,1699884494602
10680000,10740000,24,1699884463884,1699884496267
10680000,10740000,13,1699884465227,1699884499016
10740000,10800000,100,1699884488278,1699884512938
10740000,10800000,54,1699884492188,1699884523504
10740000,10800000,47,1699884494115,1699884524372
10740000,10800000,63,1699884494171,1699884524610
10740000,10800000,24,1699884495928,1699884526986
10740000,10800000,13,1699884498550,1699884530870
10800000,10860000,100,1699884512574,1699884541757
10800000,10860000,63,1699884524153,1699884553689
10800000,10860000,54,1699884522952,1699884554129
10800000,10860000,47,1699884523866,1699884555075
10800000,10860000,24,1699884526638,1699884558934
10800000,10860000,13,1699884530396,1699884562745
10860000,10920000,100,1699884541349,1699884568586
10860000,10920000,63,1699884553301,1699884582578
10860000,10920000,54,1699884553652,1699884584313
10860000,10920000,47,1699884554587,1699884585745
10860000,10920000,24,1699884558478,1699884590570
10860000,10920000,13,1699884562341,1699884595750
10920000,10980000,100,1699884568135,1699884597897
10920000,10980000,63,1699884582146,1699884611819
10920000,10980000,54,1699884584011,1699884613754
10920000,10980000,47,1699884585355,1699884616079
10920000,10980000,24,1699884590156,1699884622492
10980000,11040000,100,1699884597439,1699884623957
10920000,10980000,13,1699884595280,1699884626262
10980000,11040000,63,1699884611341,1699884640739
10980000,11040000,54,1699884613322,1699884644971
10980000,11040000,47,1699884615747,1699884647020
11040000,11100000,100,1699884623478,1699884650253
10980000,11040000,24,1699884622159,1699884653576
10980000,11040000,13,1699884625925,1699884657740
11040000,11100000,63,1699884640238,1699884668723
11100000,11160000,100,1699884649799,1699884672360
11040000,11100000,54,1699884644651,1699884675062
11040000,11100000,47,1699884646697,1699884677054
11040000,11100000,24,1699884653141,1699884684385
11040000,11100000,13,1699884657297,1699884689393
11160000,11220000,100,1699884671873,1699884699178
11100000,11160000,63,1699884668331,1699884699365
11100000,11160000,54,1699884674706,1699884706637
11100000,11160000,47,1699884676742,1699884707619
11100000,11160000,24,1699884683992,1699884715330
11100000,11160000,13,1699884689034,1699884720836
11160000,11220000,63,1699884698974,1699884724820
11220000,11280000,100,1699884698841,1699884726275
11160000,11220000,54,1699884706203,1699884734684
11160000,11220000,47,1699884707113,1699884737191
