debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,63,1699879048345,1699879058291
10620000,10680000,54,1699879048308,1699879058291
10620000,10680000,47,1699879048316,1699879058510
10620000,10680000,24,1699879048327,1699879058510
10620000,10680000,100,1699879048290,1699879058697
10620000,10680000,13,1699879048372,1699879058697
10680000,10740000,63,1699879058096,1699879071198
10680000,10740000,54,1699879057825,1699879071198
10680000,10740000,24,1699879058058,1699879071695
10680000,10740000,47,1699879058318,1699879071695
10680000,10740000,100,1699879057499,1699879072090
10680000,10740000,13,1699879058525,1699879072090
10740000,10800000,54,1699879070673,1699879083895
10740000,10800000,63,1699879071018,1699879083895
10740000,10800000,47,1699879071547,1699879084650
10740000,10800000,24,1699879071115,1699879084650
10740000,10800000,100,1699879068647,1699879085079
10740000,10800000,13,1699879071897,1699879085079
10800000,10860000,63,1699879083700,1699879096953
10800000,10860000,54,1699879083706,1699879096953
10800000,10860000,47,1699879084469,1699879097611
10800000,10860000,24,1699879084133,1699879097611
10800000,10860000,100,1699879078887,1699879098250
10800000,10860000,13,1699879084916,1699879098250
10860000,10920000,63,1699879095974,1699879109807
10860000,10920000,54,1699879096750,1699879109807
10860000,10920000,24,1699879097301,1699879110781
10860000,10920000,47,1699879097410,1699879110781
10860000,10920000,100,1699879090771,1699879111852
10860000,10920000,13,1699879098102,1699879111852
10920000,10980000,54,1699879109661,1699879122446
10920000,10980000,63,1699879108276,1699879122446
10920000,10980000,24,1699879110342,1699879123948
10920000,10980000,47,1699879110607,1699879123948
10920000,10980000,100,1699879102279,1699879124408
10920000,10980000,13,1699879111662,1699879124408
10980000,11040000,63,1699879120312,1699879135301
10980000,11040000,54,1699879122287,1699879135301
10980000,11040000,47,1699879123798,1699879137138
10980000,11040000,24,1699879123564,1699879137138
10980000,11040000,100,1699879114373,1699879137390
10980000,11040000,13,1699879124247,1699879137390
11040000,11100000,63,1699879132775,1699879148155
11040000,11100000,54,1699879135162,1699879148155
11040000,11100000,24,1699879136537,1699879150131
11040000,11100000,47,1699879136993,1699879150131
11040000,11100000,100,1699879125252,1699879150376
11040000,11100000,13,1699879137197,1699879150376
11100000,11160000,63,1699879144469,1699879161437
11100000,11160000,54,1699879148012,1699879161437
11100000,11160000,24,1699879149362,1699879163332
11100000,11160000,47,1699879149981,1699879163332
11100000,11160000,100,1699879136377,1699879163766
11100000,11160000,13,1699879150224,1699879163766
11160000,11220000,63,1699879157150,1699879173657
11160000,11220000,54,1699879161228,1699879173657
11160000,11220000,24,1699879162559,1699879176080
11160000,11220000,47,1699879163132,1699879176080
11160000,11220000,100,1699879145567,1699879176962
11160000,11220000,13,1699879163594,1699879176962
11220000,11280000,63,1699879167975,1699879185444
11220000,11280000,54,1699879173479,1699879185444
11220000,11280000,24,1699879173502,1699879189043
11220000,11280000,47,1699879175919,1699879189043
11220000,11280000,100,1699879157173,1699879189335
11220000,11280000,13,1699879176823,1699879189335
11280000,11340000,63,1699879180003,1699879198507
11280000,11340000,54,1699879185300,1699879198507
11280000,11340000,100,1699879168679,1699879202112
11280000,11340000,13,1699879189150,1699879202112
11280000,11340000,24,1699879185328,1699879202233
11280000,11340000,47,1699879188903,1699879202233
11340000,11400000,63,1699879191664,1699879211357
11340000,11400000,54,1699879198342,1699879211357
11340000,11400000,100,1699879180037,1699879214678
11340000,11400000,13,1699879201956,1699879214678
11340000,11400000,24,1699879197475,1699879215423
11340000,11400000,47,1699879202071,1699879215423
11400000,11460000,63,1699879203113,1699879224200
11400000,11460000,54,1699879211159,1699879224200
11400000,11460000,100,1699879191570,1699879227456
11400000,11460000,13,1699879214494,1699879227456
11400000,11460000,24,1699879209483,1699879228411
11400000,11460000,47,1699879215254,1699879228411
11460000,11520000,63,1699879213259,1699879237262
11460000,11520000,54,1699879224035,1699879237262
11460000,11520000,100,1699879202075,1699879240842
11460000,11520000,13,1699879227303,1699879240842
11460000,11520000,24,1699879221806,1699879241595
11460000,11520000,47,1699879228213,1699879241595
11520000,11580000,54,1699879237080,1699879250125
11520000,11580000,63,1699879224291,1699879250125
11520000,11580000,100,1699879213843,1699879254030
11520000,11580000,13,1699879240655,1699879254030
11520000,11580000,24,1699879234404,1699879254763
11520000,11580000,47,1699879241433,1699879254763
11580000,11640000,63,1699879235709,1699879263176
11580000,11640000,54,1699879249976,1699879263176
11580000,11640000,100,1699879224781,1699879267011
11580000,11640000,13,1699879253872,1699879267011
11580000,11640000,24,1699879247629,1699879267933
11580000,11640000,47,1699879254585,1699879267933
11640000,11700000,63,1699879247926,1699879276425
11640000,11700000,54,1699879263033,1699879276425
11640000,11700000,100,1699879236568,1699879280203
11640000,11700000,13,1699879266837,1699879280203
11640000,11700000,24,1699879260273,1699879281114
11640000,11700000,47,1699879267777,1699879281114
11700000,11760000,63,1699879258060,1699879289472
11700000,11760000,54,1699879276217,1699879289472
11700000,11760000,100,1699879247454,1699879292564
11700000,11760000,13,1699879280026,1699879292564
11700000,11760000,24,1699879272876,1699879294501
11700000,11760000,47,1699879280941,1699879294501
11760000,11820000,63,1699879269730,1699879302336
11760000,11820000,54,1699879289270,1699879302336
11760000,11820000,100,1699879258767,1699879304507
11760000,11820000,13,1699879292396,1699879304507
11760000,11820000,24,1699879285648,1699879307679
11760000,11820000,47,1699879294302,1699879307679
11820000,11880000,63,1699879279927,1699879315401
11820000,11880000,54,1699879302172,1699879315401
11820000,11880000,100,1699879269502,1699879316874
11820000,11880000,13,1699879304337,1699879316874
11820000,11880000,24,1699879298052,1699879320870
11820000,11880000,47,1699879307501,1699879320870
11880000,11940000,63,1699879291094,1699879328461
11880000,11940000,54,1699879315201,1699879328461
11880000,11940000,100,1699879278689,1699879329445
11880000,11940000,13,1699879316692,1699879329445
11880000,11940000,24,1699879310657,1699879334259
11880000,11940000,47,1699879320722,1699879334259
11940000,12000000,63,1699879301905,1699879341514
11940000,12000000,54,1699879328269,1699879341514
11940000,12000000,100,1699879288526,1699879342834
