debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,63,1699882356041,1699882379391
10620000,10680000,54,1699882356137,1699882379391
10620000,10680000,100,1699882355997,1699882380963
10620000,10680000,13,1699882356088,1699882380963
10620000,10680000,24,1699882356057,1699882381580
10620000,10680000,47,1699882356017,1699882381580
10680000,10740000,63,1699882378954,1699882409932
10680000,10740000,54,1699882378484,1699882409932
10680000,10740000,24,1699882379515,1699882412748
10680000,10740000,47,1699882381141,1699882412748
10680000,10740000,100,1699882377522,1699882413850
10680000,10740000,13,1699882380580,1699882413850
10740000,10800000,54,1699882407392,1699882440835
10740000,10800000,63,1699882409509,1699882440835
10740000,10800000,24,1699882411456,1699882443140
10740000,10800000,47,1699882412401,1699882443140
10740000,10800000,100,1699882404091,1699882444951
10740000,10800000,13,1699882413339,1699882444951
10800000,10860000,54,1699882437357,1699882469271
10800000,10860000,63,1699882440346,1699882469271
10800000,10860000,47,1699882442724,1699882474750
10800000,10860000,24,1699882442600,1699882474750
10800000,10860000,100,1699882428801,1699882476742
10800000,10860000,13,1699882444595,1699882476742
10860000,10920000,54,1699882467084,1699882497718
10860000,10920000,63,1699882468845,1699882497718
10860000,10920000,47,1699882473272,1699882506781
10860000,10920000,24,1699882474347,1699882506781
10860000,10920000,100,1699882457124,1699882509678
10860000,10920000,13,1699882476430,1699882509678
10920000,10980000,54,1699882496971,1699882526294
10920000,10980000,63,1699882497390,1699882526294
10920000,10980000,47,1699882504681,1699882539156
10920000,10980000,24,1699882506355,1699882539156
10920000,10980000,100,1699882484465,1699882540328
10920000,10980000,13,1699882509215,1699882540328
10980000,11040000,54,1699882525965,1699882555639
10980000,11040000,63,1699882525442,1699882555639
10980000,11040000,47,1699882536485,1699882570258
10980000,11040000,24,1699882538752,1699882570258
10980000,11040000,100,1699882512949,1699882571394
10980000,11040000,13,1699882539914,1699882571394
11040000,11100000,63,1699882554931,1699882585463
11040000,11100000,54,1699882555317,1699882585463
11040000,11100000,47,1699882567511,1699882601894
11040000,11100000,24,1699882569835,1699882601894
11040000,11100000,100,1699882538583,1699882603063
11040000,11100000,13,1699882570954,1699882603063
11100000,11160000,63,1699882583343,1699882616109
11100000,11160000,54,1699882585162,1699882616109
11100000,11160000,47,1699882597598,1699882634211
11100000,11160000,24,1699882601455,1699882634211
11100000,11160000,100,1699882565871,1699882635561
11100000,11160000,13,1699882602709,1699882635561
11160000,11220000,63,1699882613936,1699882645040
11160000,11220000,54,1699882615621,1699882645040
