debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,47,1699881045901,1699881056350
10620000,10680000,63,1699881045958,1699881056350
10620000,10680000,13,1699881045930,1699881056350
10620000,10680000,24,1699881045920,1699881056350
10620000,10680000,54,1699881045890,1699881056350
10620000,10680000,100,1699881045948,1699881056350
10680000,10740000,100,1699881054983,1699881069886
10680000,10740000,47,1699881055785,1699881069886
10680000,10740000,63,1699881055715,1699881069886
10680000,10740000,24,1699881055676,1699881069886
10680000,10740000,54,1699881055192,1699881069886
10680000,10740000,13,1699881056176,1699881069886
10740000,10800000,54,1699881067767,1699881083001
10740000,10800000,100,1699881065906,1699881083001
10740000,10800000,47,1699881068836,1699881083001
10740000,10800000,24,1699881068760,1699881083001
10740000,10800000,13,1699881069691,1699881083001
10740000,10800000,63,1699881068632,1699881083001
10800000,10860000,100,1699881075946,1699881096321
10800000,10860000,54,1699881080515,1699881096321
10800000,10860000,47,1699881081607,1699881096321
10800000,10860000,63,1699881081344,1699881096321
10800000,10860000,13,1699881082836,1699881096321
10800000,10860000,24,1699881081806,1699881096321
10860000,10920000,100,1699881087579,1699881110062
10860000,10920000,47,1699881094388,1699881110062
10860000,10920000,13,1699881096171,1699881110062
10860000,10920000,24,1699881094995,1699881110062
10860000,10920000,63,1699881093601,1699881110062
10860000,10920000,54,1699881093271,1699881110062
10920000,10980000,100,1699881098847,1699881122766
10920000,10980000,63,1699881105882,1699881122766
10920000,10980000,47,1699881107418,1699881122766
10920000,10980000,24,1699881108063,1699881122766
10920000,10980000,54,1699881105894,1699881122766
10920000,10980000,13,1699881109880,1699881122766
10980000,11040000,100,1699881110704,1699881135882
10980000,11040000,54,1699881118250,1699881135882
10980000,11040000,47,1699881120451,1699881135882
10980000,11040000,63,1699881117907,1699881135882
10980000,11040000,13,1699881122603,1699881135882
10980000,11040000,24,1699881121312,1699881135882
11040000,11100000,100,1699881121368,1699881148989
11040000,11100000,54,1699881130846,1699881148989
11040000,11100000,63,1699881130364,1699881148989
11040000,11100000,47,1699881133444,1699881148989
11040000,11100000,24,1699881134323,1699881148989
11040000,11100000,13,1699881135686,1699881148989
11100000,11160000,100,1699881132235,1699881162525
11100000,11160000,63,1699881142050,1699881162525
11100000,11160000,54,1699881143419,1699881162525
11100000,11160000,24,1699881147164,1699881162525
11100000,11160000,47,1699881146233,1699881162525
11100000,11160000,13,1699881148835,1699881162525
11160000,11220000,100,1699881141206,1699881175852
11160000,11220000,63,1699881154737,1699881175852
11160000,11220000,54,1699881156344,1699881175852
11160000,11220000,47,1699881159186,1699881175852
11160000,11220000,24,1699881160386,1699881175852
11160000,11220000,13,1699881162353,1699881175852
11220000,11280000,100,1699881152533,1699881188341
11220000,11280000,63,1699881165550,1699881188341
11220000,11280000,54,1699881168315,1699881188341
11220000,11280000,24,1699881171359,1699881188341
11220000,11280000,47,1699881171822,1699881188341
11220000,11280000,13,1699881175711,1699881188341
11280000,11340000,100,1699881163751,1699881201245
11280000,11340000,63,1699881177577,1699881201245
11280000,11340000,54,1699881179877,1699881201245
11280000,11340000,24,1699881183188,1699881201245
11280000,11340000,47,1699881184644,1699881201245
11280000,11340000,13,1699881188156,1699881201245
11340000,11400000,100,1699881174821,1699881213938
11340000,11400000,63,1699881189241,1699881213938
11340000,11400000,54,1699881192627,1699881213938
11340000,11400000,24,1699881195370,1699881213938
11340000,11400000,47,1699881197629,1699881213938
11340000,11400000,13,1699881201086,1699881213938
11400000,11460000,100,1699881186038,1699881226841
11400000,11460000,63,1699881200693,1699881226841
11400000,11460000,54,1699881205172,1699881226841
11400000,11460000,47,1699881210624,1699881226841
11400000,11460000,13,1699881213752,1699881226841
11400000,11460000,24,1699881207421,1699881226841
11460000,11520000,100,1699881196307,1699881240371
11460000,11520000,63,1699881210836,1699881240371
11460000,11520000,54,1699881217762,1699881240371
11460000,11520000,24,1699881219788,1699881240371
11460000,11520000,47,1699881223380,1699881240371
11460000,11520000,13,1699881226687,1699881240371
11520000,11580000,100,1699881207784,1699881253700
11520000,11580000,63,1699881221853,1699881253700
11520000,11580000,54,1699881230510,1699881253700
11520000,11580000,47,1699881236415,1699881253700
11520000,11580000,24,1699881232430,1699881253700
11520000,11580000,13,1699881240184,1699881253700
11580000,11640000,100,1699881218444,1699881266816
11580000,11640000,63,1699881233276,1699881266816
11580000,11640000,54,1699881243100,1699881266816
11580000,11640000,24,1699881245675,1699881266816
11580000,11640000,47,1699881249413,1699881266816
11580000,11640000,13,1699881253541,1699881266816
11640000,11700000,100,1699881229947,1699881280146
11640000,11700000,63,1699881245492,1699881280146
11640000,11700000,54,1699881255873,1699881280146
11640000,11700000,24,1699881258331,1699881280146
11640000,11700000,47,1699881262439,1699881280146
11640000,11700000,13,1699881266642,1699881280146
11700000,11760000,100,1699881240560,1699881292634
11700000,11760000,63,1699881255644,1699881292634
11700000,11760000,54,1699881268784,1699881292634
11700000,11760000,24,1699881270967,1699881292634
11700000,11760000,13,1699881279968,1699881292634
11700000,11760000,47,1699881275420,1699881292634
11760000,11820000,100,1699881251604,1699881304713
11760000,11820000,63,1699881267302,1699881304713
11760000,11820000,54,1699881281558,1699881304713
11760000,11820000,24,1699881283771,1699881304713
11760000,11820000,47,1699881288612,1699881304713
11760000,11820000,13,1699881292464,1699881304713
11820000,11880000,100,1699881262074,1699881317207
11820000,11880000,63,1699881277507,1699881317207
11820000,11880000,54,1699881294160,1699881317207
11820000,11880000,24,1699881296208,1699881317207
11820000,11880000,47,1699881301648,1699881317207
11820000,11880000,13,1699881304542,1699881317207
11880000,11940000,100,1699881271060,1699881329903
11880000,11940000,63,1699881288690,1699881329903
11880000,11940000,54,1699881306902,1699881329903
11880000,11940000,24,1699881308823,1699881329903
11880000,11940000,47,1699881314691,1699881329903
11880000,11940000,13,1699881317023,1699881329903
11940000,12000000,100,1699881280679,1699881343438
11940000,12000000,63,1699881299523,1699881343438
11940000,12000000,54,1699881319680,1699881343438
11940000,12000000,24,1699881320811,1699881343438
11940000,12000000,47,1699881327874,1699881343438
11940000,12000000,13,1699881329743,1699881343438
