debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1699969251362,1699969260599
10620000,10680000,63,1699969251314,1699969260967
10620000,10680000,24,1699969251297,1699969261187
10620000,10680000,54,1699969251351,1699969261355
10620000,10680000,47,1699969251339,1699969261416
10620000,10680000,13,1699969251372,1699969261680
10680000,10740000,100,1699969260405,1699969271466
10680000,10740000,63,1699969260782,1699969273503
10680000,10740000,24,1699969261006,1699969274171
10680000,10740000,47,1699969261230,1699969274443
10680000,10740000,54,1699969261177,1699969274619
10680000,10740000,13,1699969261510,1699969275085
10740000,10800000,100,1699969271332,1699969281520
10740000,10800000,63,1699969273332,1699969285850
10740000,10800000,24,1699969274031,1699969287142
10740000,10800000,47,1699969274301,1699969287245
10740000,10800000,13,1699969274892,1699969288081
10740000,10800000,54,1699969274450,1699969288103
10800000,10860000,100,1699969281385,1699969293211
10800000,10860000,63,1699969285674,1699969297767
10800000,10860000,47,1699969287070,1699969300056
10800000,10860000,24,1699969287009,1699969300325
10800000,10860000,13,1699969287919,1699969301259
10800000,10860000,54,1699969287909,1699969301580
10860000,10920000,100,1699969293036,1699969304473
10860000,10920000,63,1699969297591,1699969309688
10860000,10920000,47,1699969299859,1699969313081
10860000,10920000,24,1699969300146,1699969313310
10860000,10920000,54,1699969301372,1699969314829
10860000,10920000,13,1699969301114,1699969314862
10920000,10980000,100,1699969304304,1699969316366
10920000,10980000,63,1699969309533,1699969321393
10920000,10980000,47,1699969312912,1699969326112
10920000,10980000,24,1699969313157,1699969326500
10980000,11040000,100,1699969316172,1699969327009
10920000,10980000,13,1699969314683,1699969327414
10920000,10980000,54,1699969314682,1699969327868
10980000,11040000,63,1699969321210,1699969333511
11040000,11100000,100,1699969326826,1699969337861
10980000,11040000,47,1699969325966,1699969339137
10980000,11040000,24,1699969326348,1699969339459
10980000,11040000,13,1699969327255,1699969340399
10980000,11040000,54,1699969327705,1699969341126
11040000,11100000,63,1699969333310,1699969344811
11100000,11160000,100,1699969337691,1699969346879
11040000,11100000,47,1699969338996,1699969351946
11040000,11100000,24,1699969339270,1699969352233
11040000,11100000,13,1699969340204,1699969353384
11040000,11100000,54,1699969340985,1699969354380
11100000,11160000,63,1699969344658,1699969357135
11160000,11220000,100,1699969346676,1699969358169
11100000,11160000,47,1699969351801,1699969364968
11100000,11160000,24,1699969352059,1699969365420
11100000,11160000,13,1699969353233,1699969366780
11160000,11220000,63,1699969356973,1699969367622
11100000,11160000,54,1699969354236,1699969368084
11220000,11280000,100,1699969358033,1699969369447
11160000,11220000,24,1699969365221,1699969376336
11160000,11220000,47,1699969364772,1699969377569
11220000,11280000,63,1699969367486,1699969379331
11160000,11220000,13,1699969366610,1699969379954
11280000,11340000,100,1699969369276,1699969380530
11160000,11220000,54,1699969367871,1699969380670
11220000,11280000,24,1699969376137,1699969388077
11220000,11280000,47,1699969377411,1699969390383
11280000,11340000,63,1699969379165,1699969390629
11340000,11400000,100,1699969380371,1699969391815
11220000,11280000,13,1699969379817,1699969392307
11220000,11280000,54,1699969380489,1699969392836
11280000,11340000,24,1699969387934,1699969400232
11340000,11400000,63,1699969390475,1699969401726
11400000,11460000,100,1699969391614,1699969402065
11280000,11340000,47,1699969390247,1699969403408
11280000,11340000,13,1699969392124,1699969405070
11280000,11340000,54,1699969392690,1699969406309
11400000,11460000,63,1699969401584,1699969411585
11340000,11400000,24,1699969400055,1699969412184
11460000,11520000,100,1699969401889,1699969413541
11340000,11400000,47,1699969403250,1699969416426
11340000,11400000,13,1699969404915,1699969417635
11340000,11400000,54,1699969406142,1699969419566
11460000,11520000,63,1699969411421,1699969422262
11520000,11580000,100,1699969413360,1699969424197
11400000,11460000,24,1699969412042,1699969424553
11400000,11460000,47,1699969416263,1699969429244
11400000,11460000,13,1699969417452,1699969430401
11400000,11460000,54,1699969419367,1699969432816
11520000,11580000,63,1699969422123,1699969433350
11580000,11640000,100,1699969424028,1699969435693
11460000,11520000,24,1699969424353,1699969437121
11460000,11520000,47,1699969429048,1699969442259
11460000,11520000,13,1699969430249,1699969443791
11580000,11640000,63,1699969433211,1699969445281
11460000,11520000,54,1699969432649,1699969446282
11640000,11700000,100,1699969435558,1699969446366
11520000,11580000,24,1699969436933,1699969450300
11640000,11700000,63,1699969445084,1699969455139
11520000,11580000,47,1699969442100,1699969455277
11520000,11580000,13,1699969443606,1699969456979
11700000,11760000,100,1699969446195,1699969457443
11520000,11580000,54,1699969446097,1699969459527
11580000,11640000,24,1699969450118,1699969462863
11700000,11760000,63,1699969454937,1699969466438
11760000,11820000,100,1699969457256,1699969467900
11580000,11640000,47,1699969455104,1699969468294
11580000,11640000,13,1699969456823,1699969469962
11580000,11640000,54,1699969459375,1699969472995
11640000,11700000,24,1699969462718,1699969475422
11760000,11820000,63,1699969466259,1699969476297
11820000,11880000,100,1699969467743,1699969476932
11640000,11700000,47,1699969468142,1699969481324
11640000,11700000,13,1699969469790,1699969483149
11880000,11940000,100,1699969476739,1699969486567
11640000,11700000,54,1699969472850,1699969486677
11820000,11880000,63,1699969476160,1699969487182
11700000,11760000,24,1699969475285,1699969488183
11700000,11760000,47,1699969481154,1699969494551
11700000,11760000,13,1699969482974,1699969495510
11940000,12000000,100,1699969486366,1699969497019
11880000,11940000,63,1699969486999,1699969497655
11700000,11760000,54,1699969486463,1699969500151
11760000,11820000,24,1699969488019,1699969500531
11760000,11820000,13,1699969495344,1699969507464
12000000,12060000,100,1699969496885,1699969507477
11760000,11820000,47,1699969494356,1699969507571
11940000,12000000,63,1699969497501,1699969508545
11820000,11880000,24,1699969500382,1699969513082
11760000,11820000,54,1699969499946,1699969513398
12060000,12120000,100,1699969507294,1699969517739
12000000,12060000,63,1699969508412,1699969518816
11820000,11880000,13,1699969507296,1699969519828
11820000,11880000,47,1699969507396,1699969520596
12120000,12180000,100,1699969517596,1699969523886
11880000,11940000,24,1699969512929,1699969525024
12240000,12300000,100,1699969526573,1699969526759
12180000,12240000,100,1699969523734,1699969526761
11820000,11880000,54,1699969513231,1699969526876
13020000,13080000,100,1699969526601,1699969529220
12060000,12120000,63,1699969518614,1699969529710
11880000,11940000,13,1699969519648,1699969532394
11880000,11940000,47,1699969520452,1699969533828
13080000,13140000,100,1699969529027,1699969537625
11940000,12000000,24,1699969524860,1699969537872
11880000,11940000,54,1699969526671,1699969540361
12120000,12180000,63,1699969529520,1699969540407
11940000,12000000,13,1699969532238,1699969545778
13140000,13200000,100,1699969537490,1699969546241
11940000,12000000,47,1699969533660,1699969547062
12000000,12060000,24,1699969537690,1699969550019
12180000,12240000,63,1699969540231,1699969550889
