debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,54,1699970980236,1699971002435
10620000,10680000,100,1699970980307,1699971002630
10620000,10680000,24,1699970980220,1699971004144
10620000,10680000,63,1699970980245,1699971004795
10620000,10680000,13,1699970980201,1699971005243
10620000,10680000,47,1699970980233,1699971005306
10680000,10740000,100,1699971002076,1699971029012
10680000,10740000,54,1699971002021,1699971032164
10680000,10740000,63,1699971004364,1699971034995
10680000,10740000,24,1699971003713,1699971036187
10680000,10740000,47,1699971004815,1699971037013
10680000,10740000,13,1699971004834,1699971037207
10740000,10800000,100,1699971028684,1699971053781
10740000,10800000,54,1699971031791,1699971062218
10740000,10800000,63,1699971034568,1699971065225
10740000,10800000,13,1699971036728,1699971067707
10740000,10800000,24,1699971035844,1699971067994
10740000,10800000,47,1699971036565,1699971068042
10800000,10860000,100,1699971053465,1699971081743
10800000,10860000,54,1699971061776,1699971093000
10800000,10860000,63,1699971064794,1699971093956
10800000,10860000,47,1699971067643,1699971098870
10800000,10860000,13,1699971067260,1699971099104
10800000,10860000,24,1699971067709,1699971100058
10860000,10920000,100,1699971081277,1699971109434
10860000,10920000,54,1699971092580,1699971122120
10860000,10920000,63,1699971093556,1699971122745
10860000,10920000,47,1699971098349,1699971130885
10860000,10920000,24,1699971099582,1699971131518
10860000,10920000,13,1699971098766,1699971131707
10920000,10980000,100,1699971109003,1699971138046
10920000,10980000,63,1699971122335,1699971150687
10920000,10980000,54,1699971121741,1699971151544
10920000,10980000,13,1699971131220,1699971160879
10920000,10980000,47,1699971130528,1699971162463
10980000,11040000,100,1699971137608,1699971163187
10920000,10980000,24,1699971131142,1699971163759
10980000,11040000,63,1699971150249,1699971180611
10980000,11040000,54,1699971151198,1699971181439
11040000,11100000,100,1699971162726,1699971190711
10980000,11040000,13,1699971160487,1699971191623
10980000,11040000,47,1699971162111,1699971193198
10980000,11040000,24,1699971163383,1699971195866
11040000,11100000,63,1699971180075,1699971208121
11040000,11100000,54,1699971181091,1699971210730
11100000,11160000,100,1699971190298,1699971212992
11040000,11100000,13,1699971191145,1699971222598
11040000,11100000,47,1699971192870,1699971223855
11040000,11100000,24,1699971195422,1699971226782
11100000,11160000,63,1699971207759,1699971238503
11160000,11220000,100,1699971212557,1699971240438
11100000,11160000,54,1699971210416,1699971241898
11100000,11160000,13,1699971222235,1699971254371
11100000,11160000,47,1699971223485,1699971255323
11100000,11160000,24,1699971226362,1699971258422
11160000,11220000,63,1699971238098,1699971264138
11220000,11280000,100,1699971240126,1699971267348
11160000,11220000,54,1699971241429,1699971270050
