debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,63,1699968836461,1699968846365
10620000,10680000,54,1699968836518,1699968846365
10620000,10680000,13,1699968836529,1699968846905
10620000,10680000,100,1699968836507,1699968846905
10620000,10680000,47,1699968836497,1699968847030
10620000,10680000,24,1699968836487,1699968847030
10680000,10740000,54,1699968846005,1699968859215
10680000,10740000,63,1699968846173,1699968859215
10680000,10740000,13,1699968846731,1699968860385
10680000,10740000,100,1699968845495,1699968860385
10680000,10740000,47,1699968846110,1699968860863
10680000,10740000,24,1699968846836,1699968860863
10740000,10800000,54,1699968858820,1699968872001
10740000,10800000,63,1699968859039,1699968872001
10740000,10800000,100,1699968856364,1699968873450
10740000,10800000,13,1699968860193,1699968873450
10740000,10800000,47,1699968858805,1699968874682
10740000,10800000,24,1699968860713,1699968874682
10800000,10860000,54,1699968871812,1699968885015
10800000,10860000,63,1699968871647,1699968885015
10800000,10860000,100,1699968866362,1699968886744
10800000,10860000,13,1699968873285,1699968886744
10800000,10860000,47,1699968871227,1699968888729
10800000,10860000,24,1699968874539,1699968888729
10860000,10920000,63,1699968883843,1699968897818
10860000,10920000,54,1699968884810,1699968897818
10860000,10920000,100,1699968877943,1699968900425
10860000,10920000,13,1699968886597,1699968900425
10860000,10920000,47,1699968883653,1699968902548
10860000,10920000,24,1699968888535,1699968902548
10920000,10980000,54,1699968897673,1699968910411
10920000,10980000,63,1699968896106,1699968910411
10920000,10980000,100,1699968889171,1699968913081
10920000,10980000,13,1699968900244,1699968913081
10920000,10980000,47,1699968896327,1699968916593
10920000,10980000,24,1699968902384,1699968916593
10980000,11040000,63,1699968908065,1699968923220
10980000,11040000,54,1699968910253,1699968923220
10980000,11040000,100,1699968900964,1699968926173
10980000,11040000,13,1699968912920,1699968926173
10980000,11040000,47,1699968908997,1699968930416
10980000,11040000,24,1699968916430,1699968930416
11040000,11100000,54,1699968923083,1699968936032
11040000,11100000,63,1699968920468,1699968936032
11040000,11100000,100,1699968911578,1699968939250
11040000,11100000,13,1699968925979,1699968939250
11040000,11100000,47,1699968921646,1699968944016
11040000,11100000,24,1699968930212,1699968944016
11100000,11160000,63,1699968932091,1699968949256
11100000,11160000,54,1699968935890,1699968949256
11100000,11160000,100,1699968922406,1699968952737
11100000,11160000,13,1699968939098,1699968952737
11100000,11160000,47,1699968934098,1699968958061
11100000,11160000,24,1699968943827,1699968958061
11160000,11220000,63,1699968944693,1699968961435
11160000,11220000,54,1699968949049,1699968961435
11160000,11220000,100,1699968931349,1699968966012
11160000,11220000,13,1699968952565,1699968966012
11160000,11220000,47,1699968946692,1699968969694
11160000,11220000,24,1699968957849,1699968969694
11220000,11280000,63,1699968955457,1699968973188
11220000,11280000,54,1699968961259,1699968973188
11220000,11280000,100,1699968942638,1699968978453
