debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,54,1699971871480,1699971894977
10620000,10680000,63,1699971871605,1699971894977
10620000,10680000,47,1699971871537,1699971896042
10620000,10680000,24,1699971871566,1699971896042
10620000,10680000,13,1699971871633,1699971896770
10620000,10680000,100,1699971871502,1699971896770
10680000,10740000,54,1699971894491,1699971925456
10680000,10740000,63,1699971894518,1699971925456
10680000,10740000,47,1699971894249,1699971928056
10680000,10740000,24,1699971895571,1699971928056
10680000,10740000,100,1699971893903,1699971928898
10680000,10740000,13,1699971896377,1699971928898
10740000,10800000,63,1699971923991,1699971956708
10740000,10800000,54,1699971925080,1699971956708
10740000,10800000,47,1699971924383,1699971959830
10740000,10800000,24,1699971927685,1699971959830
10740000,10800000,100,1699971920914,1699971960165
10740000,10800000,13,1699971928458,1699971960165
10800000,10860000,63,1699971952808,1699971988360
10800000,10860000,54,1699971956262,1699971988360
10800000,10860000,47,1699971954534,1699971991929
10800000,10860000,24,1699971959537,1699971991929
10800000,10860000,100,1699971945929,1699971992020
10800000,10860000,13,1699971959777,1699971992020
10860000,10920000,63,1699971980858,1699972018862
10860000,10920000,54,1699971987881,1699972018862
10860000,10920000,47,1699971984394,1699972024258
10860000,10920000,24,1699971991493,1699972024258
10860000,10920000,100,1699971974757,1699972025817
10860000,10920000,13,1699971991649,1699972025817
10920000,10980000,54,1699972018558,1699972049451
10920000,10980000,63,1699972010418,1699972049451
10920000,10980000,100,1699972002274,1699972056135
10920000,10980000,13,1699972025385,1699972056135
10920000,10980000,47,1699972014483,1699972056456
10920000,10980000,24,1699972023889,1699972056456
10980000,11040000,63,1699972038278,1699972080611
10980000,11040000,54,1699972049111,1699972080611
10980000,11040000,47,1699972044214,1699972087764
10980000,11040000,24,1699972056068,1699972087764
10980000,11040000,100,1699972031428,1699972088292
10980000,11040000,13,1699972055700,1699972088292
11040000,11100000,63,1699972066943,1699972111802
11040000,11100000,54,1699972080313,1699972111802
11040000,11100000,47,1699972073982,1699972119168
11040000,11100000,24,1699972087305,1699972119168
11040000,11100000,100,1699972057746,1699972119576
11040000,11100000,13,1699972087798,1699972119576
11100000,11160000,63,1699972093614,1699972143342
11100000,11160000,54,1699972111495,1699972143342
11100000,11160000,47,1699972103650,1699972151199
11100000,11160000,24,1699972118722,1699972151199
11100000,11160000,100,1699972086022,1699972152551
11100000,11160000,13,1699972119185,1699972152551
11160000,11220000,63,1699972122904,1699972172360
11160000,11220000,54,1699972142862,1699972172360
