debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1699970104830,1699970115294
10620000,10680000,54,1699970104820,1699970115294
10620000,10680000,13,1699970104876,1699970115294
10620000,10680000,24,1699970104841,1699970115294
10620000,10680000,47,1699970104810,1699970115294
10620000,10680000,63,1699970104791,1699970115294
10680000,10740000,100,1699970114104,1699970128860
10680000,10740000,63,1699970114267,1699970128860
10680000,10740000,24,1699970114460,1699970128860
10680000,10740000,54,1699970114075,1699970128860
10680000,10740000,47,1699970114777,1699970128860
10680000,10740000,13,1699970115119,1699970128860
10740000,10800000,100,1699970125324,1699970141983
10740000,10800000,54,1699970126567,1699970141983
10740000,10800000,63,1699970126806,1699970141983
10740000,10800000,47,1699970127943,1699970141983
10740000,10800000,13,1699970128663,1699970141983
10740000,10800000,24,1699970127351,1699970141983
10800000,10860000,100,1699970135637,1699970155322
10800000,10860000,24,1699970140219,1699970155322
10800000,10860000,63,1699970139115,1699970155322
10800000,10860000,54,1699970139228,1699970155322
10800000,10860000,13,1699970141817,1699970155322
10800000,10860000,47,1699970140805,1699970155322
10860000,10920000,100,1699970147593,1699970169079
10860000,10920000,63,1699970151015,1699970169079
10860000,10920000,24,1699970153232,1699970169079
10860000,10920000,47,1699970153691,1699970169079
10860000,10920000,54,1699970151890,1699970169079
10860000,10920000,13,1699970155171,1699970169079
10920000,10980000,100,1699970159164,1699970181797
10920000,10980000,63,1699970162941,1699970181797
10920000,10980000,54,1699970164420,1699970181797
10920000,10980000,47,1699970166843,1699970181797
10920000,10980000,24,1699970166118,1699970181797
10920000,10980000,13,1699970168897,1699970181797
10980000,11040000,100,1699970171352,1699970194935
10980000,11040000,63,1699970174611,1699970194935
10980000,11040000,54,1699970176673,1699970194935
10980000,11040000,24,1699970179180,1699970194935
10980000,11040000,47,1699970179991,1699970194935
10980000,11040000,13,1699970181632,1699970194935
11040000,11100000,100,1699970182305,1699970208055
