debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,54,1699977877289,1699977900700
10620000,10680000,63,1699977877293,1699977900700
10620000,10680000,24,1699977877265,1699977901427
10620000,10680000,47,1699977877289,1699977901427
10620000,10680000,13,1699977877285,1699977902364
10620000,10680000,100,1699977877281,1699977902364
10680000,10740000,54,1699977900306,1699977930967
10680000,10740000,63,1699977899493,1699977930967
10680000,10740000,24,1699977900913,1699977933173
10680000,10740000,47,1699977900996,1699977933173
10680000,10740000,13,1699977901904,1699977934343
10680000,10740000,100,1699977899450,1699977934343
10740000,10800000,54,1699977930508,1699977960551
10740000,10800000,63,1699977929370,1699977960551
10740000,10800000,24,1699977932759,1699977965586
10740000,10800000,47,1699977931506,1699977965586
10740000,10800000,13,1699977933809,1699977965858
10740000,10800000,100,1699977926286,1699977965858
10800000,10860000,54,1699977960075,1699977991714
10800000,10860000,63,1699977958419,1699977991714
10800000,10860000,13,1699977965429,1699977997338
10800000,10860000,100,1699977950974,1699977997338
10800000,10860000,24,1699977965218,1699977997943
10800000,10860000,47,1699977962295,1699977997943
10860000,10920000,54,1699977991182,1699978021754
10860000,10920000,63,1699977986664,1699978021754
10860000,10920000,24,1699977997483,1699978029937
10860000,10920000,47,1699977992743,1699978029937
10860000,10920000,13,1699977996980,1699978030382
10860000,10920000,100,1699977980393,1699978030382
10920000,10980000,54,1699978021402,1699978051790
10920000,10980000,63,1699978014882,1699978051790
10920000,10980000,13,1699978029933,1699978060384
10920000,10980000,100,1699978006418,1699978060384
10920000,10980000,24,1699978029495,1699978062213
10920000,10980000,47,1699978023543,1699978062213
10980000,11040000,54,1699978051359,1699978081760
10980000,11040000,63,1699978043105,1699978081760
10980000,11040000,13,1699978059908,1699978091889
10980000,11040000,100,1699978037391,1699978091889
10980000,11040000,24,1699978061843,1699978093933
10980000,11040000,47,1699978054364,1699978093933
11040000,11100000,54,1699978081442,1699978111813
11040000,11100000,63,1699978072694,1699978111813
11040000,11100000,13,1699978091381,1699978123500
11040000,11100000,100,1699978063670,1699978123500
11040000,11100000,24,1699978093374,1699978125105
11040000,11100000,47,1699978085661,1699978125105
11100000,11160000,54,1699978111446,1699978142947
11100000,11160000,63,1699978099353,1699978142947
11100000,11160000,13,1699978123057,1699978155970
11100000,11160000,100,1699978090226,1699978155970
11100000,11160000,24,1699978124641,1699978157202
11100000,11160000,47,1699978116245,1699978157202
11160000,11220000,54,1699978142419,1699978171258
11160000,11220000,63,1699978128882,1699978171258
