debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,24,1699876770115,1699876770324
10634000,10635000,63,1699876770124,1699876770338
10635000,10636000,54,1699876770137,1699876770343
10634000,10635000,54,1699876770134,1699876770344
10634000,10635000,47,1699876770161,1699876770370
10634000,10635000,100,1699876770198,1699876770403
10634000,10635000,13,1699876770188,1699876770404
10635000,10636000,24,1699876770136,1699876770625
10635000,10636000,63,1699876770146,1699876770644
10635000,10636000,47,1699876770187,1699876770670
10635000,10636000,100,1699876770219,1699876770700
10635000,10636000,13,1699876770211,1699876770709
10636000,10637000,24,1699876770445,1699876770928
10636000,10637000,54,1699876770205,1699876770948
10636000,10637000,63,1699876770456,1699876770951
10636000,10637000,47,1699876770493,1699876770973
10636000,10637000,100,1699876770517,1699876770999
10636000,10637000,13,1699876770526,1699876771017
10637000,10638000,24,1699876770754,1699876771228
10637000,10638000,54,1699876770743,1699876771252
10637000,10638000,63,1699876770765,1699876771258
10637000,10638000,47,1699876770798,1699876771275
10637000,10638000,100,1699876770812,1699876771298
10637000,10638000,13,1699876770840,1699876771326
10638000,10639000,24,1699876771047,1699876771532
10638000,10639000,54,1699876771051,1699876771556
10638000,10639000,63,1699876771072,1699876771565
10638000,10639000,47,1699876771103,1699876771576
10638000,10639000,100,1699876771111,1699876771598
10638000,10639000,13,1699876771155,1699876771633
10639000,10640000,24,1699876771356,1699876771836
10639000,10640000,54,1699876771361,1699876771859
10639000,10640000,63,1699876771381,1699876771872
10639000,10640000,47,1699876771407,1699876771878
10639000,10640000,100,1699876771409,1699876771897
10639000,10640000,13,1699876771469,1699876771941
10640000,10641000,24,1699876771665,1699876772140
10640000,10641000,54,1699876771667,1699876772163
10640000,10641000,63,1699876771690,1699876772179
10640000,10641000,47,1699876771712,1699876772182
10640000,10641000,100,1699876771707,1699876772197
10640000,10641000,13,1699876771783,1699876772250
10641000,10642000,24,1699876771974,1699876772445
10641000,10642000,54,1699876771972,1699876772467
10641000,10642000,47,1699876772019,1699876772484
10641000,10642000,63,1699876771999,1699876772488
10641000,10642000,100,1699876772006,1699876772497
10641000,10642000,13,1699876772098,1699876772559
10642000,10643000,24,1699876772284,1699876772748
10642000,10643000,54,1699876772280,1699876772771
10642000,10643000,47,1699876772324,1699876772787
10642000,10643000,100,1699876772301,1699876772797
10642000,10643000,63,1699876772308,1699876772798
10642000,10643000,13,1699876772413,1699876772868
10643000,10644000,24,1699876772593,1699876773051
10643000,10644000,54,1699876772585,1699876773075
10643000,10644000,47,1699876772629,1699876773089
10644000,10645000,100,1699876772893,1699876773097
10643000,10644000,100,1699876772597,1699876773098
10643000,10644000,63,1699876772619,1699876773104
10644000,10645000,24,1699876772901,1699876773357
10644000,10645000,54,1699876772891,1699876773379
10644000,10645000,47,1699876772935,1699876773384
10645000,10646000,100,1699876772965,1699876773397
10644000,10645000,63,1699876772928,1699876773412
10643000,10644000,13,1699876772729,1699876773486
10645000,10646000,24,1699876773211,1699876773660
10645000,10646000,54,1699876773198,1699876773682
10645000,10646000,47,1699876773232,1699876773686
10646000,10647000,100,1699876773263,1699876773697
10645000,10646000,63,1699876773237,1699876773720
10644000,10645000,13,1699876773284,1699876773794
10646000,10647000,24,1699876773520,1699876773964
10646000,10647000,54,1699876773504,1699876773987
10646000,10647000,47,1699876773538,1699876773990
10647000,10648000,100,1699876773561,1699876773997
10646000,10647000,63,1699876773547,1699876774026
10645000,10646000,13,1699876773600,1699876774102
10647000,10648000,47,1699876773844,1699876774291
10647000,10648000,54,1699876773811,1699876774293
10648000,10649000,100,1699876773859,1699876774297
10647000,10648000,63,1699876773856,1699876774335
10646000,10647000,13,1699876773914,1699876774409
10647000,10648000,24,1699876773829,1699876774570
10648000,10649000,47,1699876774148,1699876774594
10649000,10650000,100,1699876774158,1699876774598
10648000,10649000,54,1699876774118,1699876774599
10648000,10649000,63,1699876774165,1699876774644
10647000,10648000,13,1699876774228,1699876774719
10648000,10649000,24,1699876774371,1699876774872
10650000,10651000,100,1699876774457,1699876774898
10649000,10650000,47,1699876774454,1699876774899
10649000,10650000,54,1699876774425,1699876774904
10649000,10650000,63,1699876774475,1699876774952
10648000,10649000,13,1699876774544,1699876775028
10649000,10650000,24,1699876774679,1699876775176
10651000,10652000,100,1699876774755,1699876775199
10650000,10651000,47,1699876774761,1699876775201
10650000,10651000,54,1699876774734,1699876775208
10650000,10651000,63,1699876774785,1699876775260
10649000,10650000,13,1699876774859,1699876775337
10650000,10651000,24,1699876774990,1699876775480
10652000,10653000,100,1699876775054,1699876775491
10651000,10652000,54,1699876775041,1699876775512
10651000,10652000,63,1699876775094,1699876775568
10650000,10651000,13,1699876775175,1699876775646
10651000,10652000,24,1699876775300,1699876775785
10653000,10654000,100,1699876775345,1699876775789
10651000,10652000,47,1699876775067,1699876775805
10652000,10653000,54,1699876775347,1699876775817
10652000,10653000,63,1699876775404,1699876775876
10651000,10652000,13,1699876775490,1699876775955
10652000,10653000,24,1699876775589,1699876776089
10654000,10655000,100,1699876775642,1699876776090
