debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,24,1699878053106,1699878053636
10634000,10635000,63,1699878053133,1699878053658
10634000,10635000,47,1699878053077,1699878053663
10634000,10635000,13,1699878053177,1699878053732
10634000,10635000,54,1699878053155,1699878053772
10635000,10636000,54,1699878053158,1699878053773
10634000,10635000,100,1699878053209,1699878053833
10635000,10636000,24,1699878053157,1699878054191
10635000,10636000,63,1699878053164,1699878054276
10635000,10636000,47,1699878053148,1699878054279
10635000,10636000,13,1699878053233,1699878054306
10635000,10636000,100,1699878053251,1699878054497
10636000,10637000,24,1699878053767,1699878054805
10636000,10637000,47,1699878053805,1699878054845
10636000,10637000,13,1699878053867,1699878054923
10636000,10637000,63,1699878053796,1699878054931
10636000,10637000,54,1699878053406,1699878054954
10636000,10637000,100,1699878053958,1699878055155
10637000,10638000,24,1699878054354,1699878055401
10637000,10638000,47,1699878054444,1699878055491
10637000,10638000,13,1699878054489,1699878055505
10637000,10638000,63,1699878054417,1699878055643
10637000,10638000,54,1699878054508,1699878055645
10637000,10638000,100,1699878054616,1699878055805
10638000,10639000,24,1699878054949,1699878056066
10638000,10639000,47,1699878055034,1699878056130
10638000,10639000,63,1699878055083,1699878056195
10638000,10639000,54,1699878055053,1699878056200
10638000,10639000,13,1699878055131,1699878056287
10638000,10639000,100,1699878055273,1699878056577
10639000,10640000,24,1699878055585,1699878056645
10639000,10640000,47,1699878055658,1699878056709
10639000,10640000,63,1699878055785,1699878056787
10639000,10640000,54,1699878055747,1699878056800
10639000,10640000,13,1699878055813,1699878056922
10640000,10641000,24,1699878056234,1699878057212
10639000,10640000,100,1699878055936,1699878057251
10640000,10641000,63,1699878056368,1699878057330
10640000,10641000,54,1699878056320,1699878057355
10640000,10641000,47,1699878056303,1699878057450
10640000,10641000,13,1699878056495,1699878057593
10640000,10641000,100,1699878056684,1699878057875
10641000,10642000,63,1699878056925,1699878057954
10641000,10642000,54,1699878056919,1699878057988
10641000,10642000,24,1699878056817,1699878058024
10641000,10642000,47,1699878056958,1699878058097
10641000,10642000,13,1699878057200,1699878058152
10641000,10642000,100,1699878057349,1699878058521
10642000,10643000,54,1699878057491,1699878058555
10642000,10643000,63,1699878057481,1699878058582
10642000,10643000,24,1699878057477,1699878058613
10642000,10643000,47,1699878057661,1699878058761
10642000,10643000,13,1699878057831,1699878058771
10643000,10644000,54,1699878058121,1699878059113
10642000,10643000,100,1699878057971,1699878059156
10643000,10644000,63,1699878058146,1699878059187
10643000,10644000,24,1699878058254,1699878059310
10643000,10644000,47,1699878058344,1699878059398
10644000,10645000,54,1699878058687,1699878059669
10644000,10645000,63,1699878058768,1699878059711
10644000,10645000,100,1699878059253,1699878059857
10643000,10644000,100,1699878058613,1699878059858
10643000,10644000,13,1699878058483,1699878059961
10644000,10645000,24,1699878058916,1699878059962
10644000,10645000,47,1699878058995,1699878060104
10645000,10646000,54,1699878059247,1699878060232
10645000,10646000,63,1699878059344,1699878060262
10645000,10646000,100,1699878059491,1699878060369
10645000,10646000,24,1699878059605,1699878060579
10644000,10645000,13,1699878059466,1699878060585
10645000,10646000,47,1699878059706,1699878060806
10646000,10647000,54,1699878059817,1699878060872
10646000,10647000,63,1699878059878,1699878060938
10646000,10647000,100,1699878060099,1699878061030
10645000,10646000,13,1699878060091,1699878061178
10646000,10647000,24,1699878060250,1699878061386
10646000,10647000,47,1699878060422,1699878061399
10647000,10648000,54,1699878060388,1699878061472
10647000,10648000,63,1699878060478,1699878061574
10647000,10648000,100,1699878060640,1699878061690
10646000,10647000,13,1699878060738,1699878061746
10647000,10648000,47,1699878061033,1699878062009
10648000,10649000,54,1699878061034,1699878062026
10648000,10649000,63,1699878061120,1699878062264
10647000,10648000,13,1699878061340,1699878062323
10648000,10649000,100,1699878061338,1699878062343
10647000,10648000,24,1699878060950,1699878062553
10649000,10650000,54,1699878061629,1699878062592
10648000,10649000,47,1699878061660,1699878062658
10649000,10650000,63,1699878061778,1699878062829
10648000,10649000,13,1699878061933,1699878062926
10649000,10650000,100,1699878061977,1699878063014
10650000,10651000,54,1699878062178,1699878063144
10648000,10649000,24,1699878062043,1699878063177
10649000,10650000,47,1699878062330,1699878063304
10650000,10651000,63,1699878062448,1699878063385
10649000,10650000,13,1699878062528,1699878063508
10649000,10650000,24,1699878062655,1699878063659
10650000,10651000,100,1699878062656,1699878063699
10651000,10652000,54,1699878062760,1699878063765
10651000,10652000,63,1699878063022,1699878063956
10650000,10651000,47,1699878062953,1699878063965
10650000,10651000,13,1699878063113,1699878064080
10650000,10651000,24,1699878063319,1699878064358
10652000,10653000,54,1699878063332,1699878064363
10651000,10652000,100,1699878063294,1699878064397
10652000,10653000,63,1699878063581,1699878064503
10651000,10652000,13,1699878063727,1699878064764
10653000,10654000,54,1699878063957,1699878064982
10651000,10652000,24,1699878063816,1699878064986
10653000,10654000,63,1699878064141,1699878065058
10652000,10653000,100,1699878063955,1699878065091
10651000,10652000,47,1699878063662,1699878065285
10652000,10653000,13,1699878064382,1699878065326
10652000,10653000,24,1699878064461,1699878065591
10654000,10655000,63,1699878064705,1699878065633
10654000,10655000,54,1699878064604,1699878065635
10653000,10654000,100,1699878064672,1699878065731
10652000,10653000,47,1699878064726,1699878065818
10655000,10656000,63,1699878065284,1699878066179
10653000,10654000,24,1699878065126,1699878066185
10655000,10656000,54,1699878065208,1699878066255
10654000,10655000,100,1699878065362,1699878066272
10653000,10654000,47,1699878065402,1699878066470
10653000,10654000,13,1699878065011,1699878066539
10656000,10657000,63,1699878065843,1699878066778
10656000,10657000,54,1699878065882,1699878066813
10654000,10655000,24,1699878065739,1699878066851
10655000,10656000,100,1699878065932,1699878066887
10654000,10655000,47,1699878065926,1699878067098
10654000,10655000,13,1699878066009,1699878067127
10657000,10658000,54,1699878066472,1699878067390
10655000,10656000,24,1699878066351,1699878067408
10657000,10658000,63,1699878066420,1699878067452
10656000,10657000,100,1699878066496,1699878067657
10655000,10656000,13,1699878066645,1699878067679
10655000,10656000,47,1699878066585,1699878067695
10656000,10657000,24,1699878067030,1699878067851
10658000,10659000,63,1699878067025,1699878067983
10658000,10659000,54,1699878067054,1699878068036
10656000,10657000,47,1699878067219,1699878068247
10657000,10658000,100,1699878067147,1699878068251
10656000,10657000,13,1699878067252,1699878068270
10657000,10658000,24,1699878067611,1699878068422
10659000,10660000,63,1699878067651,1699878068618
10659000,10660000,54,1699878067650,1699878068667
10657000,10658000,47,1699878067828,1699878068849
10657000,10658000,13,1699878067836,1699878068912
10658000,10659000,100,1699878067854,1699878068940
10658000,10659000,24,1699878068031,1699878069033
10660000,10661000,63,1699878068222,1699878069181
10660000,10661000,54,1699878068136,1699878069218
10658000,10659000,47,1699878068384,1699878069475
10659000,10660000,100,1699878068454,1699878069522
10658000,10659000,13,1699878068455,1699878069608
10659000,10660000,24,1699878068540,1699878069618
10661000,10662000,63,1699878068851,1699878069740
10661000,10662000,54,1699878068769,1699878069854
10660000,10661000,100,1699878069123,1699878070083
10659000,10660000,47,1699878069004,1699878070106
10660000,10661000,24,1699878069179,1699878070230
10659000,10660000,13,1699878069127,1699878070247
10662000,10663000,63,1699878069422,1699878070291
10662000,10663000,54,1699878069336,1699878070497
10660000,10661000,47,1699878069645,1699878070672
10661000,10662000,100,1699878069716,1699878070734
10660000,10661000,13,1699878069834,1699878070821
