debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,24,1699877660209,1699877660774
10634000,10635000,47,1699877660141,1699877660774
10634000,10635000,100,1699877660165,1699877660834
10634000,10635000,13,1699877660277,1699877660834
10634000,10635000,63,1699877660243,1699877660880
10634000,10635000,54,1699877660188,1699877660880
10635000,10636000,47,1699877660192,1699877661350
10635000,10636000,24,1699877660261,1699877661350
10635000,10636000,100,1699877660218,1699877661447
10635000,10636000,13,1699877660321,1699877661447
10635000,10636000,63,1699877660275,1699877661621
10635000,10636000,54,1699877660193,1699877661621
10636000,10637000,47,1699877660783,1699877662032
10636000,10637000,24,1699877660944,1699877662032
10636000,10637000,13,1699877661006,1699877662159
10636000,10637000,100,1699877660779,1699877662159
10636000,10637000,54,1699877660420,1699877662310
10636000,10637000,63,1699877661022,1699877662310
10637000,10638000,47,1699877661332,1699877662504
10637000,10638000,24,1699877661523,1699877662504
10637000,10638000,100,1699877661386,1699877662737
10637000,10638000,13,1699877661651,1699877662737
10637000,10638000,54,1699877661499,1699877662937
10637000,10638000,63,1699877661772,1699877662937
10638000,10639000,24,1699877662183,1699877663011
10638000,10639000,47,1699877661875,1699877663011
10638000,10639000,100,1699877662062,1699877663291
10638000,10639000,13,1699877662340,1699877663291
10639000,10640000,24,1699877662643,1699877663551
10639000,10640000,47,1699877662537,1699877663551
10638000,10639000,54,1699877662160,1699877663631
10638000,10639000,63,1699877662441,1699877663631
10639000,10640000,100,1699877662719,1699877663897
10639000,10640000,13,1699877662939,1699877663897
10640000,10641000,24,1699877663094,1699877664140
10640000,10641000,47,1699877663194,1699877664140
10639000,10640000,63,1699877663074,1699877664276
10639000,10640000,54,1699877662742,1699877664276
10640000,10641000,13,1699877663511,1699877664478
10640000,10641000,100,1699877663272,1699877664478
10641000,10642000,24,1699877663713,1699877664800
10641000,10642000,47,1699877663746,1699877664800
10640000,10641000,63,1699877663776,1699877664956
10640000,10641000,54,1699877663401,1699877664956
10641000,10642000,13,1699877664111,1699877665122
10641000,10642000,100,1699877663898,1699877665122
10642000,10643000,24,1699877664310,1699877665507
10642000,10643000,47,1699877664334,1699877665507
10641000,10642000,54,1699877663971,1699877665512
10641000,10642000,63,1699877664462,1699877665512
10642000,10643000,100,1699877664510,1699877665718
10642000,10643000,13,1699877664748,1699877665718
10643000,10644000,47,1699877664916,1699877666103
10643000,10644000,24,1699877665071,1699877666103
10642000,10643000,54,1699877664587,1699877666116
10642000,10643000,63,1699877665104,1699877666116
10643000,10644000,63,1699877665694,1699877666735
10643000,10644000,54,1699877665257,1699877666735
10644000,10645000,47,1699877665537,1699877666763
10644000,10645000,24,1699877665733,1699877666763
10643000,10644000,100,1699877665219,1699877666880
10643000,10644000,13,1699877665348,1699877666880
10644000,10645000,63,1699877666288,1699877667275
10644000,10645000,54,1699877665905,1699877667275
10645000,10646000,47,1699877666069,1699877667434
10645000,10646000,24,1699877666415,1699877667434
10644000,10645000,13,1699877666442,1699877667479
10644000,10645000,100,1699877665698,1699877667479
10645000,10646000,54,1699877666585,1699877667899
10645000,10646000,63,1699877666896,1699877667899
10646000,10647000,24,1699877667104,1699877668064
10646000,10647000,47,1699877666704,1699877668064
10645000,10646000,13,1699877667011,1699877668120
10645000,10646000,100,1699877665902,1699877668120
10646000,10647000,54,1699877667260,1699877668528
10646000,10647000,63,1699877667453,1699877668528
10646000,10647000,100,1699877666461,1699877668677
10646000,10647000,13,1699877667616,1699877668677
10647000,10648000,63,1699877668086,1699877669100
10647000,10648000,54,1699877667901,1699877669100
10647000,10648000,100,1699877667066,1699877669198
10647000,10648000,13,1699877668262,1699877669198
10647000,10648000,24,1699877667777,1699877669331
10647000,10648000,47,1699877667377,1699877669331
10648000,10649000,63,1699877668725,1699877669777
10648000,10649000,54,1699877668476,1699877669777
10648000,10649000,100,1699877667662,1699877669798
10648000,10649000,13,1699877668828,1699877669798
10648000,10649000,24,1699877668825,1699877669926
10648000,10649000,47,1699877667917,1699877669926
10649000,10650000,100,1699877668369,1699877670403
10649000,10650000,13,1699877669379,1699877670403
10649000,10650000,54,1699877669053,1699877670460
10649000,10650000,63,1699877669290,1699877670460
10649000,10650000,47,1699877668437,1699877670559
10649000,10650000,24,1699877669448,1699877670559
10650000,10651000,100,1699877669014,1699877671091
10650000,10651000,13,1699877669994,1699877671091
10650000,10651000,54,1699877669674,1699877671126
10650000,10651000,63,1699877670005,1699877671126
10650000,10651000,47,1699877669038,1699877671286
10650000,10651000,24,1699877670061,1699877671286
10651000,10652000,100,1699877669666,1699877671634
10651000,10652000,13,1699877670678,1699877671634
10651000,10652000,63,1699877670702,1699877671717
10651000,10652000,54,1699877670298,1699877671717
10651000,10652000,47,1699877669605,1699877671879
10651000,10652000,24,1699877670712,1699877671879
10652000,10653000,100,1699877670295,1699877672184
10652000,10653000,13,1699877671309,1699877672184
10652000,10653000,63,1699877671364,1699877672239
10652000,10653000,54,1699877670904,1699877672239
10652000,10653000,24,1699877671389,1699877672514
10652000,10653000,47,1699877670792,1699877672514
10653000,10654000,54,1699877671473,1699877672826
10653000,10654000,63,1699877671899,1699877672826
10653000,10654000,47,1699877671486,1699877673270
10653000,10654000,24,1699877672021,1699877673270
10653000,10654000,100,1699877670935,1699877673316
10653000,10654000,13,1699877671891,1699877673316
10654000,10655000,54,1699877671973,1699877673537
10654000,10655000,63,1699877672438,1699877673537
10654000,10655000,47,1699877672214,1699877673894
10654000,10655000,24,1699877672674,1699877673894
10654000,10655000,13,1699877672857,1699877673915
10654000,10655000,100,1699877671633,1699877673915
10655000,10656000,63,1699877673109,1699877674113
10655000,10656000,54,1699877672676,1699877674113
10655000,10656000,47,1699877672811,1699877674549
10655000,10656000,24,1699877673412,1699877674549
10655000,10656000,100,1699877672297,1699877674550
10655000,10656000,13,1699877673419,1699877674550
10656000,10657000,63,1699877673757,1699877674786
10656000,10657000,54,1699877673313,1699877674786
10656000,10657000,47,1699877673463,1699877675050
10656000,10657000,24,1699877674092,1699877675050
10656000,10657000,100,1699877672909,1699877675183
10656000,10657000,13,1699877674038,1699877675183
10657000,10658000,54,1699877674013,1699877675358
10657000,10658000,63,1699877674366,1699877675358
10657000,10658000,47,1699877673838,1699877675415
10657000,10658000,24,1699877674757,1699877675415
10657000,10658000,13,1699877674702,1699877675696
10657000,10658000,100,1699877673481,1699877675696
10658000,10659000,54,1699877674682,1699877676016
10658000,10659000,63,1699877675011,1699877676016
10658000,10659000,47,1699877674533,1699877676081
10658000,10659000,24,1699877675242,1699877676081
10658000,10659000,13,1699877675332,1699877676255
10658000,10659000,100,1699877674088,1699877676255
10659000,10660000,63,1699877675568,1699877676666
10659000,10660000,54,1699877675316,1699877676666
10659000,10660000,47,1699877675084,1699877676711
10659000,10660000,24,1699877675559,1699877676711
10659000,10660000,100,1699877674649,1699877676869
10659000,10660000,13,1699877675868,1699877676869
10660000,10661000,47,1699877675706,1699877677281
10660000,10661000,24,1699877676254,1699877677281
10660000,10661000,63,1699877676286,1699877677288
10660000,10661000,54,1699877675736,1699877677288
10660000,10661000,100,1699877675246,1699877677468
10660000,10661000,13,1699877676438,1699877677468
10661000,10662000,54,1699877676355,1699877677838
10661000,10662000,63,1699877676949,1699877677838
10661000,10662000,47,1699877676244,1699877677873
10661000,10662000,24,1699877676891,1699877677873
10661000,10662000,13,1699877677065,1699877678047
10661000,10662000,100,1699877675829,1699877678047
10662000,10663000,54,1699877677021,1699877678221
10662000,10663000,63,1699877677561,1699877678221
10662000,10663000,47,1699877676791,1699877678534
10662000,10663000,24,1699877677507,1699877678534
10662000,10663000,100,1699877676419,1699877678579
10662000,10663000,13,1699877677699,1699877678579
10663000,10664000,63,1699877678046,1699877678959
10663000,10664000,54,1699877677715,1699877678959
10663000,10664000,100,1699877677026,1699877679148
10663000,10664000,13,1699877678338,1699877679148
10663000,10664000,47,1699877677403,1699877679197
10663000,10664000,24,1699877678033,1699877679197
10664000,10665000,54,1699877678359,1699877679614
10664000,10665000,63,1699877678479,1699877679614
10664000,10665000,47,1699877677983,1699877679724
10664000,10665000,24,1699877678720,1699877679724
10665000,10666000,63,1699877679065,1699877680184
10665000,10666000,54,1699877679086,1699877680184
10665000,10666000,47,1699877678595,1699877680311
10665000,10666000,24,1699877679353,1699877680311
10664000,10665000,100,1699877677610,1699877680338
10664000,10665000,13,1699877678843,1699877680338
10666000,10667000,63,1699877679590,1699877680753
10666000,10667000,54,1699877679746,1699877680753
10665000,10666000,100,1699877678232,1699877680910
10665000,10666000,13,1699877679860,1699877680910
10666000,10667000,47,1699877679291,1699877680925
10666000,10667000,24,1699877679921,1699877680925
10667000,10668000,54,1699877680311,1699877681409
10667000,10668000,63,1699877680295,1699877681409
10667000,10668000,47,1699877679994,1699877681468
10667000,10668000,24,1699877680544,1699877681468
10666000,10667000,100,1699877678815,1699877681587
10666000,10667000,13,1699877680443,1699877681587
10668000,10669000,24,1699877681104,1699877682011
10668000,10669000,47,1699877680633,1699877682011
10668000,10669000,54,1699877680924,1699877682056
10668000,10669000,63,1699877680987,1699877682056
10667000,10668000,13,1699877681051,1699877682115
10667000,10668000,100,1699877679425,1699877682115
10669000,10670000,47,1699877681256,1699877682607
