debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,13,1699878569274,1699878569963
10634000,10635000,100,1699878569385,1699878569963
10634000,10635000,47,1699878569317,1699878569963
10634000,10635000,54,1699878569300,1699878569963
10634000,10635000,63,1699878569413,1699878569963
10634000,10635000,24,1699878569346,1699878569963
10635000,10636000,13,1699878569353,1699878570576
10635000,10636000,100,1699878569435,1699878570576
10635000,10636000,24,1699878569425,1699878570576
10635000,10636000,47,1699878569367,1699878570576
10635000,10636000,54,1699878569301,1699878570576
10635000,10636000,63,1699878569473,1699878570576
10636000,10637000,24,1699878569998,1699878571216
10636000,10637000,47,1699878569981,1699878571216
10636000,10637000,13,1699878569920,1699878571216
10636000,10637000,100,1699878570076,1699878571216
10636000,10637000,54,1699878569466,1699878571216
10636000,10637000,63,1699878570065,1699878571216
10637000,10638000,47,1699878570634,1699878571901
10637000,10638000,54,1699878570407,1699878571901
10637000,10638000,63,1699878570710,1699878571901
10637000,10638000,13,1699878570459,1699878571901
10637000,10638000,100,1699878570627,1699878571901
10637000,10638000,24,1699878570588,1699878571901
10638000,10639000,54,1699878571088,1699878572646
10638000,10639000,63,1699878571381,1699878572646
10638000,10639000,24,1699878571128,1699878572646
10638000,10639000,13,1699878571024,1699878572646
10638000,10639000,100,1699878571209,1699878572646
10638000,10639000,47,1699878571256,1699878572646
10639000,10640000,24,1699878571766,1699878572999
10639000,10640000,100,1699878571799,1699878572999
10639000,10640000,54,1699878571640,1699878572999
10639000,10640000,63,1699878572070,1699878572999
10639000,10640000,13,1699878571626,1699878572999
10639000,10640000,47,1699878571846,1699878572999
10640000,10641000,100,1699878572415,1699878573588
10640000,10641000,54,1699878572208,1699878573588
10640000,10641000,47,1699878572486,1699878573588
10640000,10641000,24,1699878572321,1699878573588
10640000,10641000,63,1699878572808,1699878573588
10640000,10641000,13,1699878572256,1699878573588
10641000,10642000,54,1699878572828,1699878574236
10641000,10642000,47,1699878573158,1699878574236
10641000,10642000,63,1699878573140,1699878574236
10641000,10642000,100,1699878573034,1699878574236
10641000,10642000,13,1699878572989,1699878574236
10641000,10642000,24,1699878572968,1699878574236
10642000,10643000,54,1699878573417,1699878574827
10642000,10643000,63,1699878573772,1699878574827
10642000,10643000,100,1699878573605,1699878574827
10642000,10643000,13,1699878573573,1699878574827
10642000,10643000,47,1699878573763,1699878574827
10642000,10643000,24,1699878573616,1699878574827
10643000,10644000,100,1699878574179,1699878575598
10643000,10644000,24,1699878574210,1699878575598
10643000,10644000,47,1699878574464,1699878575598
10643000,10644000,13,1699878574174,1699878575598
10643000,10644000,63,1699878574392,1699878575598
10643000,10644000,54,1699878574125,1699878575598
10644000,10645000,100,1699878574733,1699878576255
10644000,10645000,54,1699878574766,1699878576255
10644000,10645000,24,1699878574874,1699878576255
10644000,10645000,13,1699878575141,1699878576255
10644000,10645000,47,1699878575013,1699878576255
10644000,10645000,63,1699878574939,1699878576255
10645000,10646000,100,1699878574978,1699878576887
10645000,10646000,54,1699878575349,1699878576887
10645000,10646000,24,1699878575535,1699878576887
10645000,10646000,47,1699878575579,1699878576887
10645000,10646000,13,1699878575709,1699878576887
10645000,10646000,63,1699878575471,1699878576887
10646000,10647000,24,1699878576135,1699878577419
10646000,10647000,54,1699878576118,1699878577419
10646000,10647000,47,1699878576159,1699878577419
10646000,10647000,63,1699878576089,1699878577419
10646000,10647000,13,1699878576392,1699878577419
10646000,10647000,100,1699878575630,1699878577419
10647000,10648000,24,1699878576735,1699878578391
10647000,10648000,54,1699878576777,1699878578391
10647000,10648000,13,1699878577018,1699878578391
10647000,10648000,63,1699878576691,1699878578391
10647000,10648000,100,1699878576252,1699878578391
10647000,10648000,47,1699878576898,1699878578391
10648000,10649000,13,1699878577594,1699878579013
10648000,10649000,63,1699878577309,1699878579013
10648000,10649000,47,1699878577540,1699878579013
10648000,10649000,100,1699878576835,1699878579013
10648000,10649000,54,1699878577504,1699878579013
10648000,10649000,24,1699878577828,1699878579013
10649000,10650000,63,1699878577940,1699878579718
10649000,10650000,13,1699878578165,1699878579718
10649000,10650000,100,1699878577406,1699878579718
10649000,10650000,47,1699878578173,1699878579718
10649000,10650000,54,1699878578151,1699878579718
10649000,10650000,24,1699878578502,1699878579718
10650000,10651000,63,1699878578529,1699878580389
10650000,10651000,13,1699878578719,1699878580389
10650000,10651000,47,1699878578703,1699878580389
10650000,10651000,54,1699878578787,1699878580389
10650000,10651000,24,1699878579131,1699878580389
10650000,10651000,100,1699878577948,1699878580389
10651000,10652000,47,1699878579417,1699878581098
10651000,10652000,54,1699878579421,1699878581098
10651000,10652000,24,1699878579875,1699878581098
10651000,10652000,100,1699878578518,1699878581098
10651000,10652000,63,1699878579155,1699878581098
10651000,10652000,13,1699878579366,1699878581098
10652000,10653000,54,1699878580067,1699878581762
10652000,10653000,24,1699878580501,1699878581762
10652000,10653000,13,1699878579977,1699878581762
10652000,10653000,100,1699878579066,1699878581762
10652000,10653000,63,1699878579721,1699878581762
10652000,10653000,47,1699878580321,1699878581762
10653000,10654000,100,1699878579645,1699878582320
10653000,10654000,54,1699878580664,1699878582320
10653000,10654000,63,1699878580372,1699878582320
10653000,10654000,24,1699878581212,1699878582320
10653000,10654000,13,1699878580722,1699878582320
10653000,10654000,47,1699878580995,1699878582320
10654000,10655000,100,1699878580177,1699878582932
10654000,10655000,63,1699878580990,1699878582932
10654000,10655000,24,1699878581884,1699878582932
10654000,10655000,54,1699878581269,1699878582932
10654000,10655000,13,1699878581741,1699878582932
10654000,10655000,47,1699878581674,1699878582932
10655000,10656000,54,1699878581960,1699878583566
10655000,10656000,13,1699878582360,1699878583566
10655000,10656000,100,1699878580891,1699878583566
10655000,10656000,63,1699878581659,1699878583566
10655000,10656000,24,1699878582327,1699878583566
10655000,10656000,47,1699878582439,1699878583566
10656000,10657000,54,1699878582592,1699878584239
10656000,10657000,24,1699878582937,1699878584239
10656000,10657000,13,1699878582937,1699878584239
10656000,10657000,100,1699878581523,1699878584239
