debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,47,1699888076148,1699888076363
10634000,10635000,24,1699888076157,1699888076363
10634000,10635000,54,1699888076167,1699888076422
10634000,10635000,63,1699888076218,1699888076422
10634000,10635000,13,1699888076185,1699888076437
10634000,10635000,100,1699888076228,1699888076437
10635000,10636000,47,1699888076173,1699888076569
10635000,10636000,24,1699888076177,1699888076569
10635000,10636000,54,1699888076170,1699888076625
10635000,10636000,63,1699888076236,1699888076625
10635000,10636000,13,1699888076207,1699888076643
10635000,10636000,100,1699888076250,1699888076643
10636000,10637000,24,1699888076390,1699888076777
10636000,10637000,47,1699888076385,1699888076777
10636000,10637000,54,1699888076238,1699888076830
10636000,10637000,63,1699888076442,1699888076830
10636000,10637000,100,1699888076455,1699888076850
10636000,10637000,13,1699888076422,1699888076850
10637000,10638000,24,1699888076603,1699888076983
10637000,10638000,47,1699888076596,1699888076983
10637000,10638000,63,1699888076649,1699888077035
10637000,10638000,54,1699888076584,1699888077035
10637000,10638000,100,1699888076660,1699888077058
10637000,10638000,13,1699888076635,1699888077058
10638000,10639000,47,1699888076807,1699888077189
10638000,10639000,24,1699888076803,1699888077189
10638000,10639000,54,1699888076793,1699888077240
10638000,10639000,63,1699888076855,1699888077240
10638000,10639000,13,1699888076847,1699888077267
10638000,10639000,100,1699888076866,1699888077267
10639000,10640000,47,1699888077017,1699888077397
10639000,10640000,24,1699888077015,1699888077397
10639000,10640000,54,1699888077003,1699888077444
10639000,10640000,63,1699888077062,1699888077444
10639000,10640000,13,1699888077060,1699888077475
10639000,10640000,100,1699888077074,1699888077475
10640000,10641000,24,1699888077227,1699888077604
10640000,10641000,47,1699888077227,1699888077604
10640000,10641000,63,1699888077269,1699888077651
10640000,10641000,54,1699888077216,1699888077651
10640000,10641000,100,1699888077277,1699888077683
10640000,10641000,13,1699888077272,1699888077683
10641000,10642000,24,1699888077439,1699888077812
10641000,10642000,47,1699888077438,1699888077812
10641000,10642000,63,1699888077476,1699888077857
10641000,10642000,54,1699888077424,1699888077857
10641000,10642000,100,1699888077483,1699888077891
10641000,10642000,13,1699888077484,1699888077891
10642000,10643000,47,1699888077647,1699888078019
10642000,10643000,24,1699888077651,1699888078019
10642000,10643000,54,1699888077633,1699888078062
10642000,10643000,63,1699888077683,1699888078062
10642000,10643000,13,1699888077697,1699888078099
10642000,10643000,100,1699888077691,1699888078099
10643000,10644000,47,1699888077857,1699888078223
10643000,10644000,24,1699888077864,1699888078223
10643000,10644000,54,1699888077842,1699888078266
10643000,10644000,63,1699888077891,1699888078266
10644000,10645000,24,1699888078074,1699888078430
10644000,10645000,47,1699888078066,1699888078430
10643000,10644000,13,1699888077909,1699888078456
10643000,10644000,100,1699888077895,1699888078456
10644000,10645000,63,1699888078096,1699888078471
10644000,10645000,54,1699888078050,1699888078471
10645000,10646000,24,1699888078286,1699888078637
10645000,10646000,47,1699888078276,1699888078637
10644000,10645000,100,1699888078102,1699888078661
10644000,10645000,13,1699888078258,1699888078661
10645000,10646000,63,1699888078302,1699888078677
10645000,10646000,54,1699888078258,1699888078677
10646000,10647000,47,1699888078485,1699888078844
10646000,10647000,24,1699888078497,1699888078844
10645000,10646000,100,1699888078171,1699888078867
10645000,10646000,13,1699888078474,1699888078867
10646000,10647000,54,1699888078467,1699888078882
10646000,10647000,63,1699888078510,1699888078882
10646000,10647000,100,1699888078378,1699888079074
10646000,10647000,13,1699888078686,1699888079074
10647000,10648000,54,1699888078676,1699888079087
10647000,10648000,63,1699888078716,1699888079087
10647000,10648000,47,1699888078696,1699888079258
10647000,10648000,24,1699888078710,1699888079258
10647000,10648000,100,1699888078587,1699888079279
10647000,10648000,13,1699888078898,1699888079279
10648000,10649000,63,1699888078922,1699888079291
10648000,10649000,54,1699888078886,1699888079291
10648000,10649000,24,1699888079060,1699888079466
10648000,10649000,47,1699888078906,1699888079466
10648000,10649000,100,1699888078793,1699888079484
10648000,10649000,13,1699888079110,1699888079484
10649000,10650000,63,1699888079128,1699888079497
10649000,10650000,54,1699888079095,1699888079497
10649000,10650000,47,1699888079117,1699888079670
10649000,10650000,24,1699888079274,1699888079670
10649000,10650000,100,1699888078998,1699888079691
10649000,10650000,13,1699888079322,1699888079691
10650000,10651000,54,1699888079304,1699888079702
10650000,10651000,63,1699888079335,1699888079702
10650000,10651000,47,1699888079326,1699888079878
10650000,10651000,24,1699888079486,1699888079878
10650000,10651000,100,1699888079204,1699888079895
10650000,10651000,13,1699888079535,1699888079895
10651000,10652000,54,1699888079512,1699888079906
10651000,10652000,63,1699888079543,1699888079906
10651000,10652000,47,1699888079536,1699888080087
10651000,10652000,24,1699888079698,1699888080087
10651000,10652000,100,1699888079411,1699888080104
10651000,10652000,13,1699888079748,1699888080104
10652000,10653000,63,1699888079748,1699888080110
10652000,10653000,54,1699888079722,1699888080110
10652000,10653000,24,1699888079889,1699888080293
10652000,10653000,47,1699888079883,1699888080293
10652000,10653000,100,1699888079618,1699888080308
10652000,10653000,13,1699888079961,1699888080308
10653000,10654000,63,1699888079954,1699888080316
10653000,10654000,54,1699888079930,1699888080316
10653000,10654000,24,1699888080103,1699888080501
10653000,10654000,47,1699888080095,1699888080501
10654000,10655000,54,1699888080137,1699888080521
10654000,10655000,63,1699888080161,1699888080521
10654000,10655000,24,1699888080315,1699888080709
10654000,10655000,47,1699888080306,1699888080709
10653000,10654000,100,1699888079824,1699888080722
10653000,10654000,13,1699888080173,1699888080722
10655000,10656000,54,1699888080346,1699888080727
10655000,10656000,63,1699888080367,1699888080727
10655000,10656000,47,1699888080516,1699888080916
10655000,10656000,24,1699888080526,1699888080916
10654000,10655000,13,1699888080519,1699888080927
10654000,10655000,100,1699888080030,1699888080927
10656000,10657000,63,1699888080575,1699888080931
10656000,10657000,54,1699888080556,1699888080931
10656000,10657000,24,1699888080738,1699888081125
10656000,10657000,47,1699888080728,1699888081125
10655000,10656000,100,1699888080236,1699888081132
10655000,10656000,13,1699888080734,1699888081132
10657000,10658000,63,1699888080781,1699888081137
10657000,10658000,54,1699888080765,1699888081137
10657000,10658000,24,1699888080949,1699888081332
10657000,10658000,47,1699888080940,1699888081332
10656000,10657000,100,1699888080443,1699888081338
10656000,10657000,13,1699888080946,1699888081338
10658000,10659000,54,1699888080973,1699888081343
10658000,10659000,63,1699888080988,1699888081343
10658000,10659000,24,1699888081162,1699888081539
10658000,10659000,47,1699888081150,1699888081539
10657000,10658000,100,1699888080651,1699888081544
10657000,10658000,13,1699888081159,1699888081544
10659000,10660000,54,1699888081181,1699888081550
10659000,10660000,63,1699888081195,1699888081550
10659000,10660000,47,1699888081361,1699888081747
10659000,10660000,24,1699888081346,1699888081747
10658000,10659000,13,1699888081371,1699888081751
10658000,10659000,100,1699888080856,1699888081751
10660000,10661000,63,1699888081403,1699888081754
10660000,10661000,54,1699888081336,1699888081754
10660000,10661000,24,1699888081558,1699888081954
10660000,10661000,47,1699888081572,1699888081954
10659000,10660000,100,1699888081063,1699888081957
10659000,10660000,13,1699888081584,1699888081957
10661000,10662000,63,1699888081609,1699888081960
10661000,10662000,54,1699888081543,1699888081960
10661000,10662000,24,1699888081770,1699888082161
10661000,10662000,47,1699888081782,1699888082161
10660000,10661000,100,1699888081271,1699888082164
10660000,10661000,13,1699888081796,1699888082164
10662000,10663000,54,1699888081753,1699888082166
10662000,10663000,63,1699888081817,1699888082166
10662000,10663000,24,1699888081981,1699888082368
10662000,10663000,47,1699888081991,1699888082368
10661000,10662000,100,1699888081476,1699888082370
10661000,10662000,13,1699888082010,1699888082370
10663000,10664000,54,1699888081965,1699888082372
10663000,10664000,63,1699888082024,1699888082372
10663000,10664000,47,1699888082201,1699888082575
10663000,10664000,24,1699888082178,1699888082575
10664000,10665000,63,1699888082230,1699888082577
10664000,10665000,54,1699888082176,1699888082577
10662000,10663000,13,1699888082222,1699888082580
10662000,10663000,100,1699888081682,1699888082580
10665000,10666000,63,1699888082437,1699888082782
10665000,10666000,54,1699888082384,1699888082782
10663000,10664000,100,1699888081887,1699888082784
10663000,10664000,13,1699888082435,1699888082784
10664000,10665000,24,1699888082390,1699888082786
10664000,10665000,47,1699888082412,1699888082786
10666000,10667000,54,1699888082592,1699888082986
10666000,10667000,63,1699888082643,1699888082986
10665000,10666000,24,1699888082602,1699888082990
10665000,10666000,47,1699888082621,1699888082990
10667000,10668000,54,1699888082801,1699888083192
10667000,10668000,63,1699888082850,1699888083192
10664000,10665000,100,1699888082094,1699888083194
10664000,10665000,13,1699888082647,1699888083194
10666000,10667000,24,1699888082814,1699888083197
10666000,10667000,47,1699888082832,1699888083197
10668000,10669000,63,1699888083057,1699888083398
10668000,10669000,54,1699888083011,1699888083398
10665000,10666000,13,1699888082993,1699888083400
10665000,10666000,100,1699888082300,1699888083400
10667000,10668000,47,1699888083042,1699888083404
10667000,10668000,24,1699888083025,1699888083404
10669000,10670000,63,1699888083265,1699888083603
10669000,10670000,54,1699888083219,1699888083603
10666000,10667000,13,1699888083209,1699888083605
10666000,10667000,100,1699888082506,1699888083605
10668000,10669000,24,1699888083225,1699888083611
10668000,10669000,47,1699888083251,1699888083611
10667000,10668000,100,1699888082713,1699888083810
10667000,10668000,13,1699888083421,1699888083810
10669000,10670000,24,1699888083435,1699888083819
10669000,10670000,47,1699888083462,1699888083819
10670000,10671000,63,1699888083470,1699888084013
10670000,10671000,54,1699888083420,1699888084013
10668000,10669000,13,1699888083633,1699888084017
10668000,10669000,100,1699888082920,1699888084017
10670000,10671000,24,1699888083647,1699888084027
10670000,10671000,47,1699888083672,1699888084027
10671000,10672000,54,1699888083629,1699888084217
10671000,10672000,63,1699888083810,1699888084217
10669000,10670000,13,1699888083846,1699888084222
10669000,10670000,100,1699888083127,1699888084222
10671000,10672000,47,1699888083883,1699888084234
10671000,10672000,24,1699888083858,1699888084234
10672000,10673000,54,1699888083839,1699888084423
10672000,10673000,63,1699888084018,1699888084423
10670000,10671000,100,1699888083332,1699888084428
10670000,10671000,13,1699888084058,1699888084428
10672000,10673000,24,1699888084070,1699888084441
10672000,10673000,47,1699888084093,1699888084441
10673000,10674000,63,1699888084226,1699888084627
10673000,10674000,54,1699888084049,1699888084627
10671000,10672000,100,1699888083539,1699888084633
10671000,10672000,13,1699888084269,1699888084633
10673000,10674000,24,1699888084282,1699888084648
10673000,10674000,47,1699888084303,1699888084648
10674000,10675000,63,1699888084433,1699888084832
10674000,10675000,54,1699888084258,1699888084832
10672000,10673000,13,1699888084482,1699888084840
10672000,10673000,100,1699888083746,1699888084840
10675000,10676000,54,1699888084467,1699888085038
10675000,10676000,63,1699888084640,1699888085038
10673000,10674000,13,1699888084694,1699888085046
10673000,10674000,100,1699888083951,1699888085046
10674000,10675000,24,1699888084493,1699888085063
10674000,10675000,47,1699888084513,1699888085063
10676000,10677000,54,1699888084676,1699888085243
10676000,10677000,63,1699888084848,1699888085243
10674000,10675000,100,1699888084158,1699888085251
10674000,10675000,13,1699888084906,1699888085251
10675000,10676000,24,1699888084843,1699888085270
10675000,10676000,47,1699888084861,1699888085270
10677000,10678000,63,1699888085055,1699888085449
10677000,10678000,54,1699888084886,1699888085449
10676000,10677000,24,1699888085058,1699888085477
10676000,10677000,47,1699888085073,1699888085477
10678000,10679000,63,1699888085262,1699888085655
10678000,10679000,54,1699888085095,1699888085655
10675000,10676000,100,1699888084365,1699888085663
10675000,10676000,13,1699888085119,1699888085663
10677000,10678000,47,1699888085284,1699888085684
10677000,10678000,24,1699888085270,1699888085684
10679000,10680000,54,1699888085294,1699888085859
10679000,10680000,63,1699888085469,1699888085859
10676000,10677000,100,1699888084571,1699888085869
10676000,10677000,13,1699888085468,1699888085869
10678000,10679000,24,1699888085470,1699888085891
10678000,10679000,47,1699888085493,1699888085891
10680000,10681000,54,1699888085502,1699888086064
10680000,10681000,63,1699888085675,1699888086064
10677000,10678000,100,1699888084777,1699888086075
10677000,10678000,13,1699888085680,1699888086075
10679000,10680000,24,1699888085681,1699888086101
10679000,10680000,47,1699888085706,1699888086101
10681000,10682000,63,1699888085882,1699888086271
10681000,10682000,54,1699888085711,1699888086271
10678000,10679000,100,1699888084981,1699888086281
10678000,10679000,13,1699888085894,1699888086281
10680000,10681000,24,1699888085892,1699888086307
10680000,10681000,47,1699888085917,1699888086307
10682000,10683000,63,1699888086089,1699888086475
10682000,10683000,54,1699888085921,1699888086475
10679000,10680000,100,1699888085187,1699888086487
10679000,10680000,13,1699888086106,1699888086487
10681000,10682000,47,1699888086127,1699888086515
10681000,10682000,24,1699888086104,1699888086515
10683000,10684000,54,1699888086132,1699888086681
10683000,10684000,63,1699888086296,1699888086681
10680000,10681000,13,1699888086318,1699888086694
10680000,10681000,100,1699888085395,1699888086694
10682000,10683000,24,1699888086316,1699888086723
10682000,10683000,47,1699888086337,1699888086723
10684000,10685000,54,1699888086339,1699888086886
10684000,10685000,63,1699888086503,1699888086886
10681000,10682000,100,1699888085600,1699888086900
10681000,10682000,13,1699888086531,1699888086900
10683000,10684000,24,1699888086528,1699888086929
10683000,10684000,47,1699888086548,1699888086929
10685000,10686000,63,1699888086709,1699888087091
10685000,10686000,54,1699888086548,1699888087091
10682000,10683000,100,1699888085805,1699888087106
10682000,10683000,13,1699888086744,1699888087106
10684000,10685000,24,1699888086739,1699888087136
10684000,10685000,47,1699888086757,1699888087136
10686000,10687000,63,1699888086916,1699888087297
10686000,10687000,54,1699888086757,1699888087297
10683000,10684000,13,1699888086956,1699888087311
10683000,10684000,100,1699888086008,1699888087311
10685000,10686000,47,1699888086967,1699888087344
10685000,10686000,24,1699888086951,1699888087344
10687000,10688000,54,1699888086965,1699888087503
10687000,10688000,63,1699888087123,1699888087503
10684000,10685000,13,1699888087168,1699888087517
10684000,10685000,100,1699888086215,1699888087517
10686000,10687000,24,1699888087164,1699888087552
10686000,10687000,47,1699888087177,1699888087552
10688000,10689000,54,1699888087173,1699888087707
10688000,10689000,63,1699888087331,1699888087707
10687000,10688000,24,1699888087377,1699888087759
10687000,10688000,47,1699888087388,1699888087759
10689000,10690000,63,1699888087537,1699888087913
10689000,10690000,54,1699888087382,1699888087913
10685000,10686000,13,1699888087381,1699888087930
10685000,10686000,100,1699888086245,1699888087930
10688000,10689000,24,1699888087589,1699888087965
10688000,10689000,47,1699888087599,1699888087965
10690000,10691000,63,1699888087743,1699888088119
10690000,10691000,54,1699888087579,1699888088119
10686000,10687000,13,1699888087727,1699888088135
10686000,10687000,100,1699888086273,1699888088135
10691000,10692000,54,1699888087755,1699888088322
10691000,10692000,63,1699888087951,1699888088322
10687000,10688000,100,1699888086478,1699888088341
10687000,10688000,13,1699888087942,1699888088341
10689000,10690000,47,1699888087808,1699888088348
10689000,10690000,24,1699888087800,1699888088348
10692000,10693000,54,1699888087964,1699888088529
10692000,10693000,63,1699888088157,1699888088529
10688000,10689000,100,1699888086684,1699888088548
10688000,10689000,13,1699888088156,1699888088548
10690000,10691000,24,1699888088150,1699888088555
10690000,10691000,47,1699888088018,1699888088555
10693000,10694000,63,1699888088364,1699888088734
10693000,10694000,54,1699888088172,1699888088734
10689000,10690000,13,1699888088369,1699888088754
10689000,10690000,100,1699888086891,1699888088754
10691000,10692000,47,1699888088228,1699888088761
10691000,10692000,24,1699888088362,1699888088761
10694000,10695000,63,1699888088570,1699888088939
10694000,10695000,54,1699888088381,1699888088939
10690000,10691000,13,1699888088582,1699888088960
10690000,10691000,100,1699888087097,1699888088960
10692000,10693000,47,1699888088438,1699888088969
10692000,10693000,24,1699888088575,1699888088969
10695000,10696000,54,1699888088592,1699888089142
10695000,10696000,63,1699888088777,1699888089142
10691000,10692000,100,1699888087303,1699888089165
10691000,10692000,13,1699888088793,1699888089165
10693000,10694000,47,1699888088648,1699888089176
10693000,10694000,24,1699888088788,1699888089176
10696000,10697000,54,1699888088800,1699888089347
10696000,10697000,63,1699888088983,1699888089347
10692000,10693000,100,1699888087509,1699888089371
10692000,10693000,13,1699888089005,1699888089371
10694000,10695000,24,1699888089001,1699888089382
10694000,10695000,47,1699888088859,1699888089382
10697000,10698000,63,1699888089188,1699888089552
10697000,10698000,54,1699888089009,1699888089552
10693000,10694000,13,1699888089217,1699888089576
10693000,10694000,100,1699888087716,1699888089576
10695000,10696000,47,1699888089069,1699888089589
10695000,10696000,24,1699888089213,1699888089589
10698000,10699000,63,1699888089395,1699888089758
10698000,10699000,54,1699888089216,1699888089758
10694000,10695000,100,1699888087922,1699888089781
10694000,10695000,13,1699888089428,1699888089781
10696000,10697000,47,1699888089279,1699888089830
10696000,10697000,24,1699888089425,1699888089830
10699000,10700000,54,1699888089424,1699888089963
10699000,10700000,63,1699888089602,1699888089963
