debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,100,1699891129187,1699891129446
10634000,10635000,13,1699891129235,1699891129446
10634000,10635000,24,1699891129198,1699891129446
10634000,10635000,54,1699891129215,1699891129446
10634000,10635000,47,1699891129179,1699891129446
10634000,10635000,63,1699891129225,1699891129446
10635000,10636000,100,1699891129209,1699891129654
10635000,10636000,13,1699891129256,1699891129654
10635000,10636000,24,1699891129221,1699891129654
10635000,10636000,54,1699891129218,1699891129654
10635000,10636000,47,1699891129202,1699891129654
10635000,10636000,63,1699891129246,1699891129654
10636000,10637000,54,1699891129287,1699891129867
10636000,10637000,24,1699891129443,1699891129867
10636000,10637000,47,1699891129415,1699891129867
10636000,10637000,63,1699891129456,1699891129867
10636000,10637000,100,1699891129418,1699891129867
10636000,10637000,13,1699891129473,1699891129867
10637000,10638000,24,1699891129665,1699891130079
10637000,10638000,47,1699891129629,1699891130079
10637000,10638000,63,1699891129668,1699891130079
10637000,10638000,100,1699891129626,1699891130079
10637000,10638000,13,1699891129691,1699891130079
10637000,10638000,54,1699891129632,1699891130079
10638000,10639000,47,1699891129843,1699891130290
10638000,10639000,24,1699891129874,1699891130290
10638000,10639000,100,1699891129836,1699891130290
10638000,10639000,13,1699891129910,1699891130290
10638000,10639000,54,1699891129843,1699891130290
10638000,10639000,63,1699891129878,1699891130290
10639000,10640000,100,1699891130043,1699891130502
10639000,10640000,13,1699891130126,1699891130502
10639000,10640000,54,1699891130053,1699891130502
10639000,10640000,63,1699891130088,1699891130502
10639000,10640000,47,1699891130055,1699891130502
10639000,10640000,24,1699891130095,1699891130502
10640000,10641000,54,1699891130261,1699891130715
10640000,10641000,63,1699891130297,1699891130715
10640000,10641000,47,1699891130267,1699891130715
10640000,10641000,13,1699891130345,1699891130715
10640000,10641000,24,1699891130317,1699891130715
10640000,10641000,100,1699891130253,1699891130715
10641000,10642000,63,1699891130507,1699891130931
10641000,10642000,47,1699891130481,1699891130931
10641000,10642000,13,1699891130563,1699891130931
10641000,10642000,54,1699891130471,1699891130931
10641000,10642000,24,1699891130541,1699891130931
10641000,10642000,100,1699891130460,1699891130931
10642000,10643000,47,1699891130694,1699891131146
