debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
9600000,10800000,54,1699895403680,1699895439109
9600000,10800000,63,1699895403700,1699895439109
9600000,10800000,24,1699895403646,1699895440049
9600000,10800000,47,1699895403654,1699895440049
9600000,10800000,13,1699895403708,1699895440707
9600000,10800000,100,1699895403629,1699895440707
10800000,12000000,63,1699895438926,1699895690827
10800000,12000000,54,1699895438360,1699895690827
10800000,12000000,100,1699895435673,1699895700719
10800000,12000000,13,1699895440541,1699895700719
10800000,12000000,47,1699895439768,1699895702269
10800000,12000000,24,1699895439912,1699895702269
