debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10500000,10800000,100,1699952746548,1699952777227
10500000,10800000,54,1699952746529,1699952781698
10500000,10800000,63,1699952746518,1699952781908
10500000,10800000,47,1699952746509,1699952782199
10500000,10800000,24,1699952746493,1699952782784
10500000,10800000,13,1699952746539,1699952783359
10800000,11100000,100,1699952777087,1699952834480
10800000,11100000,63,1699952781727,1699952842312
10800000,11100000,54,1699952781511,1699952845167
10800000,11100000,47,1699952782024,1699952846496
10800000,11100000,24,1699952782649,1699952848768
10800000,11100000,13,1699952783197,1699952848908
11100000,11400000,100,1699952834307,1699952889233
11100000,11400000,63,1699952842154,1699952900600
11100000,11400000,54,1699952845027,1699952907589
11100000,11400000,24,1699952848589,1699952909462
11100000,11400000,47,1699952846351,1699952910629
11100000,11400000,13,1699952848756,1699952913458
11400000,11700000,100,1699952889028,1699952944688
11400000,11700000,63,1699952900452,1699952955324
11400000,11700000,54,1699952907397,1699952971897
11400000,11700000,24,1699952909317,1699952973521
11400000,11700000,47,1699952910466,1699952975105
11400000,11700000,13,1699952913274,1699952979215
11700000,12000000,100,1699952944513,1699952996142
11700000,12000000,63,1699952955119,1699953010071
12000000,12300000,100,1699952996005,1699953026333
11700000,12000000,54,1699952971691,1699953036187
11700000,12000000,24,1699952973383,1699953036691
11700000,12000000,47,1699952974935,1699953040473
11700000,12000000,13,1699952979041,1699953042127
12900000,13200000,100,1699953026172,1699953046093
12000000,12300000,63,1699953009933,1699953064199
13200000,13500000,100,1699953045953,1699953087530
12000000,12300000,24,1699953036506,1699953096234
12000000,12300000,54,1699953036005,1699953099679
12000000,12300000,13,1699953041963,1699953103578
12000000,12300000,47,1699953040277,1699953105257
12300000,12600000,63,1699953064035,1699953114300
12300000,12600000,13,1699953103428,1699953124883
13500000,13800000,100,1699953087373,1699953132509
12900000,13200000,63,1699953114158,1699953142940
12300000,12600000,24,1699953096035,1699953147154
12900000,13200000,13,1699953124693,1699953152184
12300000,12600000,54,1699953099536,1699953156064
12300000,12600000,47,1699953105077,1699953163685
13800000,14100000,100,1699953132345,1699953173934
12900000,13200000,24,1699953146977,1699953177657
12900000,13200000,54,1699953155907,1699953183941
12900000,13200000,47,1699953163488,1699953193726
13200000,13500000,63,1699953142739,1699953205293
13200000,13500000,13,1699953152023,1699953211330
14100000,14400000,100,1699953173789,1699953218489
13200000,13500000,24,1699953177481,1699953242301
13200000,13500000,54,1699953183779,1699953245733
13200000,13500000,47,1699953193573,1699953258787
14400000,14700000,100,1699953218333,1699953264094
13500000,13800000,63,1699953205089,1699953267005
13500000,13800000,13,1699953211178,1699953270478
14700000,15000000,100,1699953263941,1699953292750
