debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10500000,10800000,63,1699957852289,1699957937072
10500000,10800000,54,1699957852313,1699957937072
10500000,10800000,47,1699957852334,1699957941173
10500000,10800000,24,1699957852362,1699957941173
10500000,10800000,13,1699957852405,1699957941721
10500000,10800000,100,1699957852433,1699957941721
10800000,11100000,63,1699957933602,1699958091849
10800000,11100000,54,1699957936607,1699958091849
10800000,11100000,47,1699957935536,1699958099941
10800000,11100000,24,1699957940875,1699958099941
10800000,11100000,100,1699957925804,1699958101433
10800000,11100000,13,1699957941281,1699958101433
11100000,11400000,63,1699958073227,1699958244545
11100000,11400000,54,1699958091503,1699958244545
11100000,11400000,47,1699958086913,1699958246911
11100000,11400000,24,1699958099534,1699958246911
11100000,11400000,100,1699958062853,1699958256999
11100000,11400000,13,1699958101117,1699958256999
11400000,11700000,63,1699958207594,1699958399509
11400000,11700000,54,1699958244064,1699958399509
11400000,11700000,47,1699958238964,1699958401594
11400000,11700000,24,1699958246549,1699958401594
11400000,11700000,100,1699958194593,1699958415196
11400000,11700000,13,1699958256525,1699958415196
