debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10500000,10800000,47,1699956233254,1699956270548
10500000,10800000,13,1699956233309,1699956270548
10500000,10800000,63,1699956233289,1699956270548
10500000,10800000,24,1699956233241,1699956270548
10500000,10800000,100,1699956233279,1699956270548
10500000,10800000,54,1699956233260,1699956270548
10800000,11100000,100,1699956264890,1699956336873
10800000,11100000,54,1699956268516,1699956336873
10800000,11100000,47,1699956268075,1699956336873
10800000,11100000,63,1699956267395,1699956336873
10800000,11100000,13,1699956270378,1699956336873
10800000,11100000,24,1699956269682,1699956336873
11100000,11400000,100,1699956324216,1699956402067
11100000,11400000,63,1699956325989,1699956402067
11100000,11400000,47,1699956331136,1699956402067
11100000,11400000,54,1699956332493,1699956402067
11100000,11400000,13,1699956336718,1699956402067
11100000,11400000,24,1699956336093,1699956402067
11400000,11700000,100,1699956380968,1699956468557
11400000,11700000,63,1699956382530,1699956468557
11400000,11700000,47,1699956393934,1699956468557
11400000,11700000,54,1699956395361,1699956468557
11400000,11700000,24,1699956397296,1699956468557
11400000,11700000,13,1699956401879,1699956468557
11700000,12000000,63,1699956435532,1699956532211
11700000,12000000,100,1699956438418,1699956532211
11700000,12000000,47,1699956457202,1699956532211
11700000,12000000,54,1699956460086,1699956532211
11700000,12000000,24,1699956461829,1699956532211
11700000,12000000,13,1699956468378,1699956532211
12000000,12300000,63,1699956488649,1699956594357
12000000,12300000,100,1699956491808,1699956594357
12000000,12300000,47,1699956521242,1699956594357
12000000,12300000,54,1699956524919,1699956594357
12000000,12300000,24,1699956525517,1699956594357
12000000,12300000,13,1699956532042,1699956594357
12300000,12600000,63,1699956541080,1699956645919
12300000,12600000,47,1699956584718,1699956645919
12300000,12600000,24,1699956585512,1699956645919
12300000,12600000,54,1699956588921,1699956645919
12300000,12600000,13,1699956594203,1699956645919
12900000,13200000,100,1699956523096,1699956674029
12900000,13200000,63,1699956589664,1699956674029
12900000,13200000,13,1699956615702,1699956674029
12900000,13200000,24,1699956636865,1699956674029
12900000,13200000,47,1699956642010,1699956674029
12900000,13200000,54,1699956645756,1699956674029
13200000,13500000,100,1699956543629,1699956736322
13200000,13500000,63,1699956617354,1699956736322
13200000,13500000,13,1699956643308,1699956736322
13200000,13500000,24,1699956667573,1699956736322
13200000,13500000,47,1699956671532,1699956736322
13200000,13500000,54,1699956673864,1699956736322
13500000,13800000,100,1699956586583,1699956799693
13500000,13800000,63,1699956677760,1699956799693
13500000,13800000,13,1699956703117,1699956799693
13500000,13800000,24,1699956732892,1699956799693
13500000,13800000,47,1699956735397,1699956799693
13500000,13800000,54,1699956736160,1699956799693
