debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10500000,10800000,100,1699955489031,1699955579281
10500000,10800000,24,1699955488941,1699955579281
10500000,10800000,13,1699955489070,1699955579281
10500000,10800000,47,1699955488949,1699955579281
10500000,10800000,54,1699955488972,1699955579281
10500000,10800000,63,1699955488987,1699955579281
10800000,11100000,100,1699955562057,1699955738257
10800000,11100000,63,1699955570778,1699955738257
10800000,11100000,54,1699955572024,1699955738257
10800000,11100000,47,1699955571945,1699955738257
10800000,11100000,24,1699955574157,1699955738257
10800000,11100000,13,1699955578880,1699955738257
11100000,11400000,100,1699955699056,1699955895291
11100000,11400000,63,1699955707643,1699955895291
11100000,11400000,47,1699955720071,1699955895291
11100000,11400000,54,1699955723757,1699955895291
11100000,11400000,24,1699955731195,1699955895291
11100000,11400000,13,1699955737872,1699955895291
11400000,11700000,100,1699955831237,1699956055984
11400000,11700000,63,1699955842561,1699956055984
11400000,11700000,47,1699955867695,1699956055984
11400000,11700000,54,1699955871805,1699956055984
11400000,11700000,24,1699955876931,1699956055984
11400000,11700000,13,1699955894822,1699956055984
