debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,100,1700214898972,1700214945921
10620000,10680000,54,1700214898980,1700214946992
10620000,10680000,63,1700214898954,1700214947943
10620000,10680000,47,1700214898969,1700214949080
10620000,10680000,24,1700214898977,1700214949131
10620000,10680000,13,1700214898965,1700214951368
10680000,10740000,100,1700214945866,1700215002231
10680000,10740000,54,1700214946916,1700215011798
10680000,10740000,63,1700214947886,1700215013010
10680000,10740000,47,1700214949008,1700215014986
10680000,10740000,24,1700214949076,1700215016268
10680000,10740000,13,1700214951308,1700215020810
10740000,10800000,100,1700215002190,1700215054431
10740000,10800000,63,1700215012951,1700215076916
10740000,10800000,54,1700215011745,1700215077814
10740000,10800000,47,1700215014932,1700215079942
10740000,10800000,24,1700215016213,1700215083251
10740000,10800000,13,1700215020757,1700215088171
10800000,10860000,100,1700215054381,1700215115125
10800000,10860000,63,1700215076855,1700215138760
10800000,10860000,54,1700215077751,1700215143794
10800000,10860000,47,1700215079887,1700215144807
10800000,10860000,24,1700215083202,1700215151304
10800000,10860000,13,1700215088122,1700215156445
10860000,10920000,100,1700215115048,1700215173623
