debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,63,1700212572969,1700212620640
10620000,10680000,54,1700212572965,1700212620640
10620000,10680000,24,1700212572958,1700212621634
10620000,10680000,47,1700212572952,1700212621634
10620000,10680000,13,1700212572947,1700212623677
10620000,10680000,100,1700212572961,1700212623677
10680000,10740000,54,1700212619541,1700212683814
10680000,10740000,63,1700212620607,1700212683814
10680000,10740000,47,1700212621604,1700212686817
10680000,10740000,24,1700212621602,1700212686817
10680000,10740000,13,1700212623648,1700212690919
10680000,10740000,100,1700212618493,1700212690919
10740000,10800000,54,1700212682649,1700212746823
10740000,10800000,63,1700212683786,1700212746823
10740000,10800000,47,1700212685777,1700212751998
10740000,10800000,24,1700212686796,1700212751998
10740000,10800000,100,1700212673337,1700212756101
10740000,10800000,13,1700212690884,1700212756101
10800000,10860000,54,1700212746791,1700212810977
10800000,10860000,63,1700212745919,1700212810977
10800000,10860000,24,1700212751978,1700212818205
10800000,10860000,47,1700212748905,1700212818205
10800000,10860000,100,1700212724035,1700212822312
10800000,10860000,13,1700212756075,1700212822312
10860000,10920000,54,1700212810941,1700212874081
10860000,10920000,63,1700212805987,1700212874081
