debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10620000,10680000,24,1700220832699,1700220881410
10620000,10680000,47,1700220832707,1700220881410
10620000,10680000,13,1700220832697,1700220883462
10620000,10680000,100,1700220832702,1700220883462
10680000,10740000,24,1700220881322,1700220946548
10680000,10740000,47,1700220881350,1700220946548
10680000,10740000,13,1700220883405,1700220950732
10680000,10740000,100,1700220878222,1700220950732
10740000,10800000,24,1700220946497,1700221011722
10740000,10800000,47,1700220945553,1700221011722
10740000,10800000,13,1700220950669,1700221015923
10740000,10800000,100,1700220933071,1700221015923
10800000,10860000,24,1700221011673,1700221077922
10800000,10860000,47,1700221008682,1700221077922
10800000,10860000,13,1700221015869,1700221082145
10800000,10860000,100,1700220983766,1700221082145
