debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,54,1700235042520,1700235042852
10634000,10635000,63,1700235042518,1700235046677
10634000,10635000,13,1700235042537,1700235046994
10634000,10635000,100,1700235042527,1700235047089
10634000,10635000,24,1700235042524,1700235047185
10634000,10635000,47,1700235042515,1700235047882
10635000,10636000,54,1700235042822,1700235062174
10635000,10636000,100,1700235047056,1700235066715
10635000,10636000,63,1700235046646,1700235067308
10635000,10636000,47,1700235047849,1700235068913
10635000,10636000,24,1700235047152,1700235068915
10635000,10636000,13,1700235046964,1700235069029
10636000,10637000,54,1700235062141,1700235083004
10636000,10637000,100,1700235066682,1700235086337
10636000,10637000,63,1700235067275,1700235087834
10636000,10637000,47,1700235068881,1700235089946
10636000,10637000,24,1700235068883,1700235090549
10636000,10637000,13,1700235069000,1700235091064
10637000,10638000,54,1700235082972,1700235103837
10637000,10638000,100,1700235086303,1700235105958
10637000,10638000,63,1700235087801,1700235108464
10637000,10638000,24,1700235090516,1700235108558
10637000,10638000,47,1700235089913,1700235110973
10637000,10638000,13,1700235091034,1700235112996
10638000,10639000,54,1700235103803,1700235124661
10638000,10639000,100,1700235105926,1700235125580
10638000,10639000,63,1700235108431,1700235128989
10638000,10639000,24,1700235108525,1700235130188
10638000,10639000,47,1700235110943,1700235131907
10638000,10639000,13,1700235112966,1700235135033
10639000,10640000,100,1700235125547,1700235145204
10639000,10640000,54,1700235124631,1700235145490
10639000,10640000,63,1700235128960,1700235149616
10639000,10640000,24,1700235130155,1700235151918
10639000,10640000,47,1700235131874,1700235152936
10639000,10640000,13,1700235135000,1700235157069
10640000,10641000,100,1700235145170,1700235164825
10640000,10641000,54,1700235145456,1700235166321
10640000,10641000,63,1700235149587,1700235170148
10640000,10641000,24,1700235151885,1700235173550
10640000,10641000,47,1700235152903,1700235173962
10640000,10641000,13,1700235157036,1700235179103
10641000,10642000,100,1700235164793,1700235184448
10641000,10642000,54,1700235166287,1700235187149
10641000,10642000,63,1700235170115,1700235190671
10641000,10642000,47,1700235173933,1700235194990
10641000,10642000,24,1700235173519,1700235195282
10641000,10642000,13,1700235179071,1700235201039
10642000,10643000,100,1700235184418,1700235204073
10642000,10643000,54,1700235187116,1700235207978
10642000,10643000,63,1700235190642,1700235211299
10642000,10643000,47,1700235194960,1700235216019
10642000,10643000,24,1700235195250,1700235216911
10642000,10643000,13,1700235201006,1700235223072
10643000,10644000,100,1700235204041,1700235223696
10643000,10644000,54,1700235207945,1700235228810
10643000,10644000,63,1700235211270,1700235231828
10643000,10644000,47,1700235215988,1700235237049
10643000,10644000,24,1700235216880,1700235238640
10644000,10645000,100,1700235223664,1700235243321
10643000,10644000,13,1700235223043,1700235245105
10644000,10645000,54,1700235228776,1700235249637
10644000,10645000,63,1700235231796,1700235252456
10644000,10645000,47,1700235237017,1700235257981
10644000,10645000,24,1700235238610,1700235260273
10645000,10646000,100,1700235243287,1700235262944
10644000,10645000,13,1700235245076,1700235267143
10645000,10646000,54,1700235249604,1700235270468
10645000,10646000,63,1700235252423,1700235272979
10645000,10646000,47,1700235257949,1700235279009
10645000,10646000,24,1700235260241,1700235282006
10646000,10647000,100,1700235262911,1700235282569
10645000,10646000,13,1700235267114,1700235289179
10646000,10647000,54,1700235270434,1700235291301
10646000,10647000,63,1700235272947,1700235293609
10646000,10647000,47,1700235278979,1700235300039
10647000,10648000,100,1700235282536,1700235302190
10646000,10647000,24,1700235281974,1700235303637
10646000,10647000,13,1700235289146,1700235311108
10647000,10648000,54,1700235291268,1700235312124
10647000,10648000,63,1700235293576,1700235314138
10647000,10648000,47,1700235300009,1700235321073
10648000,10649000,100,1700235302158,1700235321814
10647000,10648000,24,1700235303606,1700235325370
10648000,10649000,54,1700235312095,1700235332955
10647000,10648000,13,1700235311079,1700235333140
10648000,10649000,63,1700235314105,1700235334768
10649000,10650000,100,1700235321784,1700235341439
10648000,10649000,47,1700235321040,1700235342101
