debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,54,1700235666852,1700235667541
10634000,10635000,63,1700235666933,1700235671140
10634000,10635000,13,1700235666960,1700235671492
10634000,10635000,100,1700235666914,1700235671549
10634000,10635000,24,1700235666901,1700235672012
10634000,10635000,47,1700235666873,1700235672431
10635000,10636000,54,1700235667169,1700235686567
10635000,10636000,100,1700235671446,1700235691368
10635000,10636000,63,1700235671076,1700235691997
10635000,10636000,47,1700235672211,1700235693355
10635000,10636000,24,1700235671542,1700235693478
10635000,10636000,13,1700235671391,1700235693708
10636000,10637000,54,1700235686508,1700235707416
10636000,10637000,100,1700235691088,1700235710962
10636000,10637000,63,1700235691725,1700235712505
10636000,10637000,47,1700235693272,1700235714562
10636000,10637000,24,1700235693299,1700235715071
10636000,10637000,13,1700235693465,1700235715579
10637000,10638000,54,1700235707357,1700235729064
10637000,10638000,100,1700235710727,1700235730457
10637000,10638000,63,1700235712281,1700235733165
10637000,10638000,24,1700235714966,1700235733241
10637000,10638000,47,1700235714320,1700235735581
10637000,10638000,13,1700235715520,1700235738702
10638000,10639000,54,1700235728206,1700235749553
10638000,10639000,100,1700235730374,1700235750290
10638000,10639000,63,1700235732934,1700235753569
10638000,10639000,24,1700235732996,1700235754755
10638000,10639000,47,1700235735373,1700235756542
10638000,10639000,13,1700235737483,1700235759629
10639000,10640000,100,1700235750015,1700235769745
10639000,10640000,54,1700235749054,1700235770093
10639000,10640000,63,1700235753484,1700235774441
10639000,10640000,24,1700235754653,1700235776812
10639000,10640000,47,1700235756327,1700235777437
10639000,10640000,13,1700235759538,1700235781765
10640000,10641000,100,1700235769657,1700235789556
10640000,10641000,54,1700235769899,1700235790854
10640000,10641000,63,1700235774131,1700235794779
10640000,10641000,24,1700235776409,1700235798533
10640000,10641000,47,1700235777377,1700235798534
10640000,10641000,13,1700235781593,1700235803889
10641000,10642000,100,1700235789293,1700235809538
10641000,10642000,54,1700235790757,1700235811695
10641000,10642000,63,1700235794681,1700235815444
10641000,10642000,47,1700235798431,1700235819570
10641000,10642000,24,1700235798062,1700235820069
10641000,10642000,13,1700235803653,1700235825689
10642000,10643000,100,1700235808928,1700235828661
10642000,10643000,54,1700235811620,1700235832717
10642000,10643000,63,1700235815230,1700235835974
10642000,10643000,47,1700235819491,1700235840762
10642000,10643000,24,1700235819819,1700235841973
10642000,10643000,13,1700235825608,1700235847927
10643000,10644000,100,1700235828569,1700235848520
10643000,10644000,54,1700235832480,1700235853585
10643000,10644000,63,1700235835879,1700235856523
10643000,10644000,47,1700235840546,1700235861918
10643000,10644000,24,1700235841488,1700235863300
10644000,10645000,100,1700235848221,1700235868264
10643000,10644000,13,1700235847660,1700235869815
10644000,10645000,54,1700235853331,1700235874284
10644000,10645000,63,1700235856427,1700235877514
10644000,10645000,47,1700235861595,1700235882627
10644000,10645000,24,1700235863240,1700235884974
10645000,10646000,100,1700235867863,1700235887571
10644000,10645000,13,1700235869719,1700235892020
10645000,10646000,54,1700235874189,1700235895325
10645000,10646000,63,1700235877080,1700235897924
10645000,10646000,47,1700235882543,1700235903854
10645000,10646000,24,1700235884897,1700235906759
10646000,10647000,100,1700235887503,1700235907433
10645000,10646000,13,1700235891782,1700235913937
10646000,10647000,54,1700235895048,1700235915990
10646000,10647000,63,1700235897630,1700235918382
10646000,10647000,47,1700235903593,1700235924726
10647000,10648000,100,1700235907148,1700235927399
10646000,10647000,24,1700235906657,1700235928565
10646000,10647000,13,1700235913837,1700235935887
10647000,10648000,54,1700235915898,1700235937018
10647000,10648000,63,1700235918278,1700235939052
10647000,10648000,47,1700235924643,1700235945875
10648000,10649000,100,1700235926792,1700235947082
10647000,10648000,24,1700235928309,1700235950711
10647000,10648000,13,1700235935805,1700235958155
10648000,10649000,54,1700235936747,1700235958193
10648000,10649000,63,1700235938859,1700235959809
10649000,10650000,100,1700235946429,1700235966179
10648000,10649000,47,1700235945691,1700235966822
