debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,54,1700233651288,1700233655384
10634000,10635000,63,1700233651222,1700233655384
10634000,10635000,13,1700233651204,1700233655807
10634000,10635000,100,1700233651241,1700233655807
10634000,10635000,24,1700233651261,1700233656581
10634000,10635000,47,1700233651207,1700233656581
10635000,10636000,54,1700233651590,1700233676039
10635000,10636000,63,1700233655351,1700233676039
10635000,10636000,24,1700233655895,1700233677689
10635000,10636000,47,1700233656548,1700233677689
10635000,10636000,13,1700233655634,1700233677728
10635000,10636000,100,1700233655775,1700233677728
10636000,10637000,54,1700233670939,1700233696598
10636000,10637000,63,1700233676006,1700233696598
10636000,10637000,24,1700233677657,1700233699361
10636000,10637000,47,1700233677609,1700233699361
10636000,10637000,13,1700233677696,1700233699799
10636000,10637000,100,1700233675410,1700233699799
10637000,10638000,54,1700233691804,1700233717256
10637000,10638000,63,1700233696565,1700233717256
10637000,10638000,24,1700233699328,1700233719764
10637000,10638000,47,1700233698669,1700233719764
10637000,10638000,13,1700233699765,1700233721767
10637000,10638000,100,1700233695058,1700233721767
10638000,10639000,54,1700233712664,1700233737812
10638000,10639000,63,1700233717224,1700233737812
10638000,10639000,24,1700233717366,1700233740729
10638000,10639000,47,1700233719732,1700233740729
10638000,10639000,13,1700233721734,1700233743842
10638000,10639000,100,1700233714713,1700233743842
10639000,10640000,54,1700233733521,1700233758466
10639000,10640000,63,1700233737779,1700233758466
10639000,10640000,24,1700233739029,1700233761792
10639000,10640000,47,1700233740696,1700233761792
10639000,10640000,13,1700233743809,1700233765908
10639000,10640000,100,1700233734366,1700233765908
10640000,10641000,54,1700233754383,1700233779024
10640000,10641000,63,1700233758433,1700233779024
10640000,10641000,24,1700233760793,1700233782849
10640000,10641000,47,1700233761760,1700233782849
10640000,10641000,13,1700233765875,1700233787982
10640000,10641000,100,1700233754013,1700233787982
10641000,10642000,54,1700233775245,1700233799578
10641000,10642000,63,1700233778991,1700233799578
10641000,10642000,24,1700233782456,1700233804249
10641000,10642000,47,1700233782816,1700233804249
10641000,10642000,13,1700233787948,1700233809944
10641000,10642000,100,1700233773655,1700233809944
10642000,10643000,54,1700233796104,1700233820228
10642000,10643000,63,1700233799545,1700233820228
10642000,10643000,24,1700233804216,1700233825917
10642000,10643000,47,1700233803883,1700233825917
10642000,10643000,13,1700233809911,1700233832015
10642000,10643000,100,1700233793298,1700233832015
10643000,10644000,54,1700233816968,1700233840790
10643000,10644000,63,1700233820197,1700233840790
10643000,10644000,24,1700233825884,1700233847678
10643000,10644000,47,1700233824943,1700233847678
10643000,10644000,13,1700233831983,1700233854083
10643000,10644000,100,1700233812949,1700233854083
10644000,10645000,54,1700233837829,1700233861450
10644000,10645000,63,1700233840758,1700233861450
10644000,10645000,24,1700233847644,1700233869339
10644000,10645000,47,1700233846007,1700233869339
10644000,10645000,13,1700233854049,1700233876154
10644000,10645000,100,1700233832595,1700233876154
10645000,10646000,54,1700233858691,1700233882000
10645000,10646000,63,1700233861417,1700233882000
10645000,10646000,24,1700233869306,1700233891094
10645000,10646000,47,1700233866970,1700233891094
10645000,10646000,13,1700233876121,1700233898230
10645000,10646000,100,1700233852245,1700233898230
10646000,10647000,54,1700233879556,1700233902650
10646000,10647000,63,1700233881967,1700233902650
10646000,10647000,24,1700233891061,1700233912755
10646000,10647000,47,1700233888025,1700233912755
10646000,10647000,13,1700233898197,1700233920201
10646000,10647000,100,1700233871896,1700233920201
10647000,10648000,54,1700233900418,1700233923204
10647000,10648000,63,1700233902617,1700233923204
10647000,10648000,24,1700233912725,1700233934522
10647000,10648000,47,1700233909090,1700233934522
10647000,10648000,13,1700233920168,1700233942278
10647000,10648000,100,1700233891545,1700233942278
10648000,10649000,54,1700233921276,1700233943856
10648000,10649000,63,1700233923171,1700233943856
